Gene	Chrom	Start	End	mC_diff	mC_pval	mC_qval	hmC_diff	hmC_pval	hmC_qval	mC_sig	hmC_sig	mC_dir	hmC_dir	pattern
0610009B22Rik	11	51685385	51688873	-0.004448334740208004	0.838953298917767	0.9308847142759452	0.017521168126182762	0.39761227897554885	0.6368850570253048	FALSE	FALSE	hypo	hyper	not_significant
0610010F05Rik	11	23564960	23633638	0.022257639860957745	0.0012271789090120611	0.008623511555198029	-0.03287052234339852	1.4820826741656754e-09	3.602600961818104e-08	TRUE	TRUE	hyper	hypo	mC_hyper_hmC_hypo
0610040J01Rik	5	63812362	63899624	-0.015017888251926514	0.020389438795062536	0.08542697538664693	0.007470002988425477	0.060767571572160776	0.17852460306150197	FALSE	FALSE	hypo	hyper	not_significant
1110002E22Rik	3	138065051	138081505	0.02175355010669	0.252746538788848	0.5000321828812072	0.005842778238015212	0.6012326467012987	0.7969386360254332	FALSE	FALSE	hyper	hyper	not_significant
1110004F10Rik	7	116039396	116105209	0.007924331562591869	0.32492195994682876	0.5764530373021984	-0.0031303100267803113	0.5563919022330049	0.7677722319023125	FALSE	FALSE	hyper	hypo	not_significant
1110008P14Rik	2	32377096	32381937	-0.017602495543672048	0.8667543420080795	0.9440279271552923	0.0004901960784313708	0.8237275995555058	0.9242200817426102	FALSE	FALSE	hypo	hyper	not_significant
1110012L19Rik	X	70385876	70389416	0.004419307043537768	0.8296819513226815	0.9271459710216549	-0.0847674948712104	0.020361411937515818	0.07591983684076695	FALSE	FALSE	hyper	hypo	not_significant
1110017D15Rik	4	41505008	41517332	-0.014465915169229016	0.46965930160108527	0.7029308335615498	-0.011652058434341778	0.5615964913272669	0.7713217716881768	FALSE	FALSE	hypo	hypo	not_significant
1110025L11Rik	16	89063411	89064001	-0.005844155844155874	0.8585349745414366	0.9398772244225566	-0.047619047619047616	0.36743816897650583	0.6096537475905204	FALSE	FALSE	hypo	hypo	not_significant
1110032A03Rik	9	50762827	50775519	0.014811538223873377	0.5544643717102566	0.7640441960094883	-0.01964182291406788	0.20803245031762352	0.42752243422656416	FALSE	FALSE	hyper	hypo	not_significant
1110032F04Rik	3	68869585	68872162	-0.004129642287537094	0.9990699865187964	1.0	0.009185843396369742	0.8860645402724223	0.9546971939387867	FALSE	FALSE	hypo	hyper	not_significant
1110051M20Rik	2	91275067	91444703	0.015608874826138708	0.023782824590989318	0.09590904178029272	-0.020591307360468825	2.843613852479075e-05	0.00026898618593328724	FALSE	TRUE	hyper	hypo	hmC_only
1110057P08Rik	16	89174734	89175198	0.0	0.7420428114715643	0.8817293722570191	-0.041666666666666664	0.8583871111576343	0.9416383841624081	FALSE	FALSE	hypo	hypo	not_significant
1110059E24Rik	19	21581201	21652975	0.044330692072814926	3.4049560247584965e-10	1.023206993235005e-08	-0.038610941231646045	1.6206547931360458e-11	5.612349749380717e-10	TRUE	TRUE	hyper	hypo	mC_hyper_hmC_hypo
1110059G10Rik	9	122945088	122950999	0.015296099784314454	0.6881382362654873	0.8524236183623461	0.011894370264400628	0.6656958980268917	0.8385570751601281	FALSE	FALSE	hyper	hyper	not_significant
1110065P20Rik	4	124849079	124851195	0.013419216317766991	0.7940611954921847	0.908442542064874	0.02844873859366609	0.7345078188781436	0.8792356394786373	FALSE	FALSE	hyper	hyper	not_significant
