Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr8	30797362	30797762	chr8	30797451	30797669	219	*	6.14619564164989	6.92666073522556	4.32157574387154	2.38625104699581	8.382995464265019e-20	3.65508237868925e-17
chr8	30643364	30643764	chr8	30643306	30643742	437	*	7.94654598301192	8.58031347529126	6.78936675527468	1.65227928806935	1.23179513287802e-15	2.63986919635377e-13
chr8	30636797	30637197	chr8	30636885	30637126	242	*	7.0785169436235	7.65620101312788	6.10013447800423	1.41650149046089	5.27739587995393e-13	6.809097207969129e-11
chr8	30542313	30542713	chr8	30542184	30542595	412	*	5.91456078154456	6.57346507249934	4.66685371380392	1.71873880511262	6.458506802719329e-13	8.154251371501329e-11
chr8	34051203	34051603	chr8	34051236	34051774	539	*	7.31427297938793	7.91203003156237	6.27519409145274	1.47571833718922	1.24452410781885e-12	1.45257024559669e-10
chr8	32884554	32884954	chr8	32884529	32884904	376	*	6.417717445233	6.98005593925507	5.48353559833788	1.33950213071285	1.3043968979620399e-11	1.1908468719709801e-9
chr8	32008523	32008923	chr8	32008514	32009015	502	*	6.65115348519012	7.12477215457473	5.94137012105104	1.10126714832739	8.04366598073574e-11	6.1146369067585004e-9
chr8	37925054	37925454	chr8	37925175	37925302	128	*	4.44392730673367	5.18473933044956	2.83957731088783	2.02956049352566	1.52732369799791e-9	8.6536176006206e-8
chr8	34686488	34686888	chr8	34686599	34686759	161	*	5.69736065440408	4.81623042924784	6.24041904320932	-1.28558196820741	2.6371855533388404e-9	1.40585014449976e-7
chr8	31191586	31191986	chr8	31191717	31191882	166	*	5.17239776577309	4.12126116553572	5.77401079186604	-1.37661832252649	5.59053384648766e-9	2.73739388106862e-7
chr8	37916423	37916823	chr8	37916555	37916693	139	*	5.02164145529873	5.64512955089798	3.89947841855311	1.48897751172155	2.68709136864259e-8	1.08782750145912e-6
chr8	49824997	49825397	chr8	49825111	49825277	167	*	5.29232769217827	5.85275328763532	4.36352967067641	1.25111911036038	5.81618738433509e-8	2.17472090734335e-6
chr8	38237631	38238031	chr8	38237729	38237935	207	*	4.81553667282034	5.47208742635133	3.57661963634229	1.56069033522033	1.04260158382783e-7	3.65517614411655e-6
chr8	36225260	36225660	chr8	36225364	36225558	195	*	5.58724525725463	4.82129837111391	6.08491660689001	-1.11707393464773	2.23156603094458e-7	7.20732177537852e-6
