Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr18	82916317	82916717	chr18	82914865	82921273	6409	*	8.83636419679352	9.80484070594487	4.30443589341565	5.32817952889459	6.42750041175197e-106	1.17777517544943e-101
chr15	42675451	42675851	chr15	42673381	42677203	3823	*	8.76088885029952	9.69840056835828	5.20072059452072	4.44396786922438	1.6179954533943e-87	1.48240743439986e-83
chr12	29833921	29834321	chr12	29827128	29837642	10515	*	8.84828596363571	9.75503622187241	5.85038938770876	3.85514784546129	4.65708172124226e-87	2.84454551533477e-83
chr18	82911154	82911554	chr18	82906171	82914324	8154	*	9.60328815594636	10.4641045700119	7.16055042178342	3.25620117032576	1.7232222120122e-76	7.89408095322791e-73
chr10	109008243	109008643	chr10	109001045	109013607	12563	*	10.2546202926415	11.1615181516776	7.25451133684017	3.83677376580842	2.96736125870004e-67	1.08747855408839e-63
chr2	34361059	34361459	chr2	34358039	34364273	6235	*	7.69616360809467	8.608729496806	4.6082410096306	3.93605063376205	3.61478743752511e-63	1.10395608342017e-59
chr10	128743792	128744192	chr10	128742343	128745088	2746	*	7.66949321015931	8.59270606465771	4.39951217930517	4.16421734569943	6.13464075590431e-60	1.60587367444558e-56
chr2	34369593	34369993	chr2	34366995	34371659	4665	*	7.78150368573121	8.66077020573015	5.14268923943612	3.4077620202504	8.42792782190004e-52	1.9304168676062e-48
chr6	51862008	51862408	chr6	51857983	51865848	7866	*	9.07657678960639	9.83570523469661	7.37538584510619	2.42569653586941	1.01578313019737e-48	2.06813445308185e-45
chr2	34230687	34231087	chr2	34227575	34232007	4433	*	7.56259577964669	8.40793937308408	5.2643304363357	3.05248670644474	1.1746351753229e-47	2.15240149526169e-44
chr16	72924387	72924787	chr16	72920175	72926293	6119	*	8.38066472803057	9.21819992436301	6.14962729681207	2.9854218795701	1.98524256402021e-47	3.30705315846421e-44
chr10	45865960	45866360	chr10	45861697	45869488	7792	*	9.24375181547714	10.0499336077513	7.25193712195847	2.754694289677	8.57044269311913e-47	1.30870659923929e-43
chr4	82693338	82693738	chr4	82692186	82694307	2122	*	7.23381171442709	8.110366342267	4.62570739865264	3.35685408390087	1.73000242648161e-45	2.43850495868069e-42
chr10	41488532	41488932	chr10	41485746	41491371	5626	*	8.79905163893661	9.59783067913104	6.85769648372878	2.69470984463599	2.5555524608232e-45	3.3448530922946e-42
chr1	20818446	20818846	chr1	20816934	20819837	2904	*	7.20765733632412	8.08758799548111	4.56121235560947	3.46493870201678	3.1599173496517e-45	3.86015503433452e-42
