Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr6	51851480	51851880	chr6	51839735	51855094	15360	*	10.3183149639763	10.8368477633498	9.50101316718385	1.32528610649966	3.57515488024333e-86	1.47982810803032e-81
chr1	23446127	23446527	chr1	23443204	23448253	5050	*	9.10925154142207	9.75094311806433	7.9243108196939	1.79259724202469	4.581509629587849e-84	9.48189232939501e-80
chr2	136674072	136674472	chr2	136673491	136676610	3120	*	8.58520533585909	9.2891317695613	7.15496059540625	2.07883526777284	1.9019384327633e-82	2.46274843617316e-78
chr1	23005765	23006165	chr1	23005184	23007127	1944	*	7.94631589150022	8.69901566406696	6.28000073922711	2.3621453815394	2.37992697736099e-82	2.46274843617316e-78
chr15	39735113	39735513	chr15	39729837	39739389	9553	*	10.4105369770397	10.9730437178931	9.47588029681338	1.47817036716162	6.52510213647189e-82	5.40174055265689e-78
chr16	41940419	41940819	chr16	41934848	41942873	8026	*	9.85093028409678	10.5499157882867	8.44217749500161	2.06401800690767	6.6159055425570595e-81	4.56409270362536e-77
chr16	41871996	41872396	chr16	41870936	41873556	2621	*	8.24794751262695	8.90095428854234	7.02213966123153	1.84791758776966	1.50640607811631e-80	8.90759434077004e-77
chr6	24104764	24105164	chr6	24099361	24107224	7864	*	9.94224632674789	10.5928713290188	8.72516432184115	1.83386091863516	9.75366599762733e-79	5.046546787172379e-75
chr13	76307865	76308265	chr13	76306810	76308881	2072	*	8.47696897061639	9.27276042603263	6.55541763868322	2.61113937222608	1.0390598956176199e-76	4.77875191104495e-73
chr12	31892916	31893316	chr12	31892690	31894391	1702	*	8.18557271578426	8.90117163525348	6.70293991867087	2.13620911877557	2.8298837430025194e-75	1.1713454789036e-71
chr16	41674868	41675268	chr16	41672359	41678875	6517	*	9.74191301315789	10.4452420064983	8.31428802244928	2.07733305938335	1.1709003659587601e-73	4.40599163161501e-70
chr12	118104781	118105181	chr12	118103025	118106869	3845	*	8.87729672346396	9.48597312486188	7.80372254978158	1.64886811451926	5.0658832955388296e-71	1.7005145612309702e-67
chr2	57904007	57904407	chr2	57902756	57905470	2715	*	8.30485350528349	9.06226844310504	6.61305640430566	2.3626998162835	5.34081206416762e-71	1.7005145612309702e-67
chr3	137109672	137110072	chr3	137107044	137111294	4251	*	9.40522798976414	9.91369771799131	8.61301965862204	1.2849336391934	8.02213447858048e-71	2.37180135955288e-67
chr5	38862452	38862852	chr5	38861150	38865771	4622	*	9.43691641432561	9.98771041808351	8.53481924200513	1.43287294747024	4.77070522482538e-70	1.31646020443981e-66
chr4	83233047	83233447	chr4	83226853	83236042	9190	*	10.0997738548173	10.574826144219	9.38672927039664	1.1749707346159	1.0445793749709801e-68	2.70232684304992e-65
chr12	31896912	31897312	chr12	31895013	31899125	4113	*	9.63055845330611	10.2692071242843	8.45635969943592	1.77590897622006	1.13961049411576e-68	2.77475044543762e-65
chr1	22935040	22935440	chr1	22934439	22936714	2276	*	7.65666056507226	8.40318832082989	6.02291283585535	2.28571445963729	2.32903691977313e-66	5.3557497879583e-63
chr19	22749084	22749484	chr19	22747306	22751152	3847	*	8.32678183102387	8.96227561108166	7.16361293238893	1.754150572255	5.81099779016955e-66	1.2659411606878799e-62
chr12	31905580	31905980	chr12	31904007	31906582	2576	*	8.23697389929887	8.8948916168061	6.99295977099017	1.85230754668135	3.72053942088096e-65	7.70002838545523e-62
chr13	84059860	84060260	chr13	84056742	84063082	6341	*	9.51499244467511	10.2160942218217	8.09708250700994	2.053742780444	6.92833034470144e-65	1.3656069029899102e-61
chr5	49660329	49660729	chr5	49658243	49661124	2882	*	8.4515756785472	9.10450784891039	7.22604217286931	1.82559315992772	4.34253637809132e-64	8.170284807361631e-61
chr4	67524381	67524781	chr4	67523748	67525392	1645	*	7.45603443288241	8.26320217685824	5.45734399991979	2.66412951883463	1.65493106747094e-63	2.9783002932503e-60
chr12	91050487	91050887	chr12	91047222	91051925	4704	*	9.19723406299377	9.81026439500722	8.10959747891467	1.66524656929307	5.46270976454251e-63	9.04449930295774e-60
chr13	20470381	20470781	chr13	20462819	20475989	13171	*	10.7228381533981	11.1931946832135	10.0204362047405	1.15890452613009	4.08044188196646e-62	6.4960634760906e-59
chr13	83717354	83717754	chr13	83712597	83721305	8709	*	10.4547398757145	10.9492392908455	9.6963803611501	1.23491528955005	1.69420396986769e-61	2.5697370461119e-58
chr12	29536418	29536818	chr12	29532419	29541301	8883	*	10.1051587411398	10.6146810116731	9.31035424788742	1.28271651282589	1.73832231569224e-61	2.5697370461119e-58
chr16	45767983	45768383	chr16	45762701	45769287	6587	*	9.60376363541211	10.1828419684482	8.62127349962248	1.53497722997297	5.84915402389242e-61	8.34855804679155e-58
chr4	6346719	6347119	chr4	6345958	6349563	3606	*	9.07280054942819	9.64915273155413	8.09832740368825	1.51914730284268	7.781132022224721e-61	1.07358872221309e-57
chr16	49978075	49978475	chr16	49977201	49979323	2123	*	8.29296747626076	9.00849431111934	6.81066544114468	2.12902040793841	8.13621805155475e-61	1.08636883093534e-57
chr3	137115364	137115764	chr3	137114198	137117997	3800	*	8.6051360369393	9.18146854245838	7.63072053910207	1.51864753951148	1.1448683404941798e-60	1.48088719842922e-57
chr5	49645726	49646126	chr5	49643919	49647234	3316	*	9.07012281447035	9.74855044465327	7.74677094154182	1.94259282929383	1.38355446948161e-60	1.73513363091635e-57
chr2	58138897	58139297	chr2	58138610	58141531	2922	*	9.15173634502263	9.79261663378491	7.96966965357238	1.77136740146111	1.425264385658e-60	1.73513363091635e-57
chr6	43333726	43334126	chr6	43332119	43335119	3001	*	9.18014128524438	9.8327406403028	7.95583082787379	1.8333283991363	2.24119198097993e-60	2.65049767076347e-57
chr15	39819881	39820281	chr15	39819637	39821594	1958	*	8.15125468571368	8.8273141507026	6.83734839637355	1.93525523245835	2.5367894881078797e-60	2.9167441803267e-57
chr16	41747208	41747608	chr16	41746624	41749107	2484	*	7.91583302872095	8.64757421390208	6.35671249973554	2.20578849951874	2.94075343535761e-60	3.28982881611682e-57
chr2	141816760	141817160	chr2	141814479	141819303	4825	*	9.57830696119189	10.1840876774988	8.5139867946629	1.63342892786019	3.36192299092552e-60	3.66201885369446e-57
chr14	27271551	27271951	chr14	27271057	27273060	2004	*	8.11809130716463	8.74636414434597	6.9797659910779	1.71965839731993	3.81899929657263e-60	4.0532312534290796e-57
chr12	118112039	118112439	chr12	118109625	118113268	3644	*	8.58253606444656	9.1859530080703	7.5257126228844	1.62376766712252	4.3753121204769796e-60	4.5275729822695696e-57
chr6	50657363	50657763	chr6	50656858	50658842	1985	*	8.07281619034297	8.73692127113036	6.80544129079661	1.88581275260881	6.119184406309739e-60	6.04107025286424e-57
chr3	13458321	13458721	chr3	13455387	13459335	3949	*	8.3987981364467	9.0852009744728	7.04305673579543	1.97688950298644	6.12980649933074e-60	6.04107025286424e-57
chr8	57962328	57962728	chr8	57956675	57963467	6793	*	9.68895874675798	10.3241585339333	8.52681217575772	1.75211378824938	2.87324010889062e-59	2.76579429272559e-56
chr5	39325084	39325484	chr5	39323590	39328500	4911	*	9.25236206552067	9.86230878665278	8.17470350600998	1.6496102058334	1.01982438095562e-58	9.59376608557161e-56
chr19	23563962	23564362	chr19	23563271	23566701	3431	*	8.6987829871046891	9.29625641364465	7.66058577065565	1.60102848606462	1.72043549276936e-58	1.5824947981491e-55
chr14	93676911	93677311	chr14	93676447	93678240	1794	*	7.82694042893791	8.65164710892358	5.69925766378776	2.76925663276031	2.58095474105206e-58	2.3224104052527598e-55
chr12	29873299	29873699	chr12	29871767	29877202	5436	*	9.38156577902227	9.92678449887845	8.49462197269898	1.40913798485273	3.0419491486679602e-58	2.67898636514179e-55
chr12	31926735	31927135	chr12	31921567	31928763	7197	*	9.56598133189928	10.0631630776832	8.801209292679	1.24008398810015	4.8609294579696995e-58	4.1917415025892095e-55
