stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center
stripe_0001	chr1	7240000	7570000	7570000	7625000	3prime	control_only	0.87508338621648	NA	0	0	FALSE	medium	7405000
stripe_0002	chr1	7650000	7715000	7715000	8640000	3prime	control_only	0.342219772716863	NA	0	0	FALSE	medium	7682500
stripe_0003	chr1	17930000	17990000	17990000	19375000	3prime	control_only	0.291309055559028	NA	0	0	FALSE	medium	17960000
stripe_0004	chr1	61655000	61715000	61715000	61970000	3prime	mutant_only	NA	0.993770252882147	1	0	FALSE	medium	61685000
stripe_0005	chr1	94630000	94930000	94930000	94985000	3prime	control_only	0.989693711693447	NA	0	0	FALSE	medium	94780000
stripe_0006	chr1	139780000	139815000	139815000	140330000	3prime	mutant_only	NA	0.945823296787296	0	0	FALSE	medium	139797500
stripe_0007	chr1	142225000	142990000	142990000	143045000	3prime	mutant_only	NA	0.587746343183482	0	0	FALSE	medium	142607500
stripe_0008	chr1	155550000	155595000	155745000	156045000	3prime	mutant_only	NA	7.71210729622053e-10	0	0	TRUE	medium	155572500
stripe_0009	chr1	156700000	156965000	157055000	157100000	3prime	mutant_only	NA	1.11158952511831e-09	0	0	TRUE	medium	156832500
stripe_0010	chr1	167535000	167575000	167575000	169350000	3prime	control_only	0.310590008914843	NA	0	0	TRUE	medium	167555000
stripe_0011	chr10	10705000	11100000	11145000	11150000	3prime	mutant_only	NA	1.47558419962013e-17	0	0	TRUE	medium	10902500
stripe_0012	chr10	54585000	54645000	54645000	55615000	3prime	mutant_only	NA	0.99737189938184	0	0	FALSE	medium	54615000
stripe_0013	chr10	75160000	75205000	75255000	75530000	3prime	control_only	4.35590892219322e-10	NA	0	0	FALSE	low	75182500
stripe_0014	chr10	90710000	90755000	90845000	91100000	3prime	mutant_only	NA	5.98962475672871e-18	1	0	TRUE	medium	90732500
stripe_0015	chr10	95565000	95865000	95865000	95925000	3prime	mutant_only	NA	0.990428693982456	0	1	FALSE	medium	95715000
stripe_0016	chr10	110205000	110250000	110250000	110780000	3prime	control_only	0.897098252009214	NA	0	1	FALSE	medium	110227500
stripe_0017	chr11	3510000	3565000	3620000	3925000	3prime	shared	2.71362273688021e-18	7.9173525319505e-17	0	0	TRUE	medium	3537500
stripe_0018	chr11	9420000	11590000	11590000	11645000	3prime	control_only	0.824115763457834	NA	0	0	FALSE	medium	10505000
stripe_0019	chr11	13195000	14050000	14050000	14105000	3prime	control_only	0.572640981571747	NA	0	1	FALSE	medium	13622500
stripe_0020	chr11	15590000	15635000	15635000	16495000	3prime	control_only	0.30592362697158	NA	0	0	FALSE	medium	15612500
stripe_0021	chr11	20075000	20345000	20375000	20430000	3prime	control_only	4.83500785837252e-09	NA	0	0	TRUE	medium	20210000
stripe_0022	chr11	26180000	26425000	26425000	26480000	3prime	mutant_only	NA	0.937417284865542	0	0	FALSE	medium	26302500
stripe_0023	chr11	42295000	42340000	42385000	42640000	3prime	mutant_only	NA	7.40620682024561e-15	1	0	TRUE	medium	42317500
stripe_0024	chr11	46845000	46910000	46910000	48765000	3prime	mutant_only	NA	0.925871742469719	0	1	FALSE	medium	46877500
stripe_0025	chr11	49960000	50015000	50120000	50390000	3prime	control_only	1.03271321863915e-10	NA	0	0	FALSE	medium	49987500
stripe_0026	chr11	53915000	54190000	54235000	54280000	3prime	shared	3.19976651060703e-14	2.63671165751022e-10	0	0	FALSE	low	54052500
stripe_0027	chr11	56905000	56965000	56965000	57730000	3prime	control_only	0.666226079208567	NA	0	0	FALSE	medium	56935000
stripe_0028	chr11	60085000	60120000	60180000	60445000	3prime	shared	6.40728717789587e-17	6.29581599785104e-05	0	0	FALSE	low	60102500
stripe_0029	chr11	61890000	62165000	62255000	62300000	3prime	control_only	7.27617196371511e-16	NA	0	0	TRUE	medium	62027500
stripe_0030	chr11	61930000	61975000	62035000	62310000	3prime	shared	2.07216241333734e-18	6.16742418791689e-10	0	0	TRUE	medium	61952500
stripe_0031	chr11	61930000	61975000	62040000	62300000	3prime	mutant_only	NA	1.38475469606145e-24	0	0	TRUE	medium	61952500
stripe_0032	chr11	67010000	67965000	67965000	68025000	3prime	mutant_only	NA	0.93601535208697	0	0	TRUE	medium	67487500
stripe_0033	chr11	75760000	75805000	75895000	76180000	3prime	shared	5.37363924627818e-42	1.19540334512545e-35	1	0	TRUE	medium	75782500
stripe_0034	chr11	81685000	82485000	82485000	82545000	3prime	control_only	0.468385592918988	NA	0	0	FALSE	medium	82085000
stripe_0035	chr11	107450000	107515000	107515000	108000000	3prime	mutant_only	NA	0.0774494731452487	0	0	TRUE	medium	107482500
stripe_0036	chr11	121405000	121715000	121785000	121830000	3prime	shared	5.93518332341194e-12	1.7100802735806e-19	0	0	TRUE	medium	121560000
stripe_0037	chr12	5660000	5705000	5705000	7795000	3prime	mutant_only	NA	0.712686614648924	0	0	FALSE	medium	5682500
stripe_0038	chr12	12425000	13560000	13560000	13620000	3prime	mutant_only	NA	0.172041850133555	0	0	FALSE	medium	12992500
stripe_0039	chr12	31480000	31525000	31595000	31990000	3prime	control_only	8.9641676297111e-17	NA	0	0	TRUE	medium	31502500
stripe_0040	chr12	36250000	36935000	36935000	36995000	3prime	control_only	0.874987909320593	NA	0	0	FALSE	medium	36592500
stripe_0041	chr12	72045000	72325000	72400000	72445000	3prime	shared	2.12704477741494e-35	1.11020259941034e-22	0	0	TRUE	medium	72185000
