gene_symbol	gene_class	log2FoldChange	padj	baseMean	max_delta_abc	sum_delta_abc	max_delta_unnorm	n_enhancers	n_gained	n_lost	sum_abc_wt	sum_abc_ko	sum_delta_unnorm
Xkr4	DEG_up	0.49966638750241	4.15753157335444e-4	18021.6553492442	-0.042087	-0.062626	-0.055997	3	1	2	0.113218	0.050592	-0.055879
Slco5a1	DEG_up	0.471359902439218	2.45301533007383e-4	989.036769660917	-0.022466	-0.04592	0.069534	8	1	4	0.339641	0.293721	0.216775
Sbspon	DEG_down	-0.636371855233624	0.0406251583610406	46.9519357533162	-0.06619	-0.086987	-0.071058	10	1	4	0.595706	0.508719	-0.090007
Crispld1	DEG_up	1.76509519237609	9.14278486049968e-7	22.2240165430337	-0.064549	-0.099542	-0.016949	14	6	8	0.511629	0.412087	-0.020643
Kcnq5	DEG_down	-0.676678332046434	0.00228597270112555	14326.9893899396	-0.033083	0.0435	-0.01891	14	7	5	0.359028	0.402528	0.125706
Col9a1	DEG_down	-0.846105630112319	5.02304550240466e-7	215.579002704436	-0.039861	-0.046525	-0.351146	11	2	3	0.632315	0.58579	-1.014317
Col19a1	DEG_down	-2.23057073525185	1.24170167318706e-43	877.969647802016	0.025225	-0.005256	-0.063636	8	3	3	0.398869	0.393613	-0.982675
Mrps9	DEG_down	-0.362908676130045	0.0210468942782067	1238.31722608468	0.016366	0.025224	0.051876	7	3	1	0.180777	0.206001	0.07252
Nabp1	DEG_down	-0.968597486685696	1.14062055288237e-5	88.0480715688528	0.029666	0.032772	0.061603	7	2	1	0.218296	0.251068	-0.117864
Myo1b	DEG_down	-0.771371862224454	7.63224155497687e-8	1106.67482328593	0.03031	-0.001373	0.026114	15	6	7	0.475347	0.473974	-0.310697
Hibch	DEG_down	-0.392719558422372	0.00594443088223504	317.291015463229	0.023805	0.035861	0.140222	7	2	1	0.327023	0.362884	0.205423
1700019A02Rik	DEG_down	-1.0412344567048	2.12931065023684e-6	66.5842135833009	-0.034587	-0.032178	-0.156442	11	4	4	0.583422	0.551244	-0.315254
Pms1	DEG_down	-0.907726557304155	4.70232776990852e-11	586.28219723591	-0.013659	0.019263	-0.136839	5	1	1	0.178489	0.197752	-0.078647
Ankrd44	DEG_down	-0.507577487061964	0.00194819055255275	1922.88082099679	-0.020071	-0.020307	-0.089373	7	2	3	0.438766	0.418459	-0.1062
Plcl1	DEG_down	-0.977213464795302	7.92374201841755e-11	3800.07221725104	0.019153	0.024834	0.06023	5	2	1	0.15374	0.178574	0.13878
Aox1	DEG_down	-0.94151805628043606	5.82008350530769e-4	96.253972668609	-0.062806	0.001764	-0.36599	5	3	1	0.28283	0.284594	-0.314316
Cflar	DEG_down	-0.755060278476742	8.84388517556706e-8	264.210543585046	-0.028112	-0.044425	-0.239228	11	2	5	0.459061	0.414636	-0.871051
Cdk15	DEG_down	-1.54949837061239	0.00735689447006815	9.223387798546	0.038477	-0.006397	0.140247	16	4	5	0.63499	0.628593	-0.862209
Fzd7	DEG_down	-1.68979984243152	1.58769415892057e-24	561.614813561272	-0.017773	-0.045082	-0.622977	9	1	2	0.526423	0.481341	-3.070387
Nrp2	DEG_down	-1.18029485423371	7.60022654665965e-18	455.060647565276	0.032195	0.048098	0.243645	7	2	0	0.442142	0.49024	0.496679
Zdbf2	DEG_down	-0.809299765406787	5.95167528522549e-5	275.218642588206	-0.040625	-0.014279	-0.073249	13	2	3	0.436687	0.422408	-0.114644
Plekhm3	DEG_down	-0.31900265505537	0.0380640377309607	1743.12034847177	0.014011	0.050779	0.059381	7	2	0	0.260768	0.311547	0.213834
Ikzf2	DEG_down	-0.84543113188368	1.27942093222454e-8	556.211163324651	0.03077	0.043485	-0.018176	6	3	1	0.255595	0.29908	-0.041037
Mreg	DEG_down	-0.864963743023516	1.26544934666086e-7	227.557133921557	-0.051913	-0.074918	-0.765984	10	1	3	0.626488	0.55157	-1.942846
Xrcc5	DEG_down	-0.394026249340875	0.0249722917403177	621.584568254671	0.057103	0.033204	0.206895	11	2	3	0.365866	0.39907	-0.110658
Nhej1	DEG_down	-0.702945874935582	0.00270165288700566	103.920434699496	0.016041	-0.00187	0.128473	8	1	2	0.341663	0.339793	-0.395793
Des	DEG_down	-1.36590062389483	5.9902731279545e-5	35.4591995381834	0.044226	-0.012642	0.195188	13	2	4	0.65868	0.646038	-1.136866
Gmppa	DEG_down	-0.435720110293911	0.0213181884719864	212.251660034479	-0.050111	-0.047927	-1.697258	11	3	4	0.684572	0.636645	-2.814515
Scg2	DEG_down	-0.956539047796802	2.54540971589321e-8	761.741212930003	0.039139	0.095378	0.087745	6	5	1	0.210888	0.306266	0.093871
Ap1s3	DEG_down	-1.71947757367377	1.05027796822529e-22	221.454361506434	0.082658	0.027232	0.121424	13	3	4	0.462752	0.489984	0.055487
Dock10	DEG_down	-1.04186823274349	6.33502238332494e-15	2457.54725053795	-0.058966	-0.05945	-0.035853	14	4	6	0.405393	0.345943	0.016309
Itm2c	DEG_down	-0.413207791373161	0.0153048932819413	1287.34876269269	-0.053637	-0.05632	-0.915152	5	1	2	0.523475	0.467155	-1.521916
2810459M11Rik	DEG_up	0.691732662425069	0.0289622763392587	45.0597979336576	0.021686	0.029125	0.074985	9	2	2	0.519178	0.548303	0.090882
B3gnt7	DEG_up	1.19019537386342	0.00898006884822655	19.5420294738957	0.017413	-0.050086	0.05226	11	1	2	0.47876	0.428674	-0.13161
