chr	start	end	TargetGene	gene_class	delta_ABC	log2fc_contact	class	is_se	se_source	k27ac_class	k27ac_fold	k27ac_fdr	hic_contact_pl_scaled_adj_WT	hic_contact_pl_scaled_adj_KO
chr1	4571624	4572124	Sox17	invariant	0.008028	-0.008266555392491425	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.0117	0.011633
chr1	5082974	5083474	Sox17	invariant	0.03665	2.446007465662076	genic	FALSE	none	stable_k27ac	0.204083042500408	0.225365033197854	4.79e-4	0.002728
chr1	5082974	5083474	Tcea1	invariant	0.009017	0.22317492290660096	genic	FALSE	none	stable_k27ac	0.204083042500408	0.225365033197854	0.020117	0.023487
chr1	6214488	6214988	Snhg6	invariant	-0.016543	-2.2097987058315054	genic	FALSE	none	stable_k27ac	0.269067869389612	0.0700852498210818	0.004935	0.001046
chr1	6769907	6770407	Cpa6	DEG_down	-0.066939	-4.292236409950557	genic	FALSE	none	lost_k27ac	-0.76612901721925	4.7857500090906e-6	0.001825	6.8e-5
chr1	6819839	6820339	Mcmdc2	invariant	-0.021645	-2.9275038802380093	genic	TRUE	P60	no_diffbind_peak	NA	NA	8.37e-4	8.7e-5
chr1	6819839	6820339	Sox17	invariant	0.044298	2.579085934384487	genic	TRUE	P60	no_diffbind_peak	NA	NA	1.17e-4	8.31e-4
chr1	6819839	6820339	Tcea1	invariant	-0.015588	-1.4255122928684811	genic	TRUE	P60	no_diffbind_peak	NA	NA	0.003268	0.0012
chr1	6820863	6821363	Sox17	invariant	0.022696	2.579085934384487	genic	TRUE	P60	stable_k27ac	-0.496301976159206	0.00524727289830786	1.17e-4	8.31e-4
chr1	9630046	9630546	Arfgef1	invariant	-0.039394	-1.3881403704196955	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.006979	0.00265
chr1	9630046	9630546	Cpa6	DEG_down	0.051633	1.8546961891478662	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	2.54e-4	9.88e-4
chr1	9630046	9630546	Cspp1	invariant	-0.055842	-1.4808002209227809	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.012769	0.004558
chr1	9630046	9630546	Eya1	invariant	0.01779	3.4625696188758543	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	5.7e-5	8.94e-4
chr1	9630046	9630546	Mcmdc2	invariant	-0.016226	-0.31455582974351104	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.002633	0.002112
chr1	9630046	9630546	Sgk3	invariant	-0.015861	0.21055983576140674	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.008692	0.010062
chr1	9630046	9630546	Snhg6	invariant	-0.005166	0.14336565763402528	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.006549	0.007236
chr1	9630046	9630546	Vcpip1	invariant	3.71e-4	0.3117431685620984	genic	FALSE	none	stable_k27ac	0.0332620867439042	0.893994107608316	0.01045	0.012977
chr1	10039673	10040173	Arfgef1	invariant	-0.004523	-0.6494556337477502	genic	FALSE	none	no_diffbind_peak	NA	NA	0.020085	0.012795
chr1	10039673	10040173	Cspp1	invariant	0.009753	-0.052856116177846434	genic	FALSE	none	no_diffbind_peak	NA	NA	0.14619	0.14093
chr1	10039673	10040173	Mcmdc2	invariant	0.008094	0.3798677612124826	genic	FALSE	none	no_diffbind_peak	NA	NA	0.00574	0.007477
chr1	10039673	10040173	Sgk3	invariant	-0.00481	-0.2945278290787594	genic	FALSE	none	no_diffbind_peak	NA	NA	0.015196	0.012385
chr1	10039673	10040173	Snhg6	invariant	0.005436	0.27065798486140996	genic	FALSE	none	no_diffbind_peak	NA	NA	0.017322	0.020902
chr1	12990137	12990637	Slco5a1	DEG_up	-0.022466	0.07415179291138706	genic	FALSE	none	no_diffbind_peak	NA	NA	0.139502	0.146861
chr1	13146885	13147385	Slco5a1	DEG_up	0.011731	0.9878531189556303	genic	FALSE	none	no_diffbind_peak	NA	NA	0.004476	0.008903
chr1	13146885	13147385	Tram1	invariant	-0.003052	-0.8079270884259147	genic	FALSE	none	no_diffbind_peak	NA	NA	0.016051	0.009157
chr1	13196831	13197331	Ncoa2	invariant	4e-5	0.23993324098028507	genic	FALSE	none	stable_k27ac	-0.0117074508415969	0.950869745655117	0.02218	0.026198
chr1	13196831	13197331	Tram1	invariant	-0.009354	-0.2962671300248148	genic	FALSE	none	stable_k27ac	-0.0117074508415969	0.950869745655117	0.011334	0.009225
chr1	13277439	13277939	Ncoa2	invariant	0.008195	0.41449048149184614	genic	FALSE	none	gained_k27ac	0.534673189659293	0.00366540285885995	0.01679	0.022387
chr1	13366531	13367031	Ncoa2	invariant	0.004126	0.0608271382793478	genic	FALSE	none	stable_k27ac	0.381209401350927	0.0391761793273867	0.127529	0.133022
chr1	13372200	13373144	Eya1	invariant	0.027522	2.315651599415154	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	2.96e-4	0.0015790000000000001
chr1	13372200	13373144	Ncoa2	invariant	-0.023103	0.05134409330579005	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.142977	0.148158
chr1	13372200	13373144	Sgk3	invariant	0.014445	1.0169566644770613	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.001644	0.003354
chr1	13372200	13373144	Slco5a1	DEG_up	-0.010559	0.5559416893166901	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.003296	0.004858
chr1	13372200	13373144	Tram1	invariant	0.010337	0.21507280764342637	genic	FALSE	none	stable_k27ac	0.282859453728492	0.0440745542241437	0.009049	0.010508
chr1	14000701	14001201	Eya1	invariant	0.008397	0.6983507927025586	intergenic	FALSE	none	no_diffbind_peak	NA	NA	0.006433	0.010455
