loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_1	FALSE	3	1	3	1	FALSE	FALSE
loop_2	FALSE	5	1	5	1	FALSE	FALSE
loop_3	TRUE	3	1	4	1	FALSE	FALSE
loop_4	FALSE	5	1	5	1	FALSE	FALSE
loop_5	TRUE	3	3	2	3	TRUE	FALSE
loop_6	FALSE	5	1	5	1	FALSE	FALSE
loop_7	FALSE	5	1	5	1	FALSE	FALSE
loop_8	TRUE	5	1	4	2	FALSE	FALSE
loop_9	TRUE	3	3	2	2	TRUE	FALSE
loop_10	FALSE	5	1	5	1	FALSE	FALSE
loop_11	FALSE	5	1	5	1	FALSE	FALSE
loop_12	FALSE	5	2	5	2	FALSE	FALSE
loop_13	TRUE	2	2	2	1	FALSE	FALSE
loop_14	TRUE	5	2	4	2	FALSE	FALSE
loop_15	FALSE	2	4	2	4	FALSE	FALSE
loop_16	TRUE	5	2	5	3	FALSE	FALSE
loop_17	FALSE	2	3	2	3	FALSE	FALSE
loop_18	FALSE	5	1	5	1	FALSE	FALSE
loop_19	TRUE	3	3	3	2	TRUE	FALSE
loop_20	TRUE	3	2	3	1	FALSE	FALSE
loop_21	TRUE	3	3	5	1	TRUE	FALSE
loop_22	TRUE	4	1	5	1	FALSE	FALSE
loop_23	TRUE	3	3	5	3	TRUE	FALSE
loop_24	TRUE	1	5	2	3	FALSE	FALSE
loop_25	TRUE	3	2	3	3	FALSE	TRUE
loop_26	TRUE	5	2	5	4	FALSE	FALSE
loop_27	TRUE	4	2	4	1	FALSE	FALSE
loop_28	TRUE	3	3	4	3	TRUE	FALSE
loop_29	TRUE	3	3	2	3	TRUE	FALSE
loop_30	FALSE	5	1	5	1	FALSE	FALSE
loop_31	TRUE	5	3	4	3	FALSE	FALSE
loop_32	TRUE	2	4	5	4	FALSE	FALSE
loop_33	FALSE	5	1	5	1	FALSE	FALSE
loop_34	FALSE	4	3	4	3	FALSE	FALSE
loop_35	TRUE	3	3	3	1	TRUE	FALSE
loop_36	FALSE	3	3	3	3	TRUE	TRUE
loop_37	TRUE	3	3	4	4	TRUE	FALSE
loop_38	FALSE	4	3	4	3	FALSE	FALSE
loop_39	FALSE	2	4	2	4	FALSE	FALSE
loop_40	TRUE	3	3	3	2	TRUE	FALSE
loop_41	FALSE	3	3	3	3	TRUE	TRUE
loop_42	TRUE	3	4	3	3	FALSE	TRUE
loop_43	FALSE	3	3	3	3	TRUE	TRUE
loop_44	FALSE	3	3	3	3	TRUE	TRUE
loop_45	FALSE	3	3	3	3	TRUE	TRUE
loop_46	FALSE	1	4	1	4	FALSE	FALSE
loop_47	FALSE	3	3	3	3	TRUE	TRUE
loop_48	TRUE	3	3	2	2	TRUE	FALSE
loop_49	TRUE	3	3	3	2	TRUE	FALSE
loop_50	TRUE	3	3	4	4	TRUE	FALSE
loop_51	TRUE	2	3	3	2	FALSE	FALSE
loop_52	FALSE	5	1	5	1	FALSE	FALSE
loop_53	FALSE	5	1	5	1	FALSE	FALSE
loop_54	TRUE	3	3	5	1	TRUE	FALSE
loop_55	FALSE	2	4	2	4	FALSE	FALSE
loop_56	FALSE	5	1	5	1	FALSE	FALSE
loop_57	FALSE	5	1	5	1	FALSE	FALSE
loop_58	TRUE	2	2	2	1	FALSE	FALSE
loop_59	TRUE	3	3	4	3	TRUE	FALSE
loop_60	TRUE	5	2	5	1	FALSE	FALSE
loop_61	TRUE	5	1	4	1	FALSE	FALSE
loop_62	FALSE	5	1	5	1	FALSE	FALSE
loop_63	FALSE	3	5	3	5	FALSE	FALSE
loop_64	FALSE	5	1	5	1	FALSE	FALSE
loop_65	TRUE	3	3	5	1	TRUE	FALSE
loop_66	FALSE	5	1	5	1	FALSE	FALSE
loop_67	FALSE	4	4	4	4	FALSE	FALSE
loop_68	FALSE	5	3	5	3	FALSE	FALSE
loop_69	FALSE	5	1	5	1	FALSE	FALSE
loop_70	TRUE	4	4	5	1	FALSE	FALSE
loop_71	TRUE	3	3	4	3	TRUE	FALSE
loop_72	TRUE	3	3	3	4	TRUE	FALSE
loop_73	FALSE	3	2	3	2	FALSE	FALSE
loop_74	TRUE	3	3	5	3	TRUE	FALSE
loop_75	FALSE	3	1	3	1	FALSE	FALSE
loop_76	FALSE	5	1	5	1	FALSE	FALSE
loop_77	TRUE	3	3	5	1	TRUE	FALSE
loop_78	TRUE	5	2	5	1	FALSE	FALSE
loop_79	FALSE	3	3	3	3	TRUE	TRUE
loop_80	TRUE	5	2	5	3	FALSE	FALSE
loop_81	FALSE	3	3	3	3	TRUE	TRUE
loop_82	TRUE	3	3	3	2	TRUE	FALSE
loop_83	FALSE	4	1	4	1	FALSE	FALSE
loop_84	TRUE	3	3	3	2	TRUE	FALSE
loop_85	TRUE	3	3	3	2	TRUE	FALSE
loop_86	TRUE	3	3	4	3	TRUE	FALSE
loop_87	TRUE	3	2	4	2	FALSE	FALSE
loop_88	FALSE	3	3	3	3	TRUE	TRUE
loop_89	FALSE	3	3	3	3	TRUE	TRUE
loop_90	FALSE	3	3	3	3	TRUE	TRUE
loop_91	TRUE	3	3	2	4	TRUE	FALSE
loop_92	FALSE	3	3	3	3	TRUE	TRUE
loop_93	FALSE	3	3	3	3	TRUE	TRUE
loop_94	FALSE	3	3	3	3	TRUE	TRUE
loop_95	FALSE	2	2	2	2	FALSE	FALSE
loop_96	FALSE	3	3	3	3	TRUE	TRUE
loop_97	TRUE	3	3	4	3	TRUE	FALSE
loop_98	TRUE	3	3	3	2	TRUE	FALSE
loop_99	TRUE	3	3	2	3	TRUE	FALSE
loop_100	TRUE	3	3	1	3	TRUE	FALSE
loop_101	TRUE	3	3	2	2	TRUE	FALSE
loop_102	TRUE	5	2	5	3	FALSE	FALSE
loop_103	FALSE	3	3	3	3	TRUE	TRUE
loop_104	TRUE	2	2	1	1	FALSE	FALSE
loop_105	TRUE	3	3	2	2	TRUE	FALSE
loop_106	TRUE	3	3	4	2	TRUE	FALSE
loop_107	FALSE	3	3	3	3	TRUE	TRUE
loop_108	FALSE	3	2	3	2	FALSE	FALSE
loop_109	FALSE	3	3	3	3	TRUE	TRUE
loop_110	TRUE	2	3	2	4	FALSE	FALSE
