chr1	x1	x2	chr2	y1	y2	ctrl_merge	mut_merge
chr8	110165000	110170000	chr8	110475000	110480000	146.09379275639833	150.29071994622566
chr8	126025000	126030000	chr8	126060000	126065000	329.68179933230067	287.0098307927447
chr8	122610000	122615000	chr8	122675000	122680000	198.20182092984533	186.12698495388
chr8	122905000	122910000	chr8	122940000	122945000	302.403617898623	271.4325606028237
chr8	25305000	25310000	chr8	25345000	25350000	270.729863802592	222.46063701311766
chr8	113870000	113875000	chr8	113980000	113985000	149.98450169960665	116.62750653425867
chr8	71910000	71915000	chr8	71985000	71990000	136.46763523419668	120.53279348214467
chr8	69120000	69125000	chr8	69155000	69160000	271.399200677872	245.24424878756201
chr8	106685000	106690000	chr8	106885000	106890000	185.03740616639467	159.24398889144234
chr8	122830000	122835000	chr8	122900000	122905000	160.99627184867867	141.973857760429
chr8	84365000	84370000	chr8	84415000	84420000	228.20769977569566	207.73107139269533
chr8	84105000	84110000	chr8	84145000	84150000	272.68084875742596	260.8497653802237
chr8	83565000	83570000	chr8	83620000	83625000	138.318564772606	135.008803009987
chr8	79665000	79670000	chr8	79700000	79705000	273.03934256235766	267.2207538684207
chr8	35855000	35860000	chr8	35900000	35905000	186.04069660107265	190.36173397302636
chr8	33650000	33655000	chr8	33745000	33750000	141.27736071745565	139.59654607375433
chr8	75030000	75035000	chr8	75105000	75110000	118.04140510161699	97.47455952564856
chr8	11635000	11640000	chr8	11695000	11700000	174.210003097852	235.74203824996968
chr8	17390000	17395000	chr8	17490000	17495000	124.23724563916532	113.802996615569
chr8	114590000	114595000	chr8	114880000	114885000	41.71189357837044	46.22766104340553
chr8	119030000	119035000	chr8	119280000	119285000	45.00542783737183	39.69067522883413
chr8	4140000	4145000	chr8	4320000	4325000	111.80046093463898	109.00359612703319
chr8	126255000	126260000	chr8	126480000	126485000	96.01084436972924	74.88104838132857
chr8	22805000	22810000	chr8	23015000	23020000	37.06608701745666	35.0296080907186
chr8	19935000	19940000	chr8	19970000	19975000	287.53735089302035	269.0994986693063
