chr1	x1	x2	chr2	y1	y2	logFC	FDR	PValue	direction	significant	category	resolution	resolution_kb	kept_from_resolution	is_multi_resolution
chr8	110165000	110170000	chr8	110475000	110480000	0.110684670763628	0.502755757839816	0.245730876916436	unchanged	False	non_significant	5000	5	5	True
chr8	126025000	126030000	chr8	126060000	126065000	-0.130923734310084	0.246063058254092	0.0688463931776988	unchanged	False	non_significant	5000	5	5	False
chr8	122610000	122615000	chr8	122675000	122680000	-0.0208115743107442	0.913261938222117	0.803560804501743	unchanged	False	non_significant	5000	5	5	True
chr8	122905000	122910000	chr8	122940000	122945000	-0.0871430243278675	0.491366206082124	0.235982360367666	unchanged	False	non_significant	5000	5	5	False
chr8	25305000	25310000	chr8	25345000	25350000	-0.212682657760317	0.0774846247313896	0.0101218653928392	unchanged	False	trending	5000	5	5	True
chr8	113870000	113875000	chr8	113980000	113985000	-0.291552479069832	0.0575778265936791	0.0061830042905346	unchanged	False	trending	5000	5	5	False
chr8	71910000	71915000	chr8	71985000	71990000	-0.10818501734976	0.499978667101799	0.243237844396946	unchanged	False	non_significant	5000	5	5	False
chr8	69120000	69125000	chr8	69155000	69160000	-0.0731065323110461	0.580867096253929	0.319662928441379	unchanged	False	non_significant	5000	5	5	False
chr8	106685000	106690000	chr8	106885000	106890000	-0.145783250163401	0.260013204258366	0.0760721536872018	unchanged	False	non_significant	5000	5	5	True
chr8	122830000	122835000	chr8	122900000	122905000	-0.110397863673132	0.481205627531654	0.227145204247637	unchanged	False	non_significant	5000	5	5	True
chr8	84365000	84370000	chr8	84415000	84420000	-0.0645810947870288	0.633397699390477	0.376262608435606	unchanged	False	non_significant	5000	5	5	True
chr8	84105000	84110000	chr8	84145000	84150000	0.0033808019889887	0.988234390019077	0.969604011962328	unchanged	False	non_significant	5000	5	5	False
chr8	83565000	83570000	chr8	83620000	83625000	0.0363238073931629	0.842110683701629	0.676189309418742	unchanged	False	non_significant	5000	5	5	False
chr8	79665000	79670000	chr8	79700000	79705000	0.0398566868287377	0.775457587730203	0.565025874655276	unchanged	False	non_significant	5000	5	5	False
chr8	35855000	35860000	chr8	35900000	35905000	0.105139515023209	0.476361107429243	0.222643689834779	unchanged	False	non_significant	5000	5	5	False
chr8	33650000	33655000	chr8	33745000	33750000	0.0551018213181348	0.745426082273562	0.522735118311068	unchanged	False	non_significant	5000	5	5	False
chr8	75030000	75035000	chr8	75105000	75110000	-0.205448018273866	0.22585306844656	0.0590522094305878	unchanged	False	non_significant	5000	5	5	False
chr8	11635000	11640000	chr8	11695000	11700000	0.507964758182221	0.0010800226715267	1.12314669989709e-05	up_in_mutant	True	moderate_differential	5000	5	5	True
chr8	17390000	17395000	chr8	17490000	17495000	-0.055138375597942	0.774795745715683	0.563861556825482	unchanged	False	non_significant	5000	5	5	False
chr8	114590000	114595000	chr8	114880000	114885000	0.219339083751006	0.327672142219128	0.112722715591565	unchanged	False	non_significant	5000	5	5	True
chr8	119030000	119035000	chr8	119280000	119285000	-0.108958030957906	0.673543153680805	0.426067921984159	unchanged	False	non_significant	5000	5	5	False
chr8	4140000	4145000	chr8	4320000	4325000	0.0359647323282427	0.863722710461585	0.712756161747273	unchanged	False	non_significant	5000	5	5	False
chr8	126255000	126260000	chr8	126480000	126485000	-0.286515504840704	0.0916614598172017	0.0131636585119976	unchanged	False	trending	5000	5	5	True
chr8	22805000	22810000	chr8	23015000	23020000	-0.0102401420225767	0.978173551976913	0.944200334601551	unchanged	False	non_significant	5000	5	5	False
chr8	19935000	19940000	chr8	19970000	19975000	-0.026378896608898	0.898123842758381	0.774514104723238	unchanged	False	non_significant	5000	5	5	False
chr8	71195000	71200000	chr8	71855000	71860000	-0.374208256868934	0.216924924119793	0.0550817041225101	unchanged	False	non_significant	5000	5	5	False
chr8	35475000	35480000	chr8	35850000	35855000	0.316811878534467	0.173734751486277	0.0375256242227061	unchanged	False	non_significant	5000	5	5	False
chr8	52155000	52160000	chr8	52570000	52575000	0.153871427279728	0.612416566146534	0.354024591541164	unchanged	False	non_significant	5000	5	5	False
chr14	27335000	27340000	chr14	27390000	27395000	0.11516888128089	0.430019067630211	0.183419322028902	unchanged	False	non_significant	5000	5	5	False
chr14	24575000	24580000	chr14	24610000	24615000	0.0844358311593169	0.55989454778484	0.298566834540587	unchanged	False	non_significant	5000	5	5	False
chr14	63755000	63760000	chr14	63795000	63800000	0.0196290608192232	0.911114565070816	0.800517085022625	unchanged	False	non_significant	5000	5	5	False
chr14	62340000	62345000	chr14	62385000	62390000	-0.0421866797379299	0.794426052030643	0.596018344341308	unchanged	False	non_significant	5000	5	5	False
chr14	54710000	54715000	chr14	54835000	54840000	0.0695437584527522	0.665673151768558	0.415767833164215	unchanged	False	non_significant	5000	5	5	True
chr14	70545000	70550000	chr14	70645000	70650000	0.14162779762838	0.397366703094773	0.158619630453469	unchanged	False	non_significant	5000	5	5	True
chr14	30825000	30830000	chr14	30860000	30865000	0.129882980337972	0.247614510578612	0.0697124723805806	unchanged	False	non_significant	5000	5	5	False
