id	ctrl_merge	mut_merge
chr8-110165000-110170000-chr8-110475000-110480000	1.0	1.0287276215549106
chr8-126025000-126030000-chr8-126060000-126065000	1.0	0.8705661986012609
chr8-122610000-122615000-chr8-122675000-122680000	1.0	0.9390780774903209
chr8-122905000-122910000-chr8-122940000-122945000	1.0	0.8975837077908837
chr8-25305000-25310000-chr8-25345000-25350000	1.0	0.821707047344172
chr8-113870000-113875000-chr8-113980000-113985000	1.0	0.7775970531131521
chr8-71910000-71915000-chr8-71985000-71990000	1.0	0.8832335467328523
chr8-69120000-69125000-chr8-69155000-69160000	1.0	0.9036292228385974
chr8-106685000-106690000-chr8-106885000-106890000	1.0	0.8606043080189006
chr8-122830000-122835000-chr8-122900000-122905000	1.0	0.8818456236916533
chr8-84365000-84370000-chr8-84415000-84420000	1.0	0.9102719653932503
chr8-84105000-84110000-chr8-84145000-84150000	1.0	0.956611975387655
chr8-83565000-83570000-chr8-83620000-83625000	1.0	0.9760714567270111
chr8-79665000-79670000-chr8-79700000-79705000	1.0	0.9786895593897494
chr8-35855000-35860000-chr8-35900000-35905000	1.0	1.0232263018301815
chr8-33650000-33655000-chr8-33745000-33750000	1.0	0.9881027318519715
chr8-75030000-75035000-chr8-75105000-75110000	1.0	0.8257658356551815
chr8-11635000-11640000-chr8-11695000-11700000	1.0	1.3532060964234973
chr8-17390000-17395000-chr8-17490000-17495000	1.0	0.9160135193764553
chr8-114590000-114595000-chr8-114880000-114885000	1.0	1.1082609078044043
chr8-119030000-119035000-chr8-119280000-119285000	1.0	0.8819086304935777
chr8-4140000-4145000-chr8-4320000-4325000	1.0	0.9749834232862342
chr8-126255000-126260000-chr8-126480000-126485000	1.0	0.7799228188533401
chr8-19935000-19940000-chr8-19970000-19975000	1.0	0.9358766707474677
chr8-71195000-71200000-chr8-71855000-71860000	1.0	0.7332424771737489
chr8-35475000-35480000-chr8-35850000-35855000	1.0	1.1858144878541654
chr8-52155000-52160000-chr8-52570000-52575000	1.0	1.059710516427586
chr14-27335000-27340000-chr14-27390000-27395000	1.0	1.0304304754516924
chr14-24575000-24580000-chr14-24610000-24615000	1.0	1.008667222939759
chr14-63755000-63760000-chr14-63795000-63800000	1.0	0.9652734278716331
chr14-62340000-62345000-chr14-62385000-62390000	1.0	0.9249644559843794
chr14-54710000-54715000-chr14-54835000-54840000	1.0	0.9997614128082232
chr14-70545000-70550000-chr14-70645000-70650000	1.0	1.0497473749219983
chr14-30825000-30830000-chr14-30860000-30865000	1.0	1.0422949758729254
chr14-122910000-122915000-chr14-122960000-122965000	1.0	0.9066276737664833
