chr	bin_start	bin_end	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed	H3K27ac_ctrl	H3K27ac_mut	H3K4me3_ctrl	H3K4me3_mut	ATAC_ctrl	ATAC_mut	H3K36me3_ctrl	H3K36me3_mut	RNA_ctrl	RNA_mut	DNAmethylation_ctrl	DNAmethylation_mut	H3K27me1_ctrl	H3K27me1_mut	H2AK119ub_ctrl	H2AK119ub_mut	H3K27me3_ctrl	H3K27me3_mut
chr6	64700001	64800000	B.1	A.2	0.455925769717419	0.453781512605042	TRUE	0.443629992127419	0.503774997979403	2.80687499755621	4.40934999758005	0.142345000073314	0.377434995651245	1.20628567834944	4.22449379518628	0.164	0.2075	0.828030000448227	1.22042501950264	0.106159999758005	0.688199996620417	2.10524500104785	2.70252999672294	4.89323999164999	10.8851099322438
chr8	30000001	30100000	B.2	B.2	0.166596372838465	0.255042016806723	FALSE	0.0642449972629547	0.0253599999547005	0.0169199999570847	0.0131000000238419	0.0527250001430511	0.0488649982213974	0.349650817982853	0.252734991326928	0	0	0.369469999670982	0.357570011496544	0.181629999428988	0.279514998525381	0.147780001759529	0.157760000348091	0.0980750005245209	0.0907349977493286
chr8	30100001	30200000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE	0.169594994544983	0.147359999269247	0.0437099998891354	0.0327199999690056	0.11714500040561	0.121539996296167	0.615570829570293	0.428534194327891	0	0	0.629220000505447	0.531725016772747	0.181324999690056	0.375599998801947	0.33788500328362	0.419734998941422	0.250085000872612	0.409964994847774
chr8	30200001	30300000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE	0.360824993729591	0.441364998966456	0.0742899996340275	0.049299999833107	0.200940001636744	0.17891999578476	0.571230903483927	0.430740825101733	0	0	0.692514999628067	0.843580017089844	0.15556999951601	0.327604998260737	0.554585003092885	1.03572500094771	0.274909999489784	0.748604992985725
chr8	30300001	30400000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE	0.154299993753433	0.133224999159575	0.0286699999272823	0.0183100000619888	0.122335000157356	0.129249995425344	0.614737480543554	0.47764832598716	0.0025	0	0.795984999299049	0.57583001857996	0.228089998871088	0.400014998942614	0.405635003238916	0.562815000385046	0.296730000197887	0.534649993181229
chr8	30400001	30500000	B.1	A.2	0.412062420919443	0.557563025210084	TRUE	0.246014993667603	0.151089999198914	0.02020999994874	0.0418649998903275	0.137280000388622	0.100159996941686	0.538540053024888	0.4210433254987	0.003	0	0.636019999504089	0.591945015728474	0.148409999340773	0.305479999572039	0.364715002536774	0.64216999822855	0.31207000079751	0.628484993875027
chr8	30500001	30600000	A.2	A.2	0.577393504850274	0.626470588235294	FALSE	0.295544990420342	0.25906999963522	0.0804349995851517	0.0994549996852875	0.153134999744594	0.248809994295239	0.780516633957624	0.643470865100622	0	0	1.06185499942303	1.12530502510071	0.161094999730587	0.453594997376204	0.619965002775192	1.45395999899507	0.882834997430444	1.91746999704838
chr8	30600001	30700000	A.2	A.2	0.577393504850274	0.626470588235294	FALSE	0.334494992256165	0.559679996728897	0.0555099997520447	0.0593499999642372	0.231469999872148	0.456329993799329	0.720225845143199	0.598327520392835	0	0	1.02940499913692	1.27000003135204	0.154889999568462	0.417504998356104	0.9041750023067	2.07335500180721	1.06326999627054	2.35465500563383
chr8	30700001	30800000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE	0.256019991993904	0.286519999176264	0.0545549997985363	0.0218149999380112	0.123585000090301	0.186519996345043	0.575760834619403	0.440026652991772	0.003	0.012	0.735754998922348	0.610805018901825	0.123679999530315	0.384549998253584	0.440360003203154	0.910424999266863	0.848259997785091	0.908509993433952
chr8	30800001	30900000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE	0.231264993071556	0.252679998546839	0.0329199999272823	0.0218150000572205	0.144000000171363	0.148854996412993	0.427879151850939	0.358727528087795	0	0	0.56200500035286	0.549530012428761	0.137434999376535	0.235274998933077	0.309845001623035	0.647024998188019	0.348439998969436	0.701769997298718
