chr	bin_start	bin_end	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed
chr1	1	100000	NA	NA	NA	NA	FALSE
chr1	100001	200000	NA	NA	NA	NA	FALSE
chr1	200001	300000	NA	NA	NA	NA	FALSE
chr1	300001	400000	NA	NA	NA	NA	FALSE
chr1	400001	500000	NA	NA	NA	NA	FALSE
chr1	500001	600000	NA	NA	NA	NA	FALSE
chr1	600001	700000	NA	NA	NA	NA	FALSE
chr1	700001	800000	NA	NA	NA	NA	FALSE
chr1	800001	900000	NA	NA	NA	NA	FALSE
chr1	900001	1000000	NA	NA	NA	NA	FALSE
chr1	1000001	1100000	NA	NA	NA	NA	FALSE
chr1	1100001	1200000	NA	NA	NA	NA	FALSE
chr1	1200001	1300000	NA	NA	NA	NA	FALSE
chr1	1300001	1400000	NA	NA	NA	NA	FALSE
chr1	1400001	1500000	NA	NA	NA	NA	FALSE
chr1	1500001	1600000	NA	NA	NA	NA	FALSE
chr1	1600001	1700000	NA	NA	NA	NA	FALSE
chr1	1700001	1800000	NA	NA	NA	NA	FALSE
chr1	1800001	1900000	NA	NA	NA	NA	FALSE
chr1	1900001	2000000	NA	NA	NA	NA	FALSE
chr1	2000001	2100000	NA	NA	NA	NA	FALSE
chr1	2100001	2200000	NA	NA	NA	NA	FALSE
chr1	2200001	2300000	NA	NA	NA	NA	FALSE
chr1	2300001	2400000	NA	NA	NA	NA	FALSE
chr1	2400001	2500000	NA	NA	NA	NA	FALSE
chr1	2500001	2600000	NA	NA	NA	NA	FALSE
chr1	2600001	2700000	NA	NA	NA	NA	FALSE
chr1	2700001	2800000	NA	NA	NA	NA	FALSE
chr1	2800001	2900000	NA	NA	NA	NA	FALSE
chr1	2900001	3000000	NA	NA	NA	NA	FALSE
chr1	3000001	3100000	B.2	B.2	0.142134120624209	0.128991596638655	FALSE
chr1	3100001	3200000	B.2	B.2	0.142134120624209	0.128991596638655	FALSE
chr1	3200001	3300000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE
chr1	3300001	3400000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE
chr1	3400001	3500000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE
chr1	3500001	3600000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE
chr1	3600001	3700000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE
chr1	3700001	3800000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	3800001	3900000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	3900001	4000000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	4000001	4100000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	4100001	4200000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	4200001	4300000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	4300001	4400000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE
chr1	4400001	4500000	B.2	B.2	0.143399409531843	0.119747899159664	FALSE
