chr	bin_start	bin_end	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed
chr6	64700001	64800000	B.1	A.2	0.455925769717419	0.453781512605042	TRUE
chr8	30000001	30100000	B.2	B.2	0.166596372838465	0.255042016806723	FALSE
chr8	30100001	30200000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE
chr8	30200001	30300000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE
chr8	30300001	30400000	B.1	A.2	0.412062420919443	0.488655462184874	TRUE
chr8	30400001	30500000	B.1	A.2	0.412062420919443	0.557563025210084	TRUE
chr8	30500001	30600000	A.2	A.2	0.577393504850274	0.626470588235294	FALSE
chr8	30600001	30700000	A.2	A.2	0.577393504850274	0.626470588235294	FALSE
chr8	30700001	30800000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE
chr8	30800001	30900000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE
chr8	30900001	31000000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE
chr8	31000001	31100000	B.1	A.2	0.460143399409532	0.534033613445378	TRUE
chr8	31100001	31200000	A.1	A.1	0.695487136229439	0.713025210084034	FALSE
chr8	31200001	31300000	A.1	A.1	0.695487136229439	0.713025210084034	FALSE
chr8	31300001	31400000	B.1	B.1	0.303247574862927	0.342436974789916	FALSE
chr8	31400001	31500000	B.1	B.1	0.303247574862927	0.342436974789916	FALSE
chr8	31500001	31600000	B.2	B.2	0.0421762969211303	0.0642857142857143	FALSE
chr8	31600001	31700000	B.2	B.2	0.0421762969211303	0.0642857142857143	FALSE
chr8	31700001	31800000	B.2	B.2	0.0421762969211303	0.0642857142857143	FALSE
chr8	31800001	31900000	B.2	B.2	0.0421762969211303	0.0642857142857143	FALSE
chr8	31900001	32000000	B.1	B.1	0.302825811893716	0.347899159663866	FALSE
chr8	32000001	32100000	B.1	B.1	0.302825811893716	0.347899159663866	FALSE
chr8	32100001	32200000	B.2	B.2	0.188949810206664	0.221848739495798	FALSE
chr8	32200001	32300000	B.2	B.2	0.188949810206664	0.221848739495798	FALSE
chr8	32300001	32400000	B.1	A.2	0.413327709827077	0.450840336134454	TRUE
chr8	32400001	32500000	B.2	B.1	0.261071277941797	0.310084033613445	TRUE
chr8	32500001	32600000	B.2	B.1	0.261071277941797	0.310084033613445	TRUE
chr8	32600001	32700000	B.2	B.1	0.261071277941797	0.341386554621848	TRUE
chr8	32700001	32800000	B.2	B.1	0.261071277941797	0.372689075630252	TRUE
chr8	32800001	32900000	B.2	B.1	0.261071277941797	0.372689075630252	TRUE
chr8	32900001	33000000	B.2	B.2	0.238296077604386	0.260924369747899	FALSE
