chr	bin_start	bin_end	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed	H3K27ac_ctrl	H3K27ac_mut	H3K4me3_ctrl	H3K4me3_mut	ATAC_ctrl	ATAC_mut	H3K36me3_ctrl	H3K36me3_mut	RNA_ctrl	RNA_mut	DNAmethylation_ctrl	DNAmethylation_mut	H3K27me1_ctrl	H3K27me1_mut	H2AK119ub_ctrl	H2AK119ub_mut	H3K27me3_ctrl	H3K27me3_mut
chr1	3000001	3100000	B.2	B.2	0.142134120624209	0.128991596638655	FALSE	0.0184049991369247	0.0263199999332428	0.010339999973774	0	0.0289400001019239	0.0284049991965294	0.171950007893145	0.104194179646671	0	0	0.191980000853539	0.121000003159046	0.0776249997913837	0.263079998075962	0.0761450008898973	0.0590299999713898	0.0729100001007319	0.0544499986171722
chr1	3100001	3200000	B.2	B.2	0.142134120624209	0.128991596638655	FALSE	0.12587999856472	0.157004999428988	0.0281999999284744	0.0192050000429153	0.0485450001880527	0.0693449980765581	0.277194987684488	0.234100013181567	0.153	0.214	0.3123649995327	0.243045008540154	0.199544998764992	0.411084997087717	0.154275001168251	0.212829999864101	0.107025000289083	0.120089998364449
chr1	3200001	3300000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE	0.456209987640381	1.07172499787807	0.0573649998009205	0.0462549997568131	0.117985000111163	0.116334996908903	0.610781740792096	0.503096714019775	2.643	3.2805	0.601565000414848	0.462345014035702	1.32047999000549	2.23380498284102	0.349780002579093	0.484369998991489	0.0614600006043911	0.0491699985265732
chr1	3300001	3400000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE	0.788079985737801	1.3383699965179	0.0931899992525577	0.109494999945164	0.191145000077784	0.289454996362329	0.557105033256114	0.486995881028473	3.676	5.834	0.935914999604225	0.667770015954971	0.728699994713068	1.08305999210477	0.671025002077222	1.04278000095487	0.236059999644756	0.107709997415543
chr1	3400001	3500000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE	0.795464981555939	1.52421999573708	0.114794999480248	0.0553900001645088	0.225809999927878	0.29624499566853	0.763140049889684	0.66821998219192	2.4535	3.804	0.789699998617172	0.79410502165556	1.31365499034524	2.4329599814117	0.69558500315249	0.917934997469187	0.168665001422167	0.090124997317791
chr1	3500001	3600000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE	0.74639498758316	1.42929499530792	0.07146499979496	0.0737499998211861	0.203614999249578	0.280669996544719	0.618662523321807	0.515633371680975	2.7055	4.6115	0.794679999947548	0.574780020236969	1.28546499314904	1.99920498666167	0.583795002222061	0.761950000166893	0.11584000056982	0.0772549978494644
chr1	3600001	3700000	B.1	A.2	0.348797975537748	0.442857142857143	TRUE	0.959679987668991	2.34638499960303	3.63852500116825	4.41067498123646	0.322080001063645	0.40828499519825	0.778114225015044	0.70236087770015	4.9655	7.721	0.85430499958992	0.659170016527176	1.50945998802781	2.35404498752952	0.777225002318621	0.923164999932051	0.274694999486208	0.246544996023178
chr1	3700001	3800000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE	0.0726699965000153	0.0516599997282028	0.0211499999463558	0.014410000026226	0.0467300001680851	0.0566299980580807	0.423099160812795	0.318120014674962	5e-04	0.002	0.57393499982357	0.474725013077259	0.114759999632835	0.495504996865988	0.204700001984835	0.137345000833273	0.283259999275208	0.144574996054173
chr1	3800001	3900000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE	0.0616099981069565	0.0478799997866154	0.0202249999344349	0.0156800000667572	0.035460000090301	0.0341399987637997	0.308168338760734	0.2318767041713	0	0	0.334349999785423	0.238730008244514	0.119479999423027	0.391139997959137	0.105470001205802	0.0964600006341934	0.199059999793768	0.206709996461868
chr1	3900001	4000000	B.2	B.2	0.0261493040911008	0.0277310924369748	FALSE	0.140679995894432	0.046049999833107	0.0178599999547005	0.0222299998998642	0.0624400001838803	0.0531549982279539	0.413017497092485	0.285783397562802	0	0	0.590905000925064	0.368795013546944	0.157634999394417	0.537814997375012	0.20377000194788	0.148990000367165	0.248465000659227	0.179129996180534
