chr	start	end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	distance	class	delta_ABC	delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either
chr1	3671781	3672281	Atp6v1h	0.004925	0.006376	5.669338	0.001125	0.000199	0.026661	0.036866	9.548662	0.003861	0.000785	1397986.000000	promoter	0.021736	0.030490	True	True	True
chr1	3671781	3672281	Gm37587	0.021525	0.006279	5.669338	0.001108	0.000179	0.009319	0.003225	9.548662	0.000338	0.000000	824519.000000	promoter	-0.012206	-0.003054	True	False	True
chr1	3671781	3672281	Rgs20	0.004918	0.006376	5.669338	0.001125	0.000199	0.026622	0.036867	9.548662	0.003861	0.000785	1398254.000000	promoter	0.021704	0.030491	True	True	True
chr1	3671781	3672281	Sox17	0.021512	0.006278	5.669338	0.001107	0.000179	0.009307	0.003222	9.548662	0.000337	0.000000	825323.000000	promoter	-0.012205	-0.003056	True	False	True
chr1	4496300	4496800	Sox17	0.101544	0.029633	0.201283	0.147219	0.042987	0.148838	0.051521	0.318804	0.161607	0.050332	804.000000	promoter	0.047294	0.021888	True	True	True
chr1	4785476	4785989	Atp6v1h	0.042681	0.055262	5.246773	0.010533	0.002608	0.026102	0.036094	5.848321	0.006172	0.001414	284284.500000	promoter	-0.016579	-0.019168	True	True	True
chr1	4785476	4785989	Gm37587	0.100226	0.029237	5.246773	0.005572	0.001252	0.067047	0.023201	5.848321	0.003967	0.000813	289182.500000	promoter	-0.033179	-0.006036	True	True	True
chr1	4785476	4785989	Npbwr1	0.004654	0.001281	5.246773	0.000244	0.000000	0.041061	0.014696	5.848321	0.002513	0.000502	1131665.500000	promoter	0.036407	0.013415	False	True	True
chr1	4785476	4785989	Rgs20	0.042625	0.055264	5.246773	0.010533	0.002608	0.026063	0.036093	5.848321	0.006171	0.001414	284552.500000	promoter	-0.016562	-0.019171	True	True	True
chr1	4785476	4785989	Sox17	0.100202	0.029241	5.246773	0.005573	0.001252	0.067050	0.023210	5.848321	0.003969	0.000813	288378.500000	promoter	-0.033152	-0.006031	True	True	True
chr1	4785476	4785989	Tcea1	0.033562	0.155731	5.246773	0.029681	0.008654	0.048480	0.210724	5.848321	0.036032	0.010802	72080.500000	promoter	0.014918	0.054993	True	True	True
chr1	4807537	4808141	Gm37587	0.065498	0.019106	9.774064	0.001955	0.000280	0.046088	0.015948	10.831471	0.001472	0.000150	311289.000000	promoter	-0.019410	-0.003158	True	True	True
chr1	4807537	4808141	Oprk1	0.016812	0.003491	9.774064	0.000357	0.000000	0.052315	0.015427	10.831471	0.001424	0.000250	780626.000000	promoter	0.035503	0.011936	False	True	True
chr1	4807537	4808141	Sox17	0.065540	0.019126	9.774064	0.001957	0.000280	0.046140	0.015972	10.831471	0.001475	0.000150	310485.000000	promoter	-0.019400	-0.003154	True	True	True
chr1	4807537	4808141	Tcea1	0.071432	0.331456	9.774064	0.033912	0.010004	0.101060	0.439264	10.831471	0.040554	0.012381	49974.000000	promoter	0.029628	0.107808	True	True	True
chr1	4857398	4858063	Alkal1	0.046022	0.039818	19.436336	0.002049	0.000395	0.032641	0.026733	19.212375	0.001391	0.000256	1501486.500000	promoter	-0.013381	-0.013085	True	True	True
chr1	4857398	4858063	Atp6v1h	0.204247	0.264456	19.436336	0.013606	0.003508	0.168186	0.232566	19.212375	0.012105	0.003078	212286.500000	promoter	-0.036061	-0.031890	True	True	True
chr1	4857398	4858063	Mrpl15	0.229909	0.576902	19.436336	0.029682	0.008654	0.240494	0.692236	19.212375	0.036031	0.010802	71991.500000	promoter	0.010585	0.115334	True	True	True
