chr	start	end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	distance	class	delta_ABC	delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either
chr1	3671781	3672281	Atp6v1h	0.004925	0.006376	5.669338	0.001125	1.99e-4	0.026661	0.036866	9.548662	0.003861	7.85e-4	1397986	promoter	0.021736	0.03049	TRUE	TRUE	TRUE
chr1	3671781	3672281	Gm37587	0.021525	0.006279	5.669338	0.001108	1.79e-4	0.009319	0.003225	9.548662	3.38e-4	0	824519	promoter	-0.012206	-0.003054	TRUE	FALSE	TRUE
chr1	3671781	3672281	Rgs20	0.004918	0.006376	5.669338	0.001125	1.99e-4	0.026622	0.036867	9.548662	0.003861	7.85e-4	1398254	promoter	0.021704	0.030491	TRUE	TRUE	TRUE
chr1	3671781	3672281	Sox17	0.021512	0.006278	5.669338	0.001107	1.79e-4	0.009307	0.003222	9.548662	3.37e-4	0	825323	promoter	-0.012205	-0.003056	TRUE	FALSE	TRUE
chr1	4496300	4496800	Sox17	0.101544	0.029633	0.201283	0.147219	0.042987	0.148838	0.051521	0.318804	0.161607	0.050332	804	promoter	0.047294	0.021888	TRUE	TRUE	TRUE
chr1	4785476	4785989	Atp6v1h	0.042681	0.055262	5.246773	0.010533	0.002608	0.026102	0.036094	5.848321	0.006172	0.001414	284284.5	promoter	-0.016579	-0.019168	TRUE	TRUE	TRUE
chr1	4785476	4785989	Gm37587	0.100226	0.029237	5.246773	0.005572	0.001252	0.067047	0.023201	5.848321	0.003967	8.13e-4	289182.5	promoter	-0.033179	-0.006036	TRUE	TRUE	TRUE
chr1	4785476	4785989	Npbwr1	0.004654	0.001281	5.246773	2.44e-4	0	0.041061	0.014696	5.848321	0.002513	5.02e-4	1131665.5	promoter	0.036407	0.013415	FALSE	TRUE	TRUE
chr1	4785476	4785989	Rgs20	0.042625	0.055264	5.246773	0.010533	0.002608	0.026063	0.036093	5.848321	0.006171	0.001414	284552.5	promoter	-0.016562	-0.019171	TRUE	TRUE	TRUE
chr1	4785476	4785989	Sox17	0.100202	0.029241	5.246773	0.005573	0.001252	0.06705	0.02321	5.848321	0.003969	8.13e-4	288378.5	promoter	-0.033152	-0.006031	TRUE	TRUE	TRUE
chr1	4785476	4785989	Tcea1	0.033562	0.155731	5.246773	0.029681	0.008654	0.04848	0.210724	5.848321	0.036032	0.010802	72080.5	promoter	0.014918	0.054993	TRUE	TRUE	TRUE
chr1	4807537	4808141	Gm37587	0.065498	0.019106	9.774064	0.001955	2.8e-4	0.046088	0.015948	10.831471	0.001472	1.5e-4	311289	promoter	-0.01941	-0.0031580000000000002	TRUE	TRUE	TRUE
chr1	4807537	4808141	Oprk1	0.016812	0.003491	9.774064	3.57e-4	0	0.052315	0.015427	10.831471	0.001424	2.5e-4	780626	promoter	0.035503	0.011936	FALSE	TRUE	TRUE
chr1	4807537	4808141	Sox17	0.06554	0.019126	9.774064	0.001957	2.8e-4	0.04614	0.015972	10.831471	0.001475	1.5e-4	310485	promoter	-0.0194	-0.003154	TRUE	TRUE	TRUE
chr1	4807537	4808141	Tcea1	0.071432	0.331456	9.774064	0.033912	0.010004	0.10106	0.439264	10.831471	0.040554	0.012381	49974	promoter	0.029628	0.107808	TRUE	TRUE	TRUE
chr1	4857398	4858063	Alkal1	0.046022	0.039818	19.436336	0.002049	3.95e-4	0.032641	0.026733	19.212375	0.001391	2.56e-4	1501486.5	promoter	-0.013381	-0.013085	TRUE	TRUE	TRUE
chr1	4857398	4858063	Atp6v1h	0.204247	0.264456	19.436336	0.013606	0.003508	0.168186	0.232566	19.212375	0.012105	0.003078	212286.5	promoter	-0.036061	-0.03189	TRUE	TRUE	TRUE
chr1	4857398	4858063	Mrpl15	0.229909	0.576902	19.436336	0.029682	0.008654	0.240494	0.692236	19.212375	0.036031	0.010802	71991.5	promoter	0.010585	0.115334	TRUE	TRUE	TRUE
chr1	4857398	4858063	Npbwr1	0.018442	0.005076	19.436336	2.61e-4	0	0.080656	0.028867	19.212375	0.001503	2.77e-4	1059667.5	promoter	0.062214	0.023791	FALSE	TRUE	TRUE
chr1	4857398	4858063	Oprk1	0.035772	0.007428	19.436336	3.82e-4	0	0.0249	0.007343	19.212375	3.82e-4	0	730734.5	promoter	-0.010872	-8.5e-5	FALSE	FALSE	FALSE
chr1	4857398	4858063	Rgs20	0.20398	0.264468	19.436336	0.013607	0.003508	0.167942	0.232573	19.212375	0.012105	0.003078	212554.5	promoter	-0.036038	-0.031895	TRUE	TRUE	TRUE
chr1	4857398	4858063	Sgk3	0.023275	0.044956	19.436336	0.002313	3.98e-4	0.00946	0.022324	19.212375	0.001162	1.95e-4	4940375.5	promoter	-0.013815	-0.022632	TRUE	TRUE	TRUE
chr1	4857398	4858063	Sntg1	0.029333	0.018815	19.436336	9.68e-4	1.63e-4	0.012551	0.016352	19.212375	8.51e-4	1.42e-4	4442147.5	promoter	-0.016782	-0.002463	TRUE	TRUE	TRUE
chr1	4857398	4858063	Xkr4	0.010131	0.017208	19.436336	8.85e-4	1.43e-4	0.024002	0.064727	19.212375	0.003369	6.89e-4	1186232.5	promoter	0.013871	0.047519	TRUE	TRUE	TRUE
chr1	5082974	5083474	Gm37587	0.008239	0.002403	5.021928	4.79e-4	0	0.044909	0.01554	5.697845	0.002727	5.51e-4	586674	genic	0.03667	0.013137	FALSE	TRUE	TRUE
chr1	5082974	5083474	Mrpl15	0.017526	0.043977	5.021928	0.008757	0.00212	0.027729	0.079816	5.697845	0.014008	0.003547	297485	genic	0.010203	0.035839	TRUE	TRUE	TRUE
chr1	5082974	5083474	Oprk1	0.033975	0.007055	5.021928	0.001405	2.12e-4	0.046106	0.013596	5.697845	0.002386	4.58e-4	505241	genic	0.012131	0.006541	TRUE	TRUE	TRUE
chr1	5082974	5083474	Sox17	0.008247	0.002407	5.021928	4.79e-4	0	0.044897	0.015541	5.697845	0.002728	5.51e-4	585870	genic	0.03665	0.013134	FALSE	TRUE	TRUE
chr1	5915247	5915747	Npbwr1	0.149495	0.041151	0.272759	0.150869	0.04485	0.10087	0.036102	0.236928	0.152375	0.045619	1901	genic	-0.048625	-0.005049	TRUE	TRUE	TRUE
chr1	6214488	6214988	Gm26901	0.035824	0.163805	13.239479	0.012372	0.002667	0.02386	0.129192	14.183804	0.009108	0.00195	1183131	genic	-0.011964	-0.034613	TRUE	TRUE	TRUE
chr1	6214488	6214988	Mrpl15	0.034399	0.086315	13.239479	0.00652	0.00135	0.009542	0.027465	14.183804	0.001936	3.72e-4	1428999	genic	-0.024857	-0.05885	TRUE	TRUE	TRUE
chr1	6214488	6214988	Npbwr1	0.070757	0.019477	13.239479	0.001471	1.39e-4	0.098649	0.035307	14.183804	0.002489	4.16e-4	297340	genic	0.027892	0.01583	TRUE	TRUE	TRUE
chr1	6214488	6214988	Oprk1	0.086732	0.01801	13.239479	0.00136	2.21e-4	0.066043	0.019475	14.183804	0.001373	2.24e-4	626273	genic	-0.020689	0.001465	TRUE	TRUE	TRUE
chr1	6214488	6214988	Snhg6	0.02083	0.065338	13.239479	0.004935	8.95e-4	0.004287	0.014836	14.183804	0.001046	1.79e-4	3729380	genic	-0.016543	-0.050502	TRUE	TRUE	TRUE
chr1	6214488	6214988	Tcf24	0.041719	0.042923	13.239479	0.003242	5.83e-4	8.08e-4	0.001014	14.183804	7.2e-5	0	3753194	genic	-0.040911	-0.041909	TRUE	FALSE	TRUE
chr1	6306566	6307066	Alkal1	0.036387	0.031482	2.361418	0.013332	0.002719	0.020901	0.017119	1.200899	0.014255	0.003047	52401	intergenic	-0.015486	-0.014363	TRUE	TRUE	TRUE
chr1	6306566	6307066	Oprk1	0.022074	0.004584	2.361418	0.001941	3.68e-4	0.003767	0.001111	1.200899	9.25e-4	1.27e-4	718351	intergenic	-0.018307	-0.003473	TRUE	TRUE	TRUE
chr1	6382624	6383124	Alkal1	0.02988	0.025852	0.925	0.027948	0.006074	0.04207	0.034456	1.409384	0.024448	0.004668	23657	genic	0.01219	0.008604	TRUE	TRUE	TRUE
chr1	6441028	6441833	Npbwr1	0.033265	0.009157	3.411012	0.002684	5.35e-4	0.012301	0.004403	4.208391	0.001046	1.27e-4	524032.5	intergenic	-0.020964	-0.004754	TRUE	TRUE	TRUE
chr1	6729456	6729956	A830018L16Rik	0.020025	0.022436	12.219618	0.001836	3.16e-4	0.004647	0.010324	10.101756	0.001022	1.71e-4	4684398	genic	-0.015378	-0.012112	TRUE	TRUE	TRUE
chr1	6729456	6729956	Alkal1	0.044354	0.038374	12.219618	0.00314	6.24e-4	0.017222	0.014105	10.101756	0.001396	1.66e-4	370489	genic	-0.027132	-0.024269	TRUE	TRUE	TRUE
chr1	6729456	6729956	Oprk1	0.014246	0.002958	12.219618	2.42e-4	0	0.030805	0.009084	10.101756	8.99e-4	1.45e-4	1141241	genic	0.016559	0.006126	FALSE	TRUE	TRUE
chr1	6729456	6729956	Pcmtd1	0.028776	0.179091	12.219618	0.014656	0.003661	0.010038	0.062576	10.101756	0.006195	0.001427	359213	genic	-0.018738	-0.116515	TRUE	TRUE	TRUE
chr1	6729456	6729956	St18	0.083745	0.214769	12.219618	0.017576	0.004599	0.068866	0.162334	10.101756	0.01607	0.004177	242476	genic	-0.014879	-0.052435	TRUE	TRUE	TRUE
chr1	6733767	6734267	Npbwr1	0.036577	0.010068	11.768119	8.56e-4	1.2e-4	0.024044	0.008606	9.605748	8.96e-4	1.29e-4	816619	genic	-0.012533	-0.001462	TRUE	TRUE	TRUE
chr1	6739148	6739648	St18	0.013668	0.035053	3.931283	0.008916	0.00217	0.025244	0.059505	3.169474	0.018775	0.004919	252168	genic	0.011576	0.024452	TRUE	TRUE	TRUE
chr1	6760481	6760981	Npbwr1	0.020149	0.005546	4.568222	0.001214	2.05e-4	0.003693	0.001322	4.005319	3.3e-4	0	843333	genic	-0.016456	-0.004224	TRUE	FALSE	TRUE
chr1	6769907	6770407	Cpa6	0.067958	0.009997	5.47665	0.001825	3.21e-4	0.001019	2.19e-4	3.225697	6.8e-5	0	3949788	genic	-0.066939	-0.009778	TRUE	FALSE	TRUE
chr1	6783954	6784454	St18	0.013988	0.035874	5.263506	0.006816	0.001592	0.025483	0.060069	4.803491	0.012505	0.003139	296974	genic	0.011495	0.024195	TRUE	TRUE	TRUE
chr1	6819839	6820339	Alkal1	0.079039	0.068384	31.429899	0.002176	3.97e-4	0.063562	0.052059	23.710804	0.002196	4.02e-4	460872	genic	-0.015477	-0.016325	TRUE	TRUE	TRUE
chr1	6819839	6820339	Gm37587	0.012592	0.003673	31.429899	1.17e-4	0	0.05691	0.019693	23.710804	8.31e-4	1.41e-4	2323539	genic	0.044318	0.01602	FALSE	TRUE	TRUE
chr1	6819839	6820339	Mcmdc2	0.023419	0.02632	31.429899	8.37e-4	1.42e-4	0.001774	0.00207	23.710804	8.7e-5	0	3088548	genic	-0.021645	-0.02425	TRUE	FALSE	TRUE
chr1	6819839	6820339	Npbwr1	0.035144	0.009674	31.429899	3.08e-4	0	0.020391	0.007298	23.710804	3.08e-4	0	902691	genic	-0.014753	-0.002376	FALSE	FALSE	FALSE
chr1	6819839	6820339	Oprk1	0.033889	0.007037	31.429899	2.24e-4	0	0.061296	0.018075	23.710804	7.62e-4	1.18e-4	1231624	genic	0.027407	0.011038	FALSE	TRUE	TRUE
chr1	6819839	6820339	Pcmtd1	0.055891	0.347846	31.429899	0.011067	0.002762	0.042948	0.26775	23.710804	0.011292	0.002824	268830	genic	-0.012943	-0.080096	TRUE	TRUE	TRUE
chr1	6819839	6820339	Sox17	0.012592	0.003674	31.429899	1.17e-4	0	0.05689	0.019693	23.710804	8.31e-4	1.41e-4	2322735	genic	0.044298	0.016019	FALSE	TRUE	TRUE
chr1	6819839	6820339	St18	0.181006	0.464204	31.429899	0.014769	0.003718	0.192514	0.4538	23.710804	0.019139	0.004885	332859	genic	0.011507999999999999	-0.010404	TRUE	TRUE	TRUE
chr1	6819839	6820339	Tcea1	0.022135	0.102709	31.429899	0.003268	6.36e-4	0.006547	0.028459	23.710804	0.0012	2.16e-4	1962276	genic	-0.015588	-0.07425	TRUE	TRUE	TRUE
chr1	6820863	6821363	Gm37587	0.006393	0.001865	15.963105	1.17e-4	0	0.029098	0.010069	12.123301	8.31e-4	1.41e-4	2324563	genic	0.022705	0.008204	FALSE	TRUE	TRUE
chr1	6820863	6821363	Oprk1	0.017197	0.003571	15.963105	2.24e-4	0	0.031335	0.00924	12.123301	7.62e-4	1.18e-4	1232648	genic	0.014138	0.005669	FALSE	TRUE	TRUE
chr1	6820863	6821363	Sox17	0.006392	0.001865	15.963105	1.17e-4	0	0.029088	0.010069	12.123301	8.31e-4	1.41e-4	2323759	genic	0.022696	0.008204	FALSE	TRUE	TRUE
chr1	7088622	7089169	2610203C22Rik	0.007359	0.039658	29.918148	0.001326	2.38e-4	0.024598	0.127317	31.163777	0.004085	7.77e-4	2542279.5	promoter	0.017239	0.087659	TRUE	TRUE	TRUE
chr1	7088622	7089169	Adhfe1	0.013441	0.04941	29.918148	0.001652	3.02e-4	0.031998	0.110577	31.163777	0.003548	6.75e-4	2459051.5	promoter	0.018557	0.061167	TRUE	TRUE	TRUE
chr1	7088622	7089169	Alkal1	0.138615	0.119928	29.918148	0.004009	8.58e-4	0.112531	0.092165	31.163777	0.002957	6.09e-4	729678.5	promoter	-0.026084	-0.027763	TRUE	TRUE	TRUE
chr1	7088622	7089169	Arfgef1	0.047865	0.119334	29.918148	0.003989	7.38e-4	0.02941	0.068645	31.163777	0.002203	4e-4	3143774.5	promoter	-0.018455	-0.050689	TRUE	TRUE	TRUE
chr1	7088622	7089169	Atp6v1h	0.021248	0.027512000000000002	29.918148	9.2e-4	1.59e-4	0.003042	0.004206	31.163777	1.35e-4	0	2018878.5	promoter	-0.018206	-0.023306	TRUE	FALSE	TRUE
chr1	7088622	7089169	Cops5	0.006321	0.022439	29.918148	7.5e-4	1.26e-4	0.024789	0.094896	31.163777	0.003045	5.64e-4	2949272.5	promoter	0.018468	0.072457	TRUE	TRUE	TRUE
chr1	7088622	7089169	Cspp1	0.006321	0.022439	29.918148	7.5e-4	1.26e-4	0.024788	0.094895	31.163777	0.003045	5.64e-4	2949090.5	promoter	0.018467	0.072456	TRUE	TRUE	TRUE
chr1	7088622	7089169	Gm26901	0.07769	0.355239	29.918148	0.011874	0.00296	0.049291	0.266889	31.163777	0.008564	0.002065	308973.5	promoter	-0.028399	-0.08835	TRUE	TRUE	TRUE
chr1	7088622	7089169	Gm37988	0.012826	0.04035	29.918148	0.001349	2.44e-4	0.048218	0.17508	31.163777	0.005618	0.001092	2281004.5	promoter	0.035392	0.13473	TRUE	TRUE	TRUE
chr1	7088622	7089169	Lypla1	0.012825	0.040351	29.918148	0.001349	2.44e-4	0.048216	0.175082	31.163777	0.005618	0.001092	2281108.5	promoter	0.035391	0.134731	TRUE	TRUE	TRUE
chr1	7088622	7089169	Mcmdc2	0.045102	0.05069	29.918148	0.001694	3.07e-4	0.002559	0.002987	31.163777	9.6e-5	0	2819741.5	promoter	-0.042543	-0.047703	TRUE	FALSE	TRUE
chr1	7088622	7089169	Mybl1	0.01399	0.045659	29.918148	0.001526	2.77e-4	0.025887	0.076286	31.163777	0.002448	4.56e-4	2611313.5	promoter	0.011897	0.030627	TRUE	TRUE	TRUE
chr1	7088622	7089169	Npbwr1	0.025615	0.007051	29.918148	2.36e-4	0	0.085862	0.03073	31.163777	9.86e-4	1.65e-4	1171497.5	promoter	0.060247	0.023679	FALSE	TRUE	TRUE
chr1	7088622	7089169	Ppp1r42	0.002858	0.002767	29.918148	9.2e-5	0	0.025402	0.034185	31.163777	0.001097	1.92e-4	2920240.5	promoter	0.022544	0.031418	FALSE	TRUE	TRUE
chr1	7088622	7089169	Prex2	0.004648	0.002055	29.918148	6.9e-5	0	0.059974	0.032015	31.163777	0.001027	1.75e-4	3904568.5	promoter	0.055326	0.02996	FALSE	TRUE	TRUE
chr1	7088622	7089169	Rgs20	0.02122	0.027512000000000002	29.918148	9.2e-4	1.59e-4	0.003038	0.004207	31.163777	1.35e-4	0	2018610.5	promoter	-0.018182	-0.023305	TRUE	FALSE	TRUE
chr1	7088622	7089169	Rrs1	0.013449	0.049406	29.918148	0.001651	3.02e-4	0.032028	0.110563	31.163777	0.003548	6.75e-4	2456511.5	promoter	0.018579	0.061157	TRUE	TRUE	TRUE
chr1	7088622	7089169	Sntg1	0.005736	0.003679	29.918148	1.23e-4	0	0.023165	0.030181	31.163777	9.68e-4	1.69e-4	2210982.5	promoter	0.017429	0.026502	FALSE	TRUE	TRUE
chr1	7088622	7089169	St18	0.130348	0.334287	29.918148	0.011173	0.002611	0.075624	0.178264	31.163777	0.00572	0.001281	601665.5	promoter	-0.054724	-0.156023	TRUE	TRUE	TRUE
chr1	7088622	7089169	Tcea1	0.034138	0.158405	29.918148	0.005295	0.001031	0.022926	0.09965	31.163777	0.003198	6.13e-4	2231082.5	promoter	-0.011212	-0.058755	TRUE	TRUE	TRUE
chr1	7088622	7089169	Tcf24	0.002729	0.002807	29.918148	9.4e-5	0	0.089406	0.112237	31.163777	0.003602	6.72e-4	2879036.5	promoter	0.086677	0.10943	FALSE	TRUE	TRUE
chr1	7088622	7089169	Vcpip1	0.03136	0.115945	29.918148	0.003875	7.32e-4	0.018659	0.07546	31.163777	0.002421	4.5e-4	2659486.5	promoter	-0.012701	-0.040485	TRUE	TRUE	TRUE
chr1	7088622	7089169	Xkr4	0.045479	0.077251	29.918148	0.002582	4.67e-4	0.011069	0.02985	31.163777	9.58e-4	1.64e-4	3417397.5	promoter	-0.03441	-0.047401	TRUE	TRUE	TRUE
chr1	7397619	7398279	Adhfe1	0.047506	0.174638	20.746723	0.008418	0.001661	0.033765	0.11668100000000001	25.392698	0.004595	8.95e-4	2149998	promoter	-0.013741	-0.057957	TRUE	TRUE	TRUE
chr1	7397619	7398279	Alkal1	0.034406	0.029768	20.746723	0.001435	2.62e-4	0.082834	0.067843	25.392698	0.002672	5.39e-4	1038732	promoter	0.048428	0.038075	TRUE	TRUE	TRUE
chr1	7397619	7398279	Arfgef1	0.030052	0.074923	20.746723	0.003611	6.75e-4	0.04114	0.096024	25.392698	0.003782	7.08e-4	2834721	promoter	0.011088	0.021101	TRUE	TRUE	TRUE
chr1	7397619	7398279	Atp6v1h	0.001869	0.00242	20.746723	1.17e-4	0	0.059432	0.082182	25.392698	0.003236	6.17e-4	2327932	promoter	0.057563	0.079762	FALSE	TRUE	TRUE
chr1	7397619	7398279	Cops5	5.99e-4	0.002127	20.746723	1.03e-4	0	0.034756	0.13305	25.392698	0.00524	9.97e-4	2640219	promoter	0.034157	0.130923	FALSE	TRUE	TRUE
chr1	7397619	7398279	Cspp1	5.99e-4	0.002127	20.746723	1.03e-4	0	0.034755	0.133049	25.392698	0.00524	9.97e-4	2640037	promoter	0.034156	0.130922	FALSE	TRUE	TRUE
chr1	7397619	7398279	Gm37587	0.103839	0.030291	20.746723	0.00146	2.62e-4	0.006831	0.002364	25.392698	9.3e-5	0	2901399	promoter	-0.097008	-0.027927	TRUE	FALSE	TRUE
chr1	7397619	7398279	Mcmdc2	0.028523	0.032056	20.746723	0.001545	2.81e-4	0.068436	0.079876	25.392698	0.003146	5.94e-4	2510688	promoter	0.039913	0.04782	TRUE	TRUE	TRUE
chr1	7397619	7398279	Ppp1r42	0.03965	0.038388	20.746723	0.00185	3.4e-4	0.001957	0.002633	25.392698	1.04e-4	0	2611187	promoter	-0.037693	-0.035755	TRUE	FALSE	TRUE
chr1	7397619	7398279	Rgs20	0.001867	0.00242	20.746723	1.17e-4	0	0.059343	0.082181	25.392698	0.003236	6.17e-4	2327664	promoter	0.057476	0.079761	FALSE	TRUE	TRUE
chr1	7397619	7398279	Rrs1	0.047532	0.174609	20.746723	0.008416	0.001661	0.033796	0.116664	25.392698	0.004594	8.95e-4	2147458	promoter	-0.013736	-0.057945	TRUE	TRUE	TRUE
chr1	7397619	7398279	Sox17	0.103796	0.03029	20.746723	0.00146	2.62e-4	0.006831	0.002364	25.392698	9.3e-5	0	2900595	promoter	-0.096965	-0.027926	TRUE	FALSE	TRUE
chr1	7397619	7398279	St18	0.028474	0.073023	20.746723	0.00352	7.35e-4	0.003286	0.007745	25.392698	3.05e-4	0	910719	promoter	-0.025188	-0.065278	TRUE	FALSE	TRUE
chr1	7397619	7398279	Tcea1	0.019675	0.091297	20.746723	0.004401	8.39e-4	0.033057	0.143686	25.392698	0.005659	0.001084	2540136	promoter	0.013382	0.052389	TRUE	TRUE	TRUE
chr1	7397619	7398279	Tcf24	0.032753	0.033698	20.746723	0.001624	2.96e-4	0.002132	0.002677	25.392698	1.05e-4	0	2569983	promoter	-0.030621	-0.031021	TRUE	FALSE	TRUE
chr1	7397619	7398279	Vcpip1	0.038682	0.143018	20.746723	0.006894	0.00134	0.026008	0.10518	25.392698	0.004142	7.96e-4	2350433	promoter	-0.012674	-0.037838	TRUE	TRUE	TRUE
chr1	7397619	7398279	Xkr4	0.057608	0.097853	20.746723	0.004717	8.55e-4	0.015521	0.041856	25.392698	0.001648	2.9e-4	3726451	promoter	-0.042087	-0.055997	TRUE	TRUE	TRUE
chr1	9248422	9248922	Sntg1	0.026454	0.016968	0.864527	0.019627	0.004925	0.008889	0.011581	0.843514	0.013729	0.002822	51206	genic	-0.017565	-0.005387	TRUE	TRUE	TRUE
chr1	9299187	9300128	Cpa6	0.002884	4.24e-4	2.19287	1.93e-4	0	0.059949	0.012874	5.889652	0.002186	4.26e-4	1420287.5	promoter	0.057065	0.01245	FALSE	TRUE	TRUE
chr1	9299187	9300128	Npbwr1	0.009973	0.002745	2.19287	0.001252	2.19e-4	0.034937	0.012504	5.889652	0.002123	3.82e-4	3382259.5	promoter	0.024964	0.009759	TRUE	TRUE	TRUE
chr1	9545068	9545657	Adhfe1	0.3801	1.397302	10.563631	0.132275	0.035358	0.427595	1.477651	11.028358	0.133986	0.036231	2584.5	promoter	0.047495	0.080349	TRUE	TRUE	TRUE
chr1	9545068	9545657	Cops5	0.054148	0.192208	10.563631	0.018195	0.004432	0.031509	0.12062	11.028358	0.010937	0.002607	492805.5	promoter	-0.022639	-0.071588	TRUE	TRUE	TRUE
chr1	9545068	9545657	Cspp1	0.054145	0.1922	10.563631	0.018195	0.004432	0.031507	0.120616	11.028358	0.010937	0.002607	492623.5	promoter	-0.022638	-0.071584	TRUE	TRUE	TRUE
chr1	9545068	9545657	Mcmdc2	0.053972	0.060658	10.563631	0.005742	0.001307	0.021309	0.02487	11.028358	0.002255	3.88e-4	363274.5	promoter	-0.032663	-0.035788	TRUE	TRUE	TRUE
chr1	9545068	9545657	Mybl1	0.114709	0.374379	10.563631	0.03544	0.010092	0.127281	0.375078	11.028358	0.03401	0.009662	154846.5	promoter	0.012572	6.99e-4	TRUE	TRUE	TRUE
chr1	9545068	9545657	Oprk1	0.003446	7.16e-4	10.563631	6.8e-5	0	0.034212	0.010089	11.028358	9.15e-4	1.54e-4	3956897.5	promoter	0.030766	0.009373	FALSE	TRUE	TRUE
chr1	9545068	9545657	Prex2	0.026648	0.011779	10.563631	0.001115	1.97e-4	0.003919	0.002092	11.028358	1.9e-4	0	1448101.5	promoter	-0.022729	-0.009687	TRUE	FALSE	TRUE
chr1	9545068	9545657	Sgk3	0.0681	0.131539	10.563631	0.012452	0.003155	0.050355	0.118833	11.028358	0.010775	0.002688	252743.5	promoter	-0.017745	-0.012706	TRUE	TRUE	TRUE
chr1	9545068	9545657	Sntg1	0.057141	0.036652	10.563631	0.00347	6.44e-4	0.027574	0.035925	11.028358	0.003258	5.85e-4	245484.5	promoter	-0.029567	-7.27e-4	TRUE	TRUE	TRUE
chr1	9545068	9545657	Tcf24	0.022561	0.023212	10.563631	0.002197	3.93e-4	0.052259	0.065604	11.028358	0.005949	0.001359	422569.5	promoter	0.029698	0.042392	TRUE	TRUE	TRUE
chr1	9545068	9545657	Vcpip1	0.062002	0.229237	10.563631	0.021701	0.005848	0.045674	0.184712	11.028358	0.016749	0.00442	203019.5	promoter	-0.016328	-0.044525	TRUE	TRUE	TRUE
chr1	9545068	9545657	Vxn	0.098382	0.18633	10.563631	0.017639	0.004333	0.084003	0.174068	11.028358	0.015784	0.003681	55835.5	promoter	-0.014379	-0.012262	TRUE	TRUE	TRUE
chr1	9630046	9630546	2610203C22Rik	0.55339	2.982067	21.966619	0.135755	0.037134	0.542671	2.808762	19.463639	0.144308	0.041501	879	genic	-0.010719	-0.173305	TRUE	TRUE	TRUE
chr1	9630046	9630546	Adhfe1	0.136194	0.500667	21.966619	0.022792	0.006368	0.099012	0.342156	19.463639	0.017579	0.004641	82349	genic	-0.037182	-0.158511	TRUE	TRUE	TRUE
chr1	9630046	9630546	Arfgef1	0.061492	0.153307	21.966619	0.006979	0.001588	0.022098	0.051578	19.463639	0.00265	5.33e-4	602374	genic	-0.039394	-0.101729	TRUE	TRUE	TRUE
chr1	9630046	9630546	Atp6v1h	0.029883	0.038692	21.966619	0.001761	3.04e-4	8.25e-4	0.00114	19.463639	5.9e-5	0	4560279	genic	-0.029058	-0.037552	TRUE	FALSE	TRUE
