chr	start	end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	distance	class	delta_ABC	delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either
chr8	30227309	30227809	Gm45490	0.044019	0.015239	2.384294	0.006391	0.001444	0.046945	0.027018	4.222762	0.006398	0.001446	214665	intergenic	0.002926	0.011779	TRUE	TRUE	TRUE
chr8	30541941	30542733	Gm45490	0.008144	0.002819	0.659531	0.004275	4.33e-4	0.026168	0.015061	2.04531	0.007364	0.001427	100113	intergenic	0.018024	0.012242	TRUE	TRUE	TRUE
chr8	30636755	30637255	Gm45490	0.012608	0.004365	0.832103	0.005246	0.001093	0.021522	0.012387	1.800044	0.006881	0.001567	194781	intergenic	0.008914	0.008022	TRUE	TRUE	TRUE
chr8	30643254	30643754	Gm45490	0.026066	0.009024	2.328607	0.003875	7.06e-4	0.104286	0.06002	6.895392	0.008704	0.0021	201280	intergenic	0.07822	0.050996	TRUE	TRUE	TRUE
chr8	30915814	30916760	Gm45490	0.011753	0.004069	2.582598	0.001575	2.48e-4	0.050309	0.028954	4.101208	0.00706	0.001635	474063	intergenic	0.038556	0.024885	TRUE	TRUE	TRUE
chr8	30915814	30916760	Gm45571	0.031578	0.011661	2.582598	0.004515	8.68e-4	0.00865	0.005679	4.101208	0.001385	2.51e-4	2386570	intergenic	-0.022928	-0.005982	TRUE	TRUE	TRUE
chr8	30923722	30924222	Gm45490	0.014535	0.005032	0.8544	0.00589	0.001339	0.025738	0.014813	1.731677	0.008554	0.002011	481748	intergenic	0.011203	0.009781	TRUE	TRUE	TRUE
chr8	31031758	31032258	AC132407.1	0.034914	0.022913	7.816455	0.002931	6.01e-4	0.016281	0.013252	6.806871	0.001947	3.75e-4	886750	intergenic	-0.018633	-0.009661	TRUE	TRUE	TRUE
chr8	31031758	31032258	Dusp26	0.028688	0.191184	7.816455	0.024459	0.006758	0.026297	0.181298	6.806871	0.026635	0.00752	57462	intergenic	-0.002391	-0.009886	TRUE	TRUE	TRUE
chr8	31031758	31032258	Gm26795	0.02548	0.010189	7.816455	0.001304	2.34e-4	0.015289	0.016039	6.806871	0.002356	4.41e-4	2438504	intergenic	-0.010191	0.00585	TRUE	TRUE	TRUE
chr8	31031758	31032258	Gm45490	0.061053	0.021136	7.816455	0.002704	5.45e-4	0.036086	0.020769	6.806871	0.003051	6.3e-4	589784	intergenic	-0.024967	-3.67e-4	TRUE	TRUE	TRUE
chr8	31031758	31032258	Tex24	0	0	0	0	0	0.022671	0.011749	6.806871	0.001726	3.05e-4	3687615	intergenic	0.022671	0.011749	FALSE	TRUE	TRUE
chr8	31031758	31032258	Unc5d	0.038803	0.029577	7.816455	0.003784	7.47e-4	0.016649	0.028257	6.806871	0.004151	8.23e-4	1812372	intergenic	-0.022154	-0.00132	TRUE	TRUE	TRUE
chr8	31033188	31033688	Gm45490	0.025293	0.008757	3.238669	0.002704	5.45e-4	0.016005	0.009211	3.019188	0.003051	6.3e-4	591214	intergenic	-0.009288	4.54e-4	TRUE	TRUE	TRUE
chr8	31089220	31090101	1700008N11Rik	0.066425	0.017124	16.854839	0.001016	1.76e-4	0	0	0	0	0	3004833.5	promoter	-0.066425	-0.017124	TRUE	FALSE	TRUE
chr8	31089220	31090101	AC132407.1	0.037028	0.0243	16.854839	0.001442	2.57e-4	0.031546	0.025678	19.115485	0.001343	2.34e-4	829097.5	promoter	-0.005482	0.001378	TRUE	TRUE	TRUE
chr8	31089220	31090101	Chrna6	0	0	0	0	0	0.048838	0.021718	19.115485	0.001136	1.96e-4	3675716.5	promoter	0.048838	0.021718	FALSE	TRUE	TRUE
