loop_id	loop_chr1	loop_start1	loop_end1	loop_chr2	loop_start2	loop_end2	loop_logFC	loop_FDR	loop_direction	loop_type	loop_significant	enh_chr	enh_start	enh_end	target_gene	tss_chr	tss_start	tss_end	abc_score_wt	abc_score_ko	delta_ABC	delta_unnorm	distance	match_case
loop_1219	chr10	109010000	109020000	chr10	109680000	109690000	-0.304971175567785	0.0201687014333943	down_in_mutant	Active_Promoter-Active_Enhancer	TRUE	chr10	109684121	109685092	Syt1	chr10	109010732	109011232	0.035027	0.029937	-0.00509	-0.214077	673624.5	B
loop_16577	chr10	11825000	11850000	chr10	12600000	12625000	0.381283509487173	0.0013710826767742	up_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	chr10	12612396	12612896	Gm48697	chr10	11841681	11842181	0.015282	0.032677	0.017395	0.022971	770715	B
loop_16577	chr10	11825000	11850000	chr10	12600000	12625000	0.381283509487173	0.0013710826767742	up_in_mutant	Active_Enhancer-Poised_Enhancer	TRUE	chr10	12614699	12615199	Gm48697	chr10	11841681	11842181	0.01889	0.044936	0.026046	0.033462	773018	B
loop_5204	chr10	120975000	120980000	chr10	121030000	121035000	0.327452158113513	0.0135860780220991	up_in_mutant	Active_Promoter-Repressed_Promoter	TRUE	chr10	120979082	120979781	Wif1	chr10	121033709	121034209	0.221423	0.277742	0.056319	0.197243	54527.5	A
loop_6205	chr10	121830000	121840000	chr10	122040000	122050000	0.518034814074546	8.01319277124314e-05	up_in_mutant	Repressed_Promoter-Polycomb	TRUE	chr10	121836738	121837884	Srgap1	chr10	122047065	122047565	0.017362	0.021006	0.003644	0.02044	210004	A
loop_18556	chr10	15300000	15310000	chr10	16990000	17000000	-0.538124470394699	0.0012731049801025	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr10	16990084	16990584	Gm47710	chr10	15299980	15300480	0.036539	0.035967	-0.000572	-0.088669	1690104	B
loop_18556	chr10	15300000	15310000	chr10	16990000	17000000	-0.538124470394699	0.0012731049801025	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr10	16993710	16994210	Gm47710	chr10	15299980	15300480	0.048481	0.075697	0.027216	-0.019111	1693730	B
loop_16479	chr10	15300000	15325000	chr10	16975000	17000000	-0.602087166316014	5.9846921149292e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr10	16990084	16990584	Gm47710	chr10	15299980	15300480	0.036539	0.035967	-0.000572	-0.088669	1690104	B
loop_16479	chr10	15300000	15325000	chr10	16975000	17000000	-0.602087166316014	5.9846921149292e-05	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr10	16993710	16994210	Gm47710	chr10	15299980	15300480	0.048481	0.075697	0.027216	-0.019111	1693730	B
loop_1312	chr10	15300000	15325000	chr10	17125000	17150000	-0.423638848324184	0.000228709202476	down_in_mutant	Active_Enhancer-Active_Enhancer	TRUE	chr10	17129555	17130055	Gm47710	chr10	15299980	15300480	0.037812	0.017214	-0.020598	-0.162221	1829575	B
