top_enh_chr	top_enh_start	top_enh_end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	top_enh_distance	top_enh_class	max_delta_abc	max_delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either	log2FC	padj	baseMean	n_enhancers	mean_delta_abc	sum_delta_unnorm	n_gained	n_lost	sum_abc_wt	sum_abc_ko	dysregulated
chr2	25224452	25225074	0610009E02Rik	0.012225	0.302024	139.596296	0.002164	0.000424	0.020484	0.523815	138.976205	0.003769	0.000775	1220932.000000	promoter	0.008259	0.221791	True	True	True	-0.333899	0.416098	77.816098	4	0.000812	0.147256	0	0	0.074112	0.077358	False
chr6	71831080	71831795	0610030E20Rik	0.044062	0.526973	80.069876	0.006581	0.001507	0.080946	0.999191	83.807301	0.011922	0.002841	515878.500000	promoter	0.036884	0.472218	True	True	True	-0.004591	0.989496	223.235710	10	-0.000567	0.185429	2	4	0.665129	0.659455	False
chr5	64144251	64144751	0610040J01Rik	0.013252	0.016760	19.555626	0.000857	0.000000	0.059565	0.085899	25.018609	0.003433	0.000689	332139.000000	intergenic	0.046313	0.069139	False	True	True	-0.410215	0.080169	142.972051	12	-0.001482	0.050790	3	2	0.430995	0.413216	False
chr3	138026241	138026741	1110002E22Rik	0.175242	1.251734	37.516184	0.033365	0.009532	0.105143	0.611566	21.026325	0.029086	0.007938	38560.000000	intergenic	-0.070099	-0.640168	True	True	True	-0.041783	0.982414	6.030834	11	-0.001582	-1.052174	4	4	0.716965	0.699567	False
chr10	67083613	67084113	1110002J07Rik	0.116707	0.948401	40.017833	0.023699	0.006537	0.135816	1.088664	38.963121	0.027941	0.007802	163605.000000	genic	0.019109	0.140263	True	True	True	0.156335	0.945376	2.732645	11	0.004590	0.338375	6	1	0.599155	0.649644	False
chr7	116092909	116093601	1110004F10Rik	0.280762	1.002576	56.485954	0.017749	0.004326	0.200225	0.943321	55.835015	0.016895	0.004023	53859.000000	promoter	-0.080537	-0.059255	True	True	True	0.122802	0.530699	338.735746	8	-0.002969	0.628548	4	3	0.649282	0.625530	False
chr2	167189905	167190484	1110018N20Rik	0.101393	0.739032	5.011851	0.147457	0.043108	0.126542	1.219188	8.435947	0.144523	0.041610	1493.500000	promoter	0.025149	0.480156	True	True	True	0.920083	0.148889	7.401120	13	0.003321	1.647779	4	2	0.525122	0.568289	False
chr6	13677716	13678362	1110019D14Rik	0.151182	0.743561	46.663239	0.015935	0.004196	0.170719	0.741852	45.720643	0.016226	0.004280	193486.000000	promoter	0.019537	-0.001709	True	True	True	-0.622608	0.000070	157.279584	5	0.008190	-0.034201	2	0	0.370329	0.411278	True
chr17	34931002	34931620	1110038B12Rik	0.067079	1.555629	29.429657	0.052859	0.015725	0.077153	1.747050	30.150295	0.057945	0.017803	21160.000000	promoter	0.010074	0.191421	True	True	True	-0.052412	0.959898	16.839645	12	-0.000976	-0.536669	1	0	0.496427	0.484716	False
chr15	76952345	76952845	1110038F14Rik	0.041901	0.564253	3.506585	0.160913	0.049977	0.067139	0.884043	5.026510	0.175876	0.057616	4090.000000	intergenic	0.025238	0.319790	True	True	True	-0.090599	0.896425	39.258770	10	0.003926	0.439183	4	0	0.260214	0.299475	False
chr19	21742078	21742578	1110059E24Rik	0.124820	2.332265	50.550417	0.046137	0.014022	0.094978	1.689963	40.483782	0.041744	0.012585	89352.000000	intergenic	-0.029842	-0.642302	True	True	True	-0.289425	0.000560	354.643936	3	-0.002767	-0.309073	1	1	0.180980	0.172679	False
chr9	124424270	124424770	1110059G10Rik	0.046768	0.241429	35.844141	0.006736	0.001391	0.001396	0.006642	35.645712	0.000186	0.000000	1473520.000000	genic	-0.045372	-0.234787	True	False	True	0.001786	0.998044	56.811989	12	-0.003742	-0.399524	2	3	0.460380	0.415479	False
chr4	124751104	124751786	1110065P20Rik	0.041354	0.597550	32.564202	0.018350	0.004959	0.024986	0.389546	32.446625	0.012006	0.002917	99751.000000	promoter	-0.016368	-0.208004	True	True	True	-0.329356	0.756357	8.799343	8	-0.001853	0.215485	0	1	0.391464	0.376643	False
chr16	22857419	22858094	1300002E11Rik	0.030083	0.269038	66.595182	0.004040	0.000844	0.015826	0.150489	66.076474	0.002277	0.000451	1063439.500000	promoter	-0.014257	-0.118549	True	True	True	-0.006516	0.985649	375.110110	7	-0.005739	-0.151433	0	3	0.407647	0.367472	False
chr3	87885358	87885955	1500004A13Rik	0.032004	0.496724	102.935377	0.004826	0.001031	0.001763	0.030204	103.054408	0.000293	0.000000	946890.500000	promoter	-0.030241	-0.466520	True	False	True	0.030705	0.943211	188.076355	14	0.000238	0.733538	3	2	0.420175	0.423502	False
chr10	83620289	83620789	1500009L16Rik	0.069182	0.491655	42.557969	0.011553	0.002785	0.106100	0.851027	54.827084	0.015522	0.004057	102325.000000	genic	0.036918	0.359372	True	True	True	0.304749	0.125404	78.783842	6	0.005258	0.565059	2	1	0.341263	0.372811	False
chr7	75329668	75330168	1500012K07Rik	0.187331	3.288229	53.120487	0.061901	0.019429	0.149956	2.189060	35.203098	0.062184	0.019545	21223.000000	genic	-0.037375	-1.099169	True	True	True	-1.099014	0.063366	9.304954	6	-0.004998	-2.428509	2	3	0.673673	0.643686	False
chr17	15009925	15010425	1600012H06Rik	0.154123	1.169972	22.087210	0.052971	0.016611	0.015959	0.110087	24.922198	0.004417	0.000000	66992.000000	promoter	-0.138164	-1.059885	True	False	True	0.204943	0.582742	46.357459	7	-0.003396	-0.423068	3	3	0.373750	0.349975	False
chr7	38183762	38184262	1600014C10Rik	0.231001	2.925103	17.973387	0.162746	0.050913	0.295214	3.183925	19.233960	0.165537	0.052338	796.000000	genic	0.064213	0.258822	True	True	True	0.467740	0.338925	14.204230	9	-0.003605	-1.633823	2	4	0.683830	0.651388	False
chr5	146190462	146190962	1700001J03Rik	0.479944	3.664003	27.894457	0.131352	0.036920	0.447128	3.048099	23.756504	0.128306	0.035384	5408.000000	genic	-0.032816	-0.615904	True	True	True	0.147465	0.934194	4.588423	7	-0.001316	-0.663218	2	2	0.734778	0.725568	False
chr12	111813623	111814419	1700001K19Rik	0.014891	0.121360	112.381775	0.001080	0.000185	0.041396	0.331342	116.578217	0.002842	0.000575	1131402.000000	promoter	0.026505	0.209982	True	True	True	-0.279436	0.457765	46.982215	12	0.000188	-0.045558	3	3	0.436662	0.438916	False
chr15	81190507	81191176	1700001L05Rik	0.001992	0.009783	78.282373	0.000125	0.000000	0.022273	0.109235	78.833379	0.001386	0.000252	2176440.500000	promoter	0.020281	0.099452	False	True	True	0.118206	0.955930	3.598531	9	-0.000125	-0.006971	2	1	0.250919	0.249790	False
chr2	30807575	30808100	1700001O22Rik	0.331539	7.399212	42.096126	0.175769	0.057562	0.289773	6.714860	37.906984	0.177140	0.058262	4176.500000	promoter	-0.041766	-0.684352	True	True	True	0.972422	0.086279	7.398984	10	-0.001651	0.119930	3	2	0.587802	0.571287	False
chr6	83185944	83186444	1700003E16Rik	0.053089	0.781480	25.337215	0.030843	0.008030	0.063154	0.928002	29.076629	0.031916	0.008446	29791.000000	genic	0.010065	0.146522	True	True	True	-0.220752	0.839942	8.168685	16	0.000071	0.000193	1	0	0.637708	0.638843	False
chr4	129967315	129967815	1700003M07Rik	0.059532	0.661823	4.195073	0.157762	0.055186	0.104425	1.317106	7.480604	0.176070	0.064023	7192.000000	intergenic	0.044893	0.655283	True	True	True	-0.783961	0.278929	9.782634	8	-0.000114	0.499165	1	2	0.341391	0.340480	False
chr7	44304897	44305397	1700008O03Rik	0.060564	1.636874	110.696904	0.014787	0.003702	0.050052	1.367623	102.708206	0.013316	0.003213	80673.000000	genic	-0.010512	-0.269251	True	True	True	-0.142497	0.769906	32.319961	11	-0.001029	-0.116451	0	1	0.649088	0.637767	False
chr17	12916010	12916595	1700010I14Rik	0.001229	0.006881	100.810044	0.000068	0.000000	0.037079	0.207845	101.349689	0.002051	0.000362	3927970.500000	promoter	0.035850	0.200964	False	True	True	0.142969	0.915738	8.704775	11	-0.001343	-0.080464	3	3	0.432518	0.417741	False
