enh_key	chr	start	end	delta_activity	activity_base_WT	activity_base_KO	mean_delta_abc	mean_delta_unnorm	max_abs_delta_unnorm	n_genes	has_H3K27ac	enhancer_id	chr.k119	start.k119	end.k119	ctrl1	ctrl2	ctrl3	ctrl4	mut1	mut2	mut3	mut4	ctrl_mean	mut_mean	log2fc	signal_class	median_distance
chr1:10037736-10038418	chr1	10037736	10038418	0.988745	10.547443	11.536188	-0.00114635294117647	0.00324182352941177	0.082069	17	TRUE	chr1:10037736-10038418	chr1	10037736	10038418	3.759675	2.180569	3.903946	5.908562	4.051781	3.671151	5.917575	7.913731	3.938188	5.38856	0.370544	quantifiable	397495
chr1:10039673-10040173	chr1	10039673	10040173	0.63363	3.106361	3.739991	0.00240275	0.023966375	0.07296	8	FALSE	chr1:10039673-10040173	chr1	10039673	10040173	0.460047	1.434387	3.973798	5.704075	3.729197	2.472386	3.962405	6.667628	2.893077	4.207904	0.418431	quantifiable	83898
chr1:101122390-101122890	chr1	101122390	101122890	4.951827	1.150449	6.102276	0.037745	0.012363	0.012363	1	FALSE	chr1:101122390-101122890	chr1	101122390	101122890	17.351436	19.48454	2.562751	6.718507	13.053118	15.829282	7.794617	5.036897	11.529309	10.428479	-0.132512	quantifiable	1349876
chr1:101272381-101272881	chr1	101272381	101272881	2.052107	5.087503	7.13961	0.032316	0.0080485	0.008865	2	TRUE	chr1:101272381-101272881	chr1	101272381	101272881	4.654783	8.625637	3.428709	0.786386	4.488172	1.678569	1.338895	3.657215	4.373879	2.790713	-0.501864	quantifiable	2873466.5
chr1:10232420-10233360	chr1	10232420	10233360	0.528102999999999	7.907981	8.436084	-0.00481553846153846	-0.00928661538461538	0.050991	13	TRUE	chr1:10232420-10233360	chr1	10232420	10233360	3.06623	1.094184	4.021342	5.297677	2.142898	2.080822	4.498436	2.683336	3.369858	2.851373	-0.181567	quantifiable	484508
chr1:102775155-102775655	chr1	102775155	102775655	0.591791	3.890929	4.48272	-0.002065	0.003755	0.003755	1	FALSE	chr1:102775155-102775655	chr1	102775155	102775655	51.6219	59.117574	35.190575	35.749487	35.287515	29.776633	21.406937	20.580492	45.419884	26.762894	-0.74128	quantifiable	3002641
chr1:102776227-102776727	chr1	102776227	102776727	0.847033	5.60463	6.451663	-0.003	0.005401	0.005401	1	FALSE	chr1:102776227-102776727	chr1	102776227	102776727	53.973293	77.15852	44.146426	41.821159	46.255376	36.456422	25.479552	24.983389	54.274849	33.293685	-0.688447	quantifiable	3003713
chr1:104755796-104756296	chr1	104755796	104756296	0.208232	0.656678	0.86491	0.00381	0.021441	0.021441	1	FALSE	chr1:104755796-104756296	chr1	104755796	104756296	9.518083	7.800593	4.088093	3.574257	12.591505	10.43132	5.552618	9.928026	6.245257	9.625867	0.551549	quantifiable	12482
chr1:104770167-104770667	chr1	104770167	104770667	0.176611	2.901167	3.077778	-0.024352	0.01326	0.030919	2	TRUE	chr1:104770167-104770667	chr1	104770167	104770667	9.264203	16.892593	5.862405	7.37462	13.014437	9.075488	11.190273	12.012541	9.848455	11.323185	0.183654	quantifiable	2499771
chr1:104771902-104772402	chr1	104771902	104772402	0.046861	1.596025	1.642886	-0.011828	0.009568	0.009568	1	FALSE	chr1:104771902-104772402	chr1	104771902	104772402	5.620866	10.390359	8.31777	4.673883	7.17107	6.827603	6.641708	8.940504	7.25072	7.395221	0.025005	quantifiable	3624
chr1:105002184-105002684	chr1	105002184	105002684	0.276113000000002	19.476273	19.752386	-0.0035018	-0.0112068	0.143441	5	TRUE	chr1:105002184-105002684	chr1	105002184	105002684	15.678047	12.145001	5.821991	7.080163	11.674984	12.912103	8.1164	11.875556	10.1813	11.144761	0.119097	quantifiable	661243
chr1:105003802-105004302	chr1	105003802	105004302	-4.625387	10.963225	6.337838	-0.0135884	-0.0642996	0.092617	5	TRUE	chr1:105003802-105004302	chr1	105003802	105004302	8.666914	11.849423	5.999389	2.790806	8.98806	7.247852	4.52463	3.911347	7.326633	6.167972	-0.21576	quantifiable	659625
chr1:105355465-105355965	chr1	105355465	105355965	0.812424	5.780905	6.593329	0.036043	0.160805	0.160805	1	TRUE	chr1:105355465-105355965	chr1	105355465	105355965	4.997174	4.176213	7.028254	6.396391	2.6624	3.910913	3.330776	2.201278	5.649508	3.026342	-0.721721	quantifiable	995
chr1:105356346-105356960	chr1	105356346	105356960	-0.0980880000000006	17.174478	17.07639	0.002525	-0.0187245	0.018725	2	TRUE	chr1:105356346-105356960	chr1	105356346	105356960	9.514287	6.760582	10.566295	11.154001	4.991555	8.153575	13.722383	7.928721	9.498791	8.699058	-0.114142	quantifiable	307115.5
chr1:105358791-105359291	chr1	105358791	105359291	-1.130824	3.437445	2.306621	-0.016389	-0.165892	0.165892	1	FALSE	chr1:105358791-105359291	chr1	105358791	105359291	3.741348	7.696295	3.9182	2.875074	7.348966	4.509706	3.113737	2.514972	4.55773	4.371845	-0.048947	quantifiable	2331
chr1:105462637-105463137	chr1	105462637	105463137	-2.912501	9.050752	6.138251	-0.016661	-0.152049	0.152049	1	TRUE	chr1:105462637-105463137	chr1	105462637	105463137	8.132008	14.906963	2.015045	4.65559	7.514073	9.127454	4.154979	6.803295	7.427401	6.89995	-0.093078	quantifiable	106177
chr1:105463809-105464721	chr1	105463809	105464721	-3.770123	20.307896	16.537773	-0.011215	-0.0625426666666667	0.239594	6	TRUE	chr1:105463809-105464721	chr1	105463809	105464721	6.484243	13.027092	2.265373	4.040645	6.500145	5.915933	4.227191	3.180859	6.454338	4.956032	-0.32302	quantifiable	447666
chr1:105663427-105664110	chr1	105663427	105664110	-2.150386	16.439286	14.2889	-0.005592125	-0.039050875	0.14168	8	TRUE	chr1:105663427-105664110	chr1	105663427	105664110	9.220149	4.420447	6.381496	6.423613	5.641957	7.69416	12.005457	17.159747	6.611426	10.62533	0.610079	quantifiable	610938.5
chr1:105781352-105781852	chr1	105781352	105781852	0.837028	0.977038	1.814066	0.045028	0.130898	0.130898	1	FALSE	chr1:105781352-105781852	chr1	105781352	105781852	12.044346	14.046033	6.177519	7.109114	8.405432	6.319864	10.095223	5.926603	9.844253	7.686781	-0.319556	quantifiable	885
chr1:105844420-105844920	chr1	105844420	105844920	1.421893	1.089322	2.511215	0.0166975	0.0207675	0.035364	2	FALSE	chr1:105844420-105844920	chr1	105844420	105844920	3.432842	8.55602	5.455455	8.914649	5.028767	6.693568	11.968594	8.813066	6.589741	8.125999	0.265466	quantifiable	809468.5
chr1:105906186-105906686	chr1	105906186	105906686	-8.424754	8.424754	0	-0.0193844	-0.0586082	0.132948	5	FALSE	chr1:105906186-105906686	chr1	105906186	105906686	4.148747	7.91451	4.862773	6.856712	11.037606	9.919568	6.583004	5.873378	5.945685	8.353389	0.428593	quantifiable	125719
chr1:105908120-105908620	chr1	105908120	105908620	-4.161447	4.161447	0	-0.0121873333333333	-0.051676	0.072887	3	FALSE	chr1:105908120-105908620	chr1	105908120	105908620	5.533393	6.407376	3.412543	3.024671	4.370729	6.868393	6.19817	5.307615	4.594496	5.686227	0.256571	quantifiable	82035
chr1:105990032-105991007	chr1	105990032	105991007	17.185218	0	17.185218	-0.00567055555555556	-0.0498158888888889	0.147532	9	TRUE	chr1:105990032-105991007	chr1	105990032	105991007	6.356717	1.713782	2.498074	6.337427	5.389463	5.073131	8.141877	11.351115	4.2265	7.488897	0.698187	quantifiable	326842.5
chr1:105991037-105991537	chr1	105991037	105991537	7.042115	0	7.042115	0.00596357142857143	-0.0129715714285714	0.059044	7	TRUE	chr1:105991037-105991537	chr1	105991037	105991537	2.789289	2.172499	3.921799	6.727138	4.585119	6.836196	8.238903	13.593471	3.902681	8.313422	0.923711	quantifiable	327427
chr1:105993768-105994268	chr1	105993768	105994268	0.0599640000000008	6.237899	6.297863	0.0127076666666667	-0.010564	0.025449	3	TRUE	chr1:105993768-105994268	chr1	105993768	105994268	3.612939	2.250376	2.558287	3.03746	4.562691	4.018643	5.773	6.197896	2.864766	5.138057	0.66539	quantifiable	3736
chr1:106043234-106043734	chr1	106043234	106043734	8.649249	0	8.649249	0.0073146	-0.000801600000000001	0.085524	10	FALSE	chr1:106043234-106043734	chr1	106043234	106043734	13.389701	13.367535	7.32422	8.44243	8.348314	17.130017	7.705213	8.896848	10.630971	10.520098	-0.013801	quantifiable	310635
chr1:106071194-106072466	chr1	106071194	106072466	3.804797	0	3.804797	0.043137	0.125841	0.125841	1	FALSE	chr1:106071194-106072466	chr1	106071194	106072466	1.831359	2.697516	1.280391	0.907012	2.842069	2.486189	1.252612	1.88439	1.67907	2.116315	0.217012	quantifiable	330157
chr1:106171274-106172001	chr1	106171274	106172001	29.748835	0	29.748835	0.015072	0.00435007692307692	0.429389	13	TRUE	chr1:106171274-106172001	chr1	106171274	106172001	15.023051	8.856244	6.300268	7.063408	11.067475	9.122361	9.841516	7.267901	9.310743	9.324813	0.001965	quantifiable	542636.5
chr1:106231827-106232327	chr1	106231827	106232327	-1.558553	6.000006	4.441453	-0.0026925	-0.041063	0.041068	2	TRUE	chr1:106231827-106232327	chr1	106231827	106232327	2.391136	5.756273	4.002762	2.405336	2.428096	3.65995	3.098416	3.818102	3.638877	3.251141	-0.125513	quantifiable	60439.5
