enhancer_id	chr	start	end	ctrl1	ctrl2	ctrl3	ctrl4	mut1	mut2	mut3	mut4	ctrl_mean	mut_mean	log2fc	signal_class
chr1:3671781-3672281	chr1	3671781	3672281	6.940132	6.22651	6.14157	5.520093	5.77898	6.443721	5.514759	7.589932	6.207076	6.331848	0.024713	quantifiable
chr1:4496300-4496800	chr1	4496300	4496800	19.856546	25.3368	15.57448	12.940753	17.137178	13.003332	12.611984	21.269397	18.427144	16.005473	-0.191921	quantifiable
chr1:4497104-4497604	chr1	4497104	4497604	15.168662	15.521976	9.03741	6.997135	12.891181	15.896574	14.713407	16.659236	11.681296	15.0401	0.338634	quantifiable
chr1:4571624-4572124	chr1	4571624	4572124	5.953052	2.537284	4.51425	8.87995	5.71481	5.327676	9.808997	12.349201	5.471134	8.300171	0.522251	quantifiable
chr1:4785476-4785989	chr1	4785476	4785989	2.857421	0.406289	2.411423	4.903429	5.457468	6.062001	4.144932	5.57539	2.64464	5.309948	0.789419	quantifiable
chr1:4807537-4808141	chr1	4807537	4808141	5.018649	0.433543	4.553132	2.934201	2.817442	3.503403	3.253122	4.705152	3.234881	3.56978	0.10944	quantifiable
chr1:4857398-4858063	chr1	4857398	4858063	11.605207	5.915926	3.880658	5.989944	8.915479	7.002725	3.704725	10.387633	6.847934	7.502641	0.115392	quantifiable
chr1:5019184-5019684	chr1	5019184	5019684	6.840437	8.345013	4.299555	10.95059	7.955735	7.090663	8.294008	13.685376	7.608899	9.256446	0.252238	quantifiable
chr1:5022792-5023292	chr1	5022792	5023292	9.764931	11.570877	5.495003	6.486267	6.708309	13.23255	12.408239	11.094639	8.32927	10.860934	0.345901	quantifiable
chr1:5072263-5072763	chr1	5072263	5072763	2.746297	1.414661	4.480648	3.502394	2.335758	2.710979	3.079458	2.491241	3.036	2.654359	-0.142765	quantifiable
chr1:5082974-5083474	chr1	5082974	5083474	2.072033	3.011728	5.4548	1.979331	2.090613	2.339604	2.657415	2.961888	3.129473	2.51238	-0.232617	quantifiable
chr1:5915247-5915747	chr1	5915247	5915747	9.230789	3.947867	3.490042	5.164273	4.699502	4.956985	5.69046	3.632654	5.458243	4.7449	-0.168456	quantifiable
chr1:6214488-6214988	chr1	6214488	6214988	3.132699	2.252992	6.285694	6.378883	2.314678	3.509767	3.246348	7.832454	4.512567	4.225812	-0.07686	quantifiable
