chr	start	end	TargetGene	ABC.Score_WT	ABC.Score.Numerator_WT	activity_base_WT	hic_contact_pl_scaled_adj_WT	hic_contact_WT	ABC.Score_KO	ABC.Score.Numerator_KO	activity_base_KO	hic_contact_pl_scaled_adj_KO	hic_contact_KO	distance	class	delta_ABC	delta_unnorm	hic_data_wt	hic_data_ko	has_hic_either	log2FC	padj	baseMean
chr8	31031758	31032258	Dusp26	0.028688	0.191184	7.816455	0.024459	0.006758	0.026297	0.181298	6.806871	0.026635	0.00752	57462	intergenic	-0.002391	-0.009886	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31031758	31032258	Unc5d	0.038803	0.029577	7.816455	0.003784	7.47e-4	0.016649	0.028257	6.806871	0.004151	8.23e-4	1812372	intergenic	-0.022154	-0.00132	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	31089220	31090101	Eif4ebp1	0.022546	0.024103	16.854839	0.00143	2.49e-4	0.012425	0.01366	19.115485	7.15e-4	1.18e-4	3829332.5	promoter	-0.010121	-0.010443	TRUE	TRUE	TRUE	0.340024	0.790065	4.985869
chr8	31089220	31090101	Fut10	0.054465	0.26762	16.854839	0.015878	0.004156	0.080435	0.310694	19.115485	0.016254	0.004277	97669.5	promoter	0.02597	0.043074	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31089220	31090101	Mak16	0.052425	0.350972	16.854839	0.020823	0.005701	0.065087	0.411872	19.115485	0.021546	0.005942	79103.5	promoter	0.012662	0.0609	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31089220	31090101	Nrg1	0.090297	0.051638	16.854839	0.003064	6e-4	0.03774	0.037966	19.115485	0.001986	3.78e-4	1795136.5	promoter	-0.052557	-0.013672	TRUE	TRUE	TRUE	0.361151	0.191763	725.542431
chr8	31089220	31090101	Rnf122	0.040408	0.535654	16.854839	0.03178	0.00733	0.053689	0.609595	19.115485	0.03189	0.007374	22158.5	promoter	0.013281	0.073941	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
chr8	31089220	31090101	Tti2	0.06714	0.500478	16.854839	0.029693	0.008617	0.071211	0.502358	19.115485	0.02628	0.007431	60653.5	promoter	0.004071	0.00188	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31089220	31090101	Unc5d	0.017996	0.013717	16.854839	8.14e-4	1.37e-4	0.032996	0.056002	19.115485	0.00293	5.7e-4	1870024.5	promoter	0.015	0.042285	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	31096931	31097431	Dusp26	0.028239	0.188189	2.588699	0.072696	0.015405	0.023769	0.163865	2.26183	0.072448	0.015286	7711	genic	-0.00447	-0.024324	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31111496	31112069	Brf2	0.021497	0.095025	23.727194	0.004005	7.17e-4	0.010581	0.04339	21.74907	0.001995	3.51e-4	3983102.5	promoter	-0.010916	-0.051635	TRUE	TRUE	TRUE	-0.093549	0.836523	58.220481
chr8	31111496	31112069	Dusp26	0.112875	0.752219	23.727194	0.031703	0.00733	0.10036	0.691894	21.74907	0.031813	0.007374	22312.5	promoter	-0.012515	-0.060325	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31111496	31112069	Fut10	0.109493	0.538007	23.727194	0.022675	0.006303	0.109498	0.422953	21.74907	0.019447	0.005219	75547.5	promoter	5e-6	-0.115054	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31111496	31112069	Gtf2e2	0.010458	0.051807	23.727194	0.002183	4.04e-4	0.024617	0.098391	21.74907	0.004524	8.59e-4	2620049.5	promoter	0.014159	0.046584	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	31111496	31112069	Mak16	0.12526	0.838578	23.727194	0.035342	0.010568	0.102935	0.651372	21.74907	0.029949	0.008676	56981.5	promoter	-0.022325	-0.187206	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31111496	31112069	Nrg1	0.030777	0.017601	23.727194	7.42e-4	1.21e-4	0.015633	0.015726	21.74907	7.23e-4	1.17e-4	1773014.5	promoter	-0.015144	-0.001875	TRUE	TRUE	TRUE	0.361151	0.191763	725.542431
chr8	31111496	31112069	Rab11fip1	0.026426	0.034367	23.727194	0.001448	2.52e-4	0.001096	0.001481	21.74907	6.8e-5	0	3937136.5	promoter	-0.02533	-0.032886	TRUE	FALSE	TRUE	0.427603	0.39037	18.041432
chr8	31111496	31112069	Tti2	0.141522	1.054937	23.727194	0.044461	0.013665	0.139875	0.986745	21.74907	0.04537	0.014004	38531.5	promoter	-0.001647	-0.068192	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31111496	31112069	Unc5d	0.017125	0.013053	23.727194	5.5e-4	8.3e-5	0.041834	0.071001	21.74907	0.003265	6.38e-4	1892146.5	promoter	0.024709	0.057948	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	31113133	31113633	Dusp26	0.028507	0.189975	6.135305	0.030964	0.00733	0.022826	0.157363	5.063955	0.031075	0.007374	23913	genic	-0.005681	-0.032612	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31113133	31113633	Fut10	0.028343	0.139268	6.135305	0.022699	0.006303	0.025541	0.098658	5.063955	0.019482	0.005219	73947	genic	-0.002802	-0.04061	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31113133	31113633	Mak16	0.03241	0.216974	6.135305	0.035365	0.010568	0.024004	0.151895	5.063955	0.029995	0.008676	55381	genic	-0.008406	-0.065079	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31113133	31113633	Rnf122	0.079152	1.049262	6.135305	0.17102	0.055137	0.072853	0.827184	5.063955	0.163347	0.05122	1564	genic	-0.006299	-0.222078	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
chr8	31113133	31113633	Tti2	0.036682	0.273435	6.135305	0.044568	0.013665	0.03264	0.230258	5.063955	0.045469999999999997	0.014004	36931	genic	-0.004042	-0.043177	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31114814	31115314	Dusp26	0.033225	0.221417	10.19866	0.02171	0.003919	0.032382	0.223248	8.040266	0.027766	0.006323	25594	genic	-8.43e-4	0.001831	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31114814	31115314	Fut10	0.04129	0.202883	10.19866	0.019893	0.005345	0.02899	0.111976	8.040266	0.013927	0.003327	72266	genic	-0.0123	-0.090907	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31114814	31115314	Mak16	0.045834	0.306845	10.19866	0.030087	0.008689	0.040029	0.253302	8.040266	0.031504	0.009191	53700	genic	-0.005805	-0.053543	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31114814	31115314	Nrg1	0.022495	0.012864	10.19866	0.001261	2.29e-4	0.009767	0.009825	8.040266	0.001222	2.2e-4	1769733	genic	-0.012728	-0.003039	TRUE	TRUE	TRUE	0.361151	0.191763	725.542431
chr8	31114814	31115314	Rnf122	0.131574	1.744178	10.19866	0.17102	0.055137	0.109158	1.239404	8.040266	0.15415	0.046525	3245	genic	-0.022416	-0.504774	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
chr8	31114814	31115314	Tti2	0.056514	0.421266	10.19866	0.041306	0.012382	0.042522	0.299971	8.040266	0.037309	0.010872	35250	genic	-0.013992	-0.121295	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31114814	31115314	Unc5d	0.042869	0.032676	10.19866	0.003204	6.25e-4	0.006849	0.011625	8.040266	0.001446	2.66e-4	1895428	genic	-0.03602	-0.021051	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	31121006	31121506	Brf2	0.038254	0.169095	33.052087	0.005116	9.2e-4	0.010524	0.043159	32.075906	0.001346	2.33e-4	3992576	genic	-0.02773	-0.125936	TRUE	TRUE	TRUE	-0.093549	0.836523	58.220481
chr8	31121006	31121506	Dusp26	0.140525	0.936483	33.052087	0.028334	0.007236	0.130431	0.899208	32.075906	0.028034	0.007121	31786	genic	-0.010094	-0.037275	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31121006	31121506	Eri1	0.02871	0.122928	33.052087	0.003719	6.57e-4	0.007914	0.033127	32.075906	0.001033	1.74e-4	4374940	genic	-0.020796	-0.089801	TRUE	TRUE	TRUE	0.004969	0.990817	175.699358
chr8	31121006	31121506	Fut10	0.143737	0.706272	33.052087	0.021368	0.00579	0.132076	0.510163	32.075906	0.015905	0.003917	66074	genic	-0.011661	-0.196109	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31121006	31121506	Gtf2e2	0.02736	0.135538	33.052087	0.004101	7.77e-4	0.006709	0.026813	32.075906	8.36e-4	1.42e-4	2610576	genic	-0.020651	-0.108725	TRUE	TRUE	TRUE	0.108505	0.641327	223.705465
chr8	31121006	31121506	Mak16	0.14561	0.974817	33.052087	0.029493	0.008374	0.140664	0.890119	32.075906	0.02775	0.007745	47508	genic	-0.004946	-0.084698	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31121006	31121506	Nrg1	0.052454	0.029997	33.052087	9.08e-4	1.55e-4	0.004943	0.004972	32.075906	1.55e-4	0	1763541	genic	-0.047511	-0.025025	TRUE	FALSE	TRUE	0.361151	0.191763	725.542431
chr8	31121006	31121506	Ppp2cb	0.021742	0.080154	33.052087	0.002425	4.54e-4	0.009179	0.032789	32.075906	0.001022	1.79e-4	2478368	genic	-0.012563	-0.047365	TRUE	TRUE	TRUE	0.063353	0.756543	277.105179
chr8	31121006	31121506	Purg	0.025709	0.108416	33.052087	0.00328	6.28e-4	0.020628	0.087811	32.075906	0.002738	5.2e-4	2265068	genic	-0.005081	-0.020605	TRUE	TRUE	TRUE	-0.097726	0.758966	2010.16392
chr8	31121006	31121506	Rab11fip1	0.024217	0.031494	33.052087	9.53e-4	1.61e-4	0.001612	0.002179	32.075906	6.8e-5	0	3946610	genic	-0.022605	-0.029315	TRUE	FALSE	TRUE	0.427603	0.39037	18.041432
chr8	31121006	31121506	Rbpms	0.045061	0.049317	33.052087	0.001492	2.68e-4	0.044297	0.057419	32.075906	0.00179	3.26e-4	2808607	genic	-7.64e-4	0.008102	TRUE	TRUE	TRUE	-0.069831	0.82016	113.794578
chr8	31121006	31121506	Rnf122	0.251246	3.330573	33.052087	0.100767	0.031423	0.256825	2.91605	32.075906	0.090911	0.026861	9437	genic	0.005579	-0.414523	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
chr8	31121006	31121506	Tex15	0.027823	0.028223	33.052087	8.54e-4	1.46e-4	0.004096	0.003633	32.075906	1.13e-4	0	2395481	genic	-0.023727	-0.02459	TRUE	FALSE	TRUE	-0.16274	0.929216	5.117709
chr8	31121006	31121506	Tti2	0.164948	1.229557	33.052087	0.037201	0.010433	0.179	1.262757	32.075906	0.039368	0.011276	29058	genic	0.014052	0.0332	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31121006	31121506	Ubxn8	0.029669	0.178463	33.052087	0.005399	0.001035	0.017371	0.102973	32.075906	0.00321	6.07e-4	2520711	genic	-0.012298	-0.07549	TRUE	TRUE	TRUE	0.087977	0.773064	99.824709
chr8	31121006	31121506	Unc5d	0.051376	0.039159	33.052087	0.001185	2.13e-4	0.046182	0.078381	32.075906	0.002444	4.7e-4	1901620	genic	-0.005194	0.039222	TRUE	TRUE	TRUE	1.279547	0	773.636483
chr8	31121006	31121506	Wrn	0.025708	0.108411	33.052087	0.00328	6.28e-4	0.020626	0.087808	32.075906	0.002737	5.2e-4	2264271	genic	-0.005082	-0.020603	TRUE	TRUE	TRUE	-0.153564	0.524994	263.276977
chr8	31148741	31149241	Tti2	0.044113	0.328831	2.305626	0.142621	0.040639	0.040136	0.28314	1.979027	0.14307	0.040869	1323	intergenic	-0.003977	-0.045691	TRUE	TRUE	TRUE	-0.111449	0.740486	140.190451
chr8	31149924	31150564	Dusp26	0.034737	0.231491	7.796657	0.029691	0.008617	0.027562	0.190016	7.231329	0.026277	0.007431	60774	promoter	-0.007175	-0.041475	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31149924	31150564	Fut10	0.038823	0.19076099999999999	7.796657	0.024467	0.006136	0.053393	0.206238	7.231329	0.02852	0.007655	37086	promoter	0.01457	0.015477	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31149924	31150564	Mak16	0.078863	0.527965	7.796657	0.067717	0.021372	0.079815	0.505071	7.231329	0.069845	0.02226	18520	promoter	9.52e-4	-0.022894	TRUE	TRUE	TRUE	-0.099136	0.773572	90.291286
chr8	31149924	31150564	Rnf122	0.026154	0.346698	7.796657	0.044468	0.013665	0.028899	0.328126	7.231329	0.045376	0.014004	38425	promoter	0.002745	-0.018572	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
chr8	31168514	31169038	Dusp26	0.036118	0.240696	11.560708	0.02082	0.005701	0.037763	0.260345	12.084485	0.021544	0.005942	79306	promoter	0.001645	0.019649	TRUE	TRUE	TRUE	-0.049654	0.87381	166.521564
chr8	31168514	31169038	Eif4ebp1	7.42e-4	7.93e-4	11.560708	6.9e-5	0	0.020874	0.022948	12.084485	0.001899	3.34e-4	3908448	promoter	0.020132	0.022155	FALSE	TRUE	TRUE	0.340024	0.790065	4.985869
chr8	31168514	31169038	Fut10	0.125893	0.618592	11.560708	0.053508	0.015454	0.146797	0.567023	12.084485	0.046922	0.012707	18554	promoter	0.020904	-0.051569	TRUE	TRUE	TRUE	-1.454036	0	103.55224
chr8	31168514	31169038	Gm3985	0	0	0	0	0	0.043305	0.01345	12.084485	0.001113	1.98e-4	1781250	promoter	0.043305	0.01345	FALSE	TRUE	TRUE	-0.036226	0.98749	6.457159
chr8	31168514	31169038	Nrg1	0.022121	0.01265	11.560708	0.001094	1.94e-4	0.001915	0.001926	12.084485	1.59e-4	0	1716021	promoter	-0.020205999999999998	-0.010724	TRUE	FALSE	TRUE	0.361151	0.191763	725.542431
chr8	31168514	31169038	Rnf122	0.030822	0.408588	11.560708	0.035343	0.010568	0.031876	0.361931	12.084485	0.02995	0.008676	56957	promoter	0.001054	-0.046657	TRUE	TRUE	TRUE	-0.771311	1e-6	334.538312
