loop_key	loop_chr1	loop_start1	loop_end1	loop_chr2	loop_start2	loop_end2	loop_logFC	loop_FDR	loop_direction	enh_chr	enh_start	enh_end	target_gene	tss_chr	tss_start	tss_end	abc_score_wt	abc_score_ko	delta_ABC	delta_unnorm	distance	match_case	loop_id	loop_type	category	diff_significant	is_differential
chr10_100485000_100490000_chr10_100585000_100590000	chr10	100485000	100490000	chr10	100585000	100590000	-0.133588132692941	0.439948938545775	unchanged	chr10	100588926	100589426	Cep290	chr10	100487307	100487807	0.047882	0.05274	0.004858	0.004998	101619	B				FALSE	FALSE
chr10_100485000_100490000_chr10_100585000_100590000	chr10	100485000	100490000	chr10	100585000	100590000	-0.133588132692941	0.439948938545775	unchanged	chr10	100588926	100589426	Tmtc3	chr10	100487100	100487600	0.047883	0.052741	0.004858	0.004999	101826	B				FALSE	FALSE
chr10_100600000_100610000_chr10_100740000_100750000	chr10	100600000	100610000	chr10	100740000	100750000	-0.0976417368643986	0.426479057044976	unchanged	chr10	100604207	100604707	Gm35722	chr10	100741385	100741885	0.032919	0.022931	-0.009988	-0.003724	137178	A				FALSE	FALSE
chr10_103320000_103325000_chr10_103365000_103370000	chr10	103320000	103325000	chr10	103365000	103370000	0.0663399911770724	0.708759437180951	unchanged	chr10	103321886	103322386	Slc6a15	chr10	103367532	103368032	0.027464	0.019023	-0.008441	-0.052641	45646	A				FALSE	FALSE
chr10_105400000_105410000_chr10_105570000_105580000	chr10	105400000	105410000	chr10	105570000	105580000	-0.182174563459991	0.0476362875551705	down_in_mutant	chr10	105401876	105402376	Gm15663	chr10	105573702	105574202	0.022582	0.020727	-0.001855	-0.081676	171826	A				TRUE	FALSE
chr10_105400000_105410000_chr10_105570000_105580000	chr10	105400000	105410000	chr10	105570000	105580000	-0.182174563459991	0.0476362875551705	down_in_mutant	chr10	105401876	105402376	Tmtc2	chr10	105574201	105574701	0.022647	0.020775	-0.001872	-0.081701	172325	A				TRUE	FALSE
chr10_105400000_105425000_chr10_105550000_105575000	chr10	105400000	105425000	chr10	105550000	105575000	-0.122645927088881	0.029705207702122	down_in_mutant	chr10	105401876	105402376	Gm15663	chr10	105573702	105574202	0.022582	0.020727	-0.001855	-0.081676	171826	A				TRUE	FALSE
chr10_105400000_105425000_chr10_105550000_105575000	chr10	105400000	105425000	chr10	105550000	105575000	-0.122645927088881	0.029705207702122	down_in_mutant	chr10	105401876	105402376	Tmtc2	chr10	105574201	105574701	0.022647	0.020775	-0.001872	-0.081701	172325	A				TRUE	FALSE
chr10_10555000_10560000_chr10_11080000_11085000	chr10	10555000	10560000	chr10	11080000	11085000	-0.135527120889631	0.595776209255456	unchanged	chr10	11080021	11080521	Rab32	chr10	10558015	10558515	0.066794	0.065953	-0.000841	-0.017613	522006	B				FALSE	FALSE
chr10_10555000_10560000_chr10_11080000_11085000	chr10	10555000	10560000	chr10	11080000	11085000	-0.135527120889631	0.595776209255456	unchanged	chr10	11081980	11082606	Rab32	chr10	10558015	10558515	0.112432	0.084313	-0.028119	-0.113915	524028	B				FALSE	FALSE
