cluster_id	n_overlaps	kept_index	kept_resolution	kept_fdr	n_resolutions	resolutions_list	merged_indices	merged_resolutions
1	2	17983	10kb	0.130932346140234	2	5,10	1,17983	5kb,10kb
2	2	2	5kb	0.502755757839816	2	5,10	2,24240	5kb,10kb
3	2	3	5kb	0.246063058254092	1	5	3,14654	5kb,5kb
4	2	4	5kb	0.913261938222117	2	5,10	4,25502	5kb,10kb
5	2	25532	10kb	0.532309859994419	2	5,10	5,25532	5kb,10kb
6	2	25471	10kb	0.85627798453559	2	5,10	6,25471	5kb,10kb
7	2	7	5kb	0.491366206082124	1	5	7,1038	5kb,5kb
8	2	25699	10kb	0.708382750833183	2	5,10	8,25699	5kb,10kb
9	2	9	5kb	0.0774846247313896	2	5,10	9,25566	5kb,10kb
13	2	13	5kb	0.260013204258366	2	5,10	13,25752	5kb,10kb
14	3	25663	10kb	0.063014691067448	2	5,10	14,25663,16110	5kb,10kb,5kb
15	2	15	5kb	0.481205627531654	2	5,10	15,17989	5kb,10kb
16	5	25692	10kb	0.0243510284658767	2	5,10	16,17992,19240,16115,25692	5kb,10kb,10kb,5kb,10kb
17	2	17995	10kb	0.0980416751046146	2	5,10	17,17995	5kb,10kb
18	3	18	5kb	0.633397699390477	2	5,10	18,16101,25527	5kb,5kb,10kb
20	2	38449	10kb	0.601331148060795	2	5,10	20,38449	5kb,10kb
21	2	18001	10kb	0.0441731010678612	2	5,10	21,18001	5kb,10kb
24	3	25711	10kb	0.179617654673726	2	5,10	24,25711,5244	5kb,10kb,5kb
25	4	25586	10kb	0.202504788692223	3	5,10,25	25,1784,25586,48676	5kb,5kb,10kb,25kb
26	3	25819	10kb	0.720454359090449	3	5,10,25	26,25819,40626	5kb,10kb,25kb
30	2	36660	10kb	0.726841831881723	2	5,10	30,36660	5kb,10kb
31	2	17994	10kb	0.351260327144855	2	5,10	31,17994	5kb,10kb
32	2	32	5kb	0.00108002267152671	2	5,10	32,39634	5kb,10kb
33	2	25838	10kb	0.490351604563809	2	5,10	33,25838	5kb,10kb
34	2	18011	10kb	0.467987778600527	2	5,10	34,18011	5kb,10kb
35	2	25868	10kb	0.508198608007746	2	5,10	35,25868	5kb,10kb
37	2	37	5kb	0.327672142219128	2	5,10	37,20204	5kb,10kb
39	3	25756	10kb	0.471094687065176	2	5,10	39,1828,25756	5kb,5kb,10kb
40	4	48761	25kb	0.00930662567369704	3	5,10,25	40,14702,48761,25779	5kb,5kb,25kb,10kb
41	2	38467	10kb	0.31599072194245	2	5,10	41,38467	5kb,10kb
42	2	18016	10kb	0.0537571499614901	2	5,10	42,18016	5kb,10kb
43	2	25864	10kb	0.126162895172317	2	5,10	43,25864	5kb,10kb
44	2	25921	10kb	0.597662236684127	2	5,10	44,25921	5kb,10kb
46	2	46	5kb	0.0916614598172017	2	5,10	46,19250	5kb,10kb
47	2	18018	10kb	0.517770429000218	2	5,10	47,18018	5kb,10kb
52	2	39657	10kb	0.112579981071266	2	5,10	52,39657	5kb,10kb
57	2	18045	10kb	0.474476060650218	2	5,10	57,18045	5kb,10kb
58	2	26078	10kb	0.396748551483128	2	5,10	58,26078	5kb,10kb
60	2	26140	10kb	0.000657663084307592	2	5,10	60,26140	5kb,10kb
61	2	61	5kb	0.665673151768558	2	5,10	61,21951	5kb,10kb
62	2	62	5kb	0.397366703094773	2	5,10	62,18051	5kb,10kb
64	2	1071	5kb	0.662750449838083	1	5	64,1071	5kb,5kb
66	2	66	5kb	0.68304308442391	2	5,10	66,26139	5kb,10kb
67	2	20267	10kb	0.15049048206864	2	5,10	67,20267	5kb,10kb
