loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category
loop_32	chr8	11635000	11640000	chr8	11695000	11700000	0.507964758182221	5.92970913950171	0.0010800226715267	1.12314669989709e-05	True	5	1	60000	Promoter-Promoter	up_in_mutant	moderate_differential
loop_8162	chr14	105660000	105670000	chr14	105890000	105900000	-0.399584538766962	4.86375878882028	0.0006576630843075	1.96438779158683e-05	True	10	2	230000	Promoter-Enhancer	down_in_mutant	weak_differential
loop_1329	chr9	60590000	60600000	chr9	60680000	60690000	-0.385575955751452	6.1846099852789	1.86261900083425e-05	1.1192832454642e-07	True	10	3	90000	Promoter-Enhancer	down_in_mutant	weak_differential
loop_122	chr9	66735000	66740000	chr9	66790000	66795000	-0.309987134535429	5.98570495123251	0.0170995086700478	0.0009081320642807	True	5	1	55000	Promoter-Enhancer	down_in_mutant	weak_differential
loop_139	chr9	59720000	59725000	chr9	59985000	59990000	-0.530963634931943	4.7586549898101	0.0037576297724676	8.26332582962342e-05	True	5	1	265000	Enhancer-Enhancer	down_in_mutant	moderate_differential
loop_9622	chr11	71750000	71760000	chr11	71930000	71940000	-0.327231693131887	4.89707878873842	0.0017252091709439	7.52377806522488e-05	True	10	2	180000	Promoter-Promoter	down_in_mutant	weak_differential
loop_216	chr11	17765000	17770000	chr11	18750000	18755000	-0.585277781779022	3.92996168761787	0.0205871830132063	0.0012044108847677	True	5	1	985000	Enhancer-Enhancer	down_in_mutant	moderate_differential
loop_291	chr13	84400000	84425000	chr13	84750000	84775000	-0.309596343189563	5.5178809005672	0.0004684422489338	1.07880875373601e-05	True	25	3	350000	Enhancer-Enhancer	down_in_mutant	weak_differential
loop_251	chr13	21775000	21780000	chr13	22040000	22045000	-0.438108404388366	4.68978687701678	0.0187774306217553	0.0010473675293972	True	5	1	265000	Promoter-Promoter	down_in_mutant	weak_differential
loop_10275	chr13	38990000	39000000	chr13	40750000	40760000	-0.431575816057458	3.76090203652778	0.0034116165698337	0.0001973226444818	True	10	2	1760000	Enhancer-Enhancer	down_in_mutant	weak_differential
loop_294	chr12	56055000	56060000	chr12	56540000	56545000	0.390539107725139	5.4751442522944	0.0116861621635594	0.0004854954162103	True	5	1	485000	Enhancer-Enhancer	up_in_mutant	weak_differential
loop_10883	chr15	53340000	53350000	chr15	53760000	53770000	-0.315993423612167	4.7583576103365	0.0031180078591711	0.0001725784974285	True	10	2	420000	Promoter-Enhancer	down_in_mutant	weak_differential
loop_318	chr15	29050000	29055000	chr15	29220000	29225000	-0.545875935910879	5.04245024602174	0.003581033848225	7.64907374018617e-05	True	5	1	170000	Enhancer-Enhancer	down_in_mutant	moderate_differential
loop_323	chr15	81520000	81525000	chr15	81580000	81585000	0.323950110606268	6.38712654399792	0.0130009109326563	0.0005836015678782	True	5	1	60000	Promoter-Enhancer	up_in_mutant	weak_differential
loop_1539	chr15	42060000	42070000	chr15	42670000	42680000	-0.824911416210738	4.34626856343477	3.02875082049036e-06	7.76191002069817e-09	True	10	2	610000	Promoter-Enhancer	down_in_mutant	moderate_differential
loop_467	chr16	42900000	42925000	chr16	43500000	43525000	-0.389209429688525	5.36527355303863	5.68864062262666e-05	2.84459919358721e-07	True	25	3	6e+05	Promoter-Enhancer	down_in_mutant	weak_differential
loop_413	chr17	48415000	48420000	chr17	48465000	48470000	-0.393885611332712	5.2437613902986	0.0099136550477718	0.0003819662294291	True	5	1	50000	Enhancer-Enhancer	down_in_mutant	weak_differential
loop_467	chr1	91345000	91350000	chr1	91480000	91485000	0.472685798771331	5.31087977886742	0.0034223313618301	7.13513497290778e-05	True	5	1	135000	Promoter-Enhancer	up_in_mutant	weak_differential
loop_13236	chr18	49750000	49760000	chr18	50110000	50120000	-0.341616610525246	3.97174908335815	0.0112145055738813	0.0010044098090428	True	10	2	360000	Promoter-Enhancer	down_in_mutant	weak_differential
