loop_id	anchor	start	end	midpoint	nearest_gene	distance_to_tss	is_promoter	anchor_num
loop_32	chr8	11635000	11640000	11637500	102465714	0	TRUE	1
loop_8162	chr14	105660000	105670000	105665000	102465207	36229	FALSE	1
loop_1329	chr9	60590000	60600000	60595000	100504561	44117	FALSE	1
loop_122	chr9	66735000	66740000	66737500	76459	21313	FALSE	1
loop_139	chr9	59720000	59725000	59722500	71599	25709	FALSE	1
loop_9622	chr11	71750000	71760000	71755000	216881	79	TRUE	1
loop_216	chr11	17765000	17770000	17767500	68145	183874	FALSE	1
loop_291	chr13	84400000	84425000	84412500	72745	177703	FALSE	1
loop_251	chr13	21775000	21780000	21777500	56702	624	TRUE	1
loop_10275	chr13	38990000	39000000	38995000	108652	29124	FALSE	1
loop_294	chr12	56055000	56060000	56057500	100503961	193242	FALSE	1
loop_10883	chr15	53340000	53350000	53345000	14042	0	TRUE	1
loop_318	chr15	29050000	29055000	29052500	100628607	658403	FALSE	1
loop_323	chr15	81520000	81525000	81522500	56438	53703	FALSE	1
loop_1539	chr15	42060000	42070000	42065000	223513	190279	FALSE	1
loop_467	chr16	42900000	42925000	42912500	100503040	0	TRUE	1
loop_413	chr17	48415000	48420000	48417500	106821	4985	FALSE	1
loop_467	chr1	91345000	91350000	91347500	70788	1015	TRUE	1
loop_13236	chr18	49750000	49760000	49755000	68857	0	TRUE	1
loop_13365	chr19	17150000	17160000	17155000	353211	193881	FALSE	1
loop_564	chr19	22450000	22455000	22452500	387200	295604	FALSE	1
loop_570	chr19	59740000	59745000	59742500	74998	198653	FALSE	1
loop_749	chr2	6870000	6880000	6875000	98910	547332	FALSE	1
loop_15040	chr3	123690000	123700000	123695000	83398	0	TRUE	1
loop_720	chr3	86545000	86550000	86547500	23937	0	TRUE	1
loop_17841	chr3	86325000	86350000	86337500	80877	100319	FALSE	1
loop_727	chr3	49185000	49190000	49187500	73173	567324	FALSE	1
loop_753	chr4	33520000	33525000	33522500	102465904	81918	FALSE	1
loop_15943	chr4	45940000	45950000	45945000	100121	15333	FALSE	1
loop_827	chr5	67845000	67850000	67847500	11980	0	TRUE	1
loop_867	chr6	13835000	13840000	13837500	64450	0	TRUE	1
loop_869	chr6	51765000	51770000	51767500	71982	241098	FALSE	1
loop_882	chr6	13830000	13835000	13832500	64450	4941	FALSE	1
loop_17266	chr6	60550000	60560000	60555000	208079	146292	FALSE	1
loop_1107	chr6	43660000	43670000	43665000	29807	0	TRUE	1
loop_15541	chr6	20500000	20525000	20512500	16508	690502	FALSE	1
loop_936	chr7	90055000	90060000	90057500	78329	69983	FALSE	1
loop_971	chr7	92870000	92875000	92872500	74041	0	TRUE	1
loop_17977	chr7	60390000	60400000	60395000	20646	249780	FALSE	1
loop_1021	chr10	81625000	81630000	81627500	70615	0	TRUE	1
loop_1054	chr8	21990000	21995000	21992500	67929	20224	FALSE	1
loop_8008	chr8	95970000	95980000	95975000	14719	81452	FALSE	1
loop_1100	chr9	120495000	120500000	120497500	68969	2767	FALSE	1
loop_1350	chr9	94530000	94540000	94535000	68861	0	TRUE	1
loop_1127	chr9	99845000	99850000	99847500	20669	26169	FALSE	1
loop_1133	chr9	106900000	106905000	106902500	74840	8020	FALSE	1
loop_1164	chr11	85835000	85840000	85837500	21385	2448	FALSE	1
loop_1231	chr12	100685000	100690000	100687500	73086	36982	FALSE	1
loop_1262	chr15	57690000	57695000	57692500	387609	0	TRUE	1
loop_1280	chr15	73830000	73835000	73832500	268816	4698	FALSE	1
loop_11108	chr16	72200000	72225000	72212500	319533	9326	FALSE	1
loop_1327	chr16	30600000	30605000	30602500	224093	276	TRUE	1
loop_1403	chr1	91570000	91575000	91572500	65247	29455	FALSE	1
loop_13443	chr19	17240000	17250000	17245000	14537	122843	FALSE	1
loop_1475	chr2	57905000	57910000	57907500	241391	87883	FALSE	1
loop_13840	chr2	73920000	73930000	73925000	228033	8673	FALSE	1
loop_14500	chr2	109540000	109550000	109545000	12064	124699	FALSE	1
loop_1541	chr3	123970000	123975000	123972500	83398	279146	FALSE	1
loop_1566	chr4	3675000	3680000	3677500	17096	0	TRUE	1
loop_1591	chr4	82535000	82540000	82537500	102635783	26983	FALSE	1
loop_1610	chr5	105985000	105990000	105987500	54367	108434	FALSE	1
loop_20087	chr5	118780000	118790000	118785000	74627	162338	FALSE	1
loop_1638	chr5	49815000	49820000	49817500	70693	239005	FALSE	1
loop_1662	chr6	140625000	140630000	140627500	11569	2336	FALSE	1
loop_1715	chr7	84590000	84595000	84592500	14085	11721	FALSE	1
loop_1720	chr7	90280000	90285000	90282500	75338	14567	FALSE	1
loop_1844	chr8	57795000	57800000	57797500	108150	141967	FALSE	1
loop_2207	chr8	86030000	86040000	86035000	102093	189040	FALSE	1
loop_18710	chr8	98860000	98870000	98865000	100873092	141885	FALSE	1
