entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	anchor_id	anchor_type	loop_distance	distance_class
102747	Lrrc49	lost	-1.14631259487077	4.0560061138319e-37	chr9	loop_1329_anchor1	Active_Enhancer	90000	short_range
76459	Car12	lost	-1.07359425397727	1.82515831549174e-5	chr9	loop_122_anchor1	Poised_Enhancer	55000	short_range
208117	Aph1b	lost	-0.42198942011379	0.00121247615938121	chr9	loop_122_anchor1	Poised_Enhancer	55000	short_range
546134	Gramd2a	lost	0.856597652256193	0.0478830593318034	chr9	loop_139_anchor1	Poised_Enhancer	265000	short_range
14042	Ext1	lost	-0.654141829204135	1.15603607448368e-4	chr15	loop_10883_anchor1	Active_Promoter	420000	short_range
56490	Zbtb20	lost	-1.08649561400187	9.71988977801703e-25	chr16	loop_467_anchor1	Active_Promoter	600000	long_range
227357	Espnl	gained	1.20898140966341	0.0347492567530838	chr1	loop_467_anchor1	Repressed_Promoter	135000	short_range
83398	Ndst3	lost	-0.644320279416156	3.4503901011647e-6	chr3	loop_15040_anchor1	Active_Promoter	140000	short_range
100121	Tdrd7	gained	-0.442664470807729	0.00146255752977934	chr4	loop_15943_anchor1	Other	180000	short_range
64450	Gpr85	lost	-0.651468602208368	2.38176011393414e-7	chr6	loop_867_anchor1	Active_Promoter	65000	short_range
29807	Tpk1	lost	-0.604285736774829	2.03741594327887e-8	chr6	loop_1107_anchor1	Other	630000	long_range
78329	2310010J17Rik	lost	-0.858795690038947	0.0296153492280876	chr7	loop_936_anchor1	Active_Enhancer	60000	short_range
11979	Atp7b	lost	-0.400888569711063	0.0429254908843238	chr8	loop_1054_anchor1	Other	55000	short_range
215446	Entpd3	gained	2.07685761311756	1.31333718289122e-9	chr9	loop_1100_anchor1	Poised_Enhancer	70000	short_range
68861	Dipk2a	lost	-0.300666518968006	0.00363430553824467	chr9	loop_1350_anchor1	Active_Promoter	170000	short_range
73086	Rps6ka5	lost	-1.03695636643258	1.67612322558066e-37	chr12	loop_1231_anchor1	Poised_Enhancer	35000	short_range
387609	Zhx2	lost	-0.769327734753821	3.87702821999179e-11	chr15	loop_1262_anchor1	Active_Promoter	220000	short_range
17096	Lyn	lost	-1.05103419848863	1.31770532174937e-31	chr4	loop_1566_anchor1	Active_Promoter	75000	short_range
83671	Sytl2	lost	-1.18317744087254	0.00192767545618602	chr7	loop_1720_anchor1	Other	125000	short_range
22771	Zic1	lost	-0.427217549323806	1.59916308693994e-5	chr9	loop_1955_anchor1	Active_Enhancer	140000	short_range
67030	Fancl	lost	-0.802025179569303	3.46341697594745e-5	chr11	loop_2084_anchor1	Other	50000	short_range
17260	Mef2c	lost	-0.556124469586675	0.00817103608109408	chr13	loop_10324_anchor1	Active_Enhancer	1230000	long_range
