entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	anchor_id	anchor_type	loop_distance	distance_class	focused_category
56490	Zbtb20	lost	-1.08649561400187	9.71988977801703e-25	chr16	loop_467_anchor1	Active_Promoter	600000	long_range	Long-range Lost
227357	Espnl	gained	1.20898140966341	0.0347492567530838	chr1	loop_467_anchor1	Repressed_Promoter	135000	short_range	Short-range Gained
100121	Tdrd7	gained	-0.442664470807729	0.00146255752977934	chr4	loop_15943_anchor1	Other	180000	short_range	Short-range Gained
29807	Tpk1	lost	-0.604285736774829	2.03741594327887e-8	chr6	loop_1107_anchor1	Other	630000	long_range	Long-range Lost
215446	Entpd3	gained	2.07685761311756	1.31333718289122e-9	chr9	loop_1100_anchor1	Poised_Enhancer	70000	short_range	Short-range Gained
17260	Mef2c	lost	-0.556124469586675	0.00817103608109408	chr13	loop_10324_anchor1	Active_Enhancer	1230000	long_range	Long-range Lost
319613	Sybu	lost	-0.646838464937424	6.29083848939619e-10	chr15	loop_11180_anchor1	Poised_Enhancer	3960000	long_range	Long-range Lost
16531	Kcnma1	gained	0.477030876402758	0.00451605476759483	chr14	loop_21700_anchor1	Polycomb	210000	short_range	Short-range Gained
217944	Rapgef5	gained	0.401473631780458	0.00201006077684178	chr12	loop_21870_anchor1	Other	170000	short_range	Short-range Gained
225631	Onecut2	gained	1.77524631495951	6.80095067630851e-33	chr18	loop_3779_anchor1	Repressed_Promoter	125000	short_range	Short-range Gained
320827	Cracd	gained	0.81043678281447	8.99909878771876e-11	chr5	loop_22237_anchor1	Repressed_Promoter	190000	short_range	Short-range Gained
237979	Sdk2	gained	1.12446976135385	2.71327851159675e-13	chr11	loop_4348_anchor1	Repressed_Promoter	110000	short_range	Short-range Gained
268595	D430019H16Rik	gained	1.90985252648977	1.78003662358094e-5	chr12	loop_10686_anchor1	Other	120000	short_range	Short-range Gained
54613	St3gal6	gained	0.449186790821035	3.93114661249745e-4	chr16	loop_19312_anchor1	Poised_Enhancer	170000	short_range	Short-range Gained
242466	Zfp462	gained	0.906524882015394	8.79621432565624e-24	chr4	loop_4935_anchor1	Bivalent_Promoter	55000	short_range	Short-range Gained
329942	Csmd2	gained	1.19799479135504	2.41505645132447e-34	chr4	loop_4947_anchor1	Poised_Enhancer	185000	short_range	Short-range Gained
320183	Msrb3	gained	0.521545726134218	3.84495412510899e-4	chr10	loop_5204_anchor1	Active_Promoter	55000	short_range	Short-range Gained
14803	Grid1	gained	0.576910156036565	1.82515831549174e-5	chr14	loop_16750_anchor1	Repressed_Promoter	350000	short_range	Short-range Gained
320027	Fstl4	gained	1.02134683769513	1.04594220967771e-13	chr11	loop_4402_anchor1	Repressed_Promoter	400000	short_range	Short-range Gained
240025	Dact2	gained	2.0270845178062	3.35613831582861e-12	chr17	loop_5626_anchor1	Other	80000	short_range	Short-range Gained
225115	Svil	gained	0.641830384944112	1.67772178555324e-8	chr18	loop_5728_anchor1	Repressed_Promoter	45000	short_range	Short-range Gained
16500	Kcnb1	gained	1.46912243187289	7.03727109436169e-21	chr2	loop_21115_anchor1	Other	70000	short_range	Short-range Gained
330409	Cecr2	gained	0.839963818187002	5.98380988390097e-37	chr6	loop_6086_anchor1	Poised_Enhancer	55000	short_range	Short-range Gained
11489	Adam12	gained	0.727642806161758	3.38362896607571e-7	chr7	loop_17798_anchor1	Polycomb	80000	short_range	Short-range Gained
67260	Cers4	gained	0.760202212551821	4.09530327000406e-16	chr8	loop_6464_anchor1	Other	175000	short_range	Short-range Gained
239217	Kctd12	lost	-0.47301050838263	0.00872651088769747	chr14	loop_8307_anchor1	Other	520000	long_range	Long-range Lost
78500	1700063D05Rik	gained	-0.663880446813934	0.0268400464995201	chr9	loop_8704_anchor1	Polycomb	240000	short_range	Short-range Gained
320203	Mir9-2hg	lost	-0.754393288864037	1.8858271846091e-12	chr13	loop_9856_anchor1	Active_Promoter	1040000	long_range	Long-range Lost
553095	Gm17750	lost	-1.14653071985449	6.57821805833198e-8	chr13	loop_9943_anchor1	Active_Promoter	690000	long_range	Long-range Lost
19245	Ptp4a3	gained	0.536694819936134	8.02150504230702e-4	chr15	loop_21885_anchor1	Polycomb	50000	short_range	Short-range Gained
320709	Tmem117	lost	-0.601439996477166	1.89487099889457e-8	chr15	loop_8910_anchor1	Other	850000	long_range	Long-range Lost
13992	Khdrbs3	lost	1.92364923680074	9.37028604608279e-44	chr15	loop_11207_anchor1	Repressed_Promoter	1990000	long_range	Long-range Lost
240753	Plekha6	gained	0.548137038532068	4.22728599954799e-13	chr1	loop_9860_anchor1	Poised_Enhancer	130000	short_range	Short-range Gained
16978	Lrrfip1	gained	0.438875490736928	4.43032764564875e-6	chr1	loop_12527_anchor1	Repressed_Promoter	130000	short_range	Short-range Gained
240726	Slco5a1	gained	0.73145890622885	5.97158000196029e-4	chr1	loop_12651_anchor1	Other	480000	short_range	Short-range Gained
52538	Acaa2	gained	-0.679700313069197	0.0275299137198025	chr18	loop_12981_anchor1	Polycomb	140000	short_range	Short-range Gained
225288	Fhod3	gained	0.599236532879209	3.54008905175747e-5	chr18	loop_10523_anchor1	Bivalent_Promoter	245000	short_range	Short-range Gained
226255	Atrnl1	lost	0.777724513531904	5.8986494763368e-8	chr19	loop_13452_anchor1	Other	810000	long_range	Long-range Lost
407243	Peds1	gained	0.73599195832873	0.0236015808151506	chr2	loop_13649_anchor1	Other	210000	short_range	Short-range Gained
19223	Ptgis	gained	1.26592416277829	0.00216655685260024	chr2	loop_13849_anchor1	Other	50000	short_range	Short-range Gained
54422	Barhl1	gained	0.745925633516415	4.8785361200918e-8	chr2	loop_11070_anchor1	Other	55000	short_range	Short-range Gained
11438	Chrna4	gained	2.26498131079669	2.80454627098242e-29	chr2	loop_11095_anchor1	Polycomb	40000	short_range	Short-range Gained
214230	Pak6	gained	1.62248817731186	2.90449831667997e-9	chr2	loop_11106_anchor1	Other	60000	short_range	Short-range Gained
100038743	Gm13629	gained	0.988432270749803	5.14117751422035e-6	chr2	loop_14142_anchor1	Other	320000	short_range	Short-range Gained
65112	Pmepa1	gained	1.34998063133551	1.06006743278971e-23	chr2	loop_11278_anchor1	Other	320000	short_range	Short-range Gained
72043	Sulf2	gained	0.358413245447438	0.00971310518292784	chr2	loop_13966_anchor1	Other	480000	short_range	Short-range Gained
53416	Stk39	gained	-0.358433309643217	4.36740255923434e-5	chr2	loop_11537_anchor1	Other	195000	short_range	Short-range Gained
111970	Dlx1as	lost	-1.20534031361159	0.0425969869269765	chr2	loop_14438_anchor1	Repressed_Promoter	1730000	long_range	Long-range Lost
75974	Dock11	gained	1.33675665788132	6.80095067630851e-33	chrX	loop_11621_anchor1	Other	165000	short_range	Short-range Gained
18072	Nhlh2	gained	-0.802751587270308	8.15875999088066e-9	chr3	loop_15086_anchor1	Repressed_Promoter	160000	short_range	Short-range Gained
74552	Nipal3	gained	-0.431749189035393	0.00105872872790696	chr4	loop_15574_anchor1	Other	150000	short_range	Short-range Gained
19268	Ptprf	gained	1.47687119521649	6.9403103703088e-38	chr4	loop_12256_anchor1	Other	75000	short_range	Short-range Gained
269610	Chd5	gained	1.0819726306418	3.36125958547797e-20	chr4	loop_12294_anchor1	Other	110000	short_range	Short-range Gained
107684	Coro2a	gained	-0.380558266823149	3.93780093801287e-4	chr4	loop_12519_anchor1	Poised_Enhancer	425000	short_range	Short-range Gained
381605	Tbc1d2	gained	-1.05135984604266	1.72468588668833e-8	chr4	loop_12519_anchor1	Poised_Enhancer	425000	short_range	Short-range Gained
12819	Col15a1	gained	1.81705607273235	8.08397163932082e-15	chr4	loop_19947_anchor1	Polycomb	100000	short_range	Short-range Gained
21812	Tgfbr1	gained	0.567854658774411	0.0077527779514548	chr4	loop_19947_anchor1	Polycomb	100000	short_range	Short-range Gained
70292	Afap1	gained	0.510634149599914	9.02082295484267e-14	chr5	loop_12740_anchor1	Repressed_Promoter	80000	short_range	Short-range Gained
70693	Adgra3	gained	0.620558642368797	4.30373464074967e-6	chr5	loop_16301_anchor1	Other	240000	short_range	Short-range Gained
16885	Limk1	gained	0.341165597442868	0.0485744943416539	chr5	loop_12974_anchor1	Other	155000	short_range	Short-range Gained
330050	Fam185a	gained	-1.06753335715655	2.50296033388505e-15	chr5	loop_16442_anchor1	Active_Promoter	220000	short_range	Short-range Gained
232232	Hdac11	gained	-0.777489492026303	8.93420582031719e-18	chr6	loop_13241_anchor1	Poised_Enhancer	110000	short_range	Short-range Gained
21366	Slc6a6	gained	0.326525636144287	1.36475125812398e-5	chr6	loop_16932_anchor1	Polycomb	80000	short_range	Short-range Gained
243547	Grip2	gained	0.502355265516675	0.0338685144600026	chr6	loop_16932_anchor1	Polycomb	80000	short_range	Short-range Gained
20751	Spr	gained	-0.67583102494077	0.0268132468057222	chr6	loop_13478_anchor1	Polycomb	80000	short_range	Short-range Gained
13796	Emx1	gained	2.30290448284794	6.27577557056747e-10	chr6	loop_13478_anchor1	Polycomb	80000	short_range	Short-range Gained
93671	Cd163	gained	-1.48574168629741	4.26831073231506e-6	chr6	loop_17130_anchor1	Other	110000	short_range	Short-range Gained
