entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	anchor_id	anchor_type	loop_distance	distance_class
16531	Kcnma1	gained	0.477030876402758	0.00451605476759483	chr14	loop_21700_anchor1	Polycomb	210000	short_range
11489	Adam12	gained	0.727642806161758	3.38362896607571e-7	chr7	loop_17798_anchor1	Polycomb	80000	short_range
78500	1700063D05Rik	gained	-0.663880446813934	0.0268400464995201	chr9	loop_8704_anchor1	Polycomb	240000	short_range
19245	Ptp4a3	gained	0.536694819936134	8.02150504230702e-4	chr15	loop_21885_anchor1	Polycomb	50000	short_range
52538	Acaa2	gained	-0.679700313069197	0.0275299137198025	chr18	loop_12981_anchor1	Polycomb	140000	short_range
11438	Chrna4	gained	2.26498131079669	2.80454627098242e-29	chr2	loop_11095_anchor1	Polycomb	40000	short_range
12819	Col15a1	gained	1.81705607273235	8.08397163932082e-15	chr4	loop_19947_anchor1	Polycomb	100000	short_range
21812	Tgfbr1	gained	0.567854658774411	0.0077527779514548	chr4	loop_19947_anchor1	Polycomb	100000	short_range
21366	Slc6a6	gained	0.326525636144287	1.36475125812398e-5	chr6	loop_16932_anchor1	Polycomb	80000	short_range
243547	Grip2	gained	0.502355265516675	0.0338685144600026	chr6	loop_16932_anchor1	Polycomb	80000	short_range
20751	Spr	gained	-0.67583102494077	0.0268132468057222	chr6	loop_13478_anchor1	Polycomb	80000	short_range
13796	Emx1	gained	2.30290448284794	6.27577557056747e-10	chr6	loop_13478_anchor1	Polycomb	80000	short_range
101437	Dhx32	gained	-0.422497290890059	1.60090009024831e-7	chr7	loop_17804_anchor1	Polycomb	490000	short_range
211652	Wwc1	gained	1.0089204279085	5.14856793606431e-26	chr11	loop_20673_anchor1	Polycomb	70000	short_range
545156	Kalrn	gained	0.498908673614437	0.00156705433974958	chr16	loop_17433_anchor1	Polycomb	70000	short_range
106522	Pkdcc	gained	1.51616700289439	4.68513870571452e-10	chr17	loop_17453_anchor1	Polycomb	75000	short_range
270802	Kics2	gained	-0.497621361980158	0.0274116196733904	chr10	loop_6205_anchor1	Polycomb	210000	short_range
107831	Adgrb1	gained	0.644729818082322	4.3781314599474e-8	chr15	loop_11151_anchor1	Polycomb	110000	short_range
69439	Mroh4	gained	1.81090960772797	0.0382529274529898	chr15	loop_11151_anchor1	Polycomb	110000	short_range
22062	Trp73	gained	-2.75130858096855	2.65173501758225e-52	chr4	loop_19185_anchor1	Polycomb	250000	short_range
230126	Shb	gained	2.17265362042404	1.33168033250557e-42	chr4	loop_22179_anchor1	Polycomb	240000	short_range
238271	Kcnh5	gained	1.93234491023811	3.21188224941468e-31	chr12	loop_22453_anchor1	Polycomb	190000	short_range
19417	Rasgrf1	lost	-0.398290269018613	0.00440783396916023	chr9	loop_9165_anchor1	Polycomb	9075000	long_range
11489	Adam12	lost	0.727642806161758	3.38362896607571e-7	chr7	loop_16141_anchor1	Polycomb	9100000	long_range
13593	Ebf3	gained	0.843260489584343	1.82664355485656e-10	chr7	loop_22331_anchor2	Polycomb	1170000	long_range
73230	Bmper	gained	1.03603599951141	8.69670909716256e-15	chr9	loop_21731_anchor2	Polycomb	190000	short_range
74694	Tbc1d30	gained	0.337130790739875	0.0160513144599594	chr10	loop_16445_anchor2	Polycomb	225000	short_range
330914	Arhgap32	gained	0.444813500073553	1.49688087398188e-12	chr9	loop_8807_anchor2	Polycomb	180000	short_range
330914	Arhgap32	lost	0.444813500073553	1.49688087398188e-12	chr9	loop_8912_anchor2	Polycomb	600000	long_range
72293	Nkd2	gained	1.59407744033104	3.04020939681572e-5	chr13	loop_8410_anchor2	Polycomb	105000	short_range
74111	Rbm19	gained	-0.449324523614061	4.80052077203307e-5	chr5	loop_16478_anchor2	Polycomb	340000	short_range
243621	Iqsec3	gained	1.62962464592304	6.55692671892955e-55	chr6	loop_17159_anchor2	Polycomb	200000	short_range
233863	Gtf3c1	gained	0.361027264875031	4.10159236531257e-8	chr7	loop_17968_anchor2	Polycomb	160000	short_range
22295	Cdh23	gained	2.44775581569031	2.27410292170769e-32	chr10	loop_18488_anchor2	Polycomb	150000	short_range
215690	Nav1	gained	0.397311773790795	0.00149305930089665	chr1	loop_19475_anchor2	Polycomb	210000	short_range
12819	Col15a1	lost	1.81705607273235	8.08397163932082e-15	chr4	loop_3494_anchor2	Polycomb	1540000	long_range
215690	Nav1	lost	0.397311773790795	0.00149305930089665	chr1	loop_656_anchor2	Polycomb	8925000	long_range
78785	Clip4	gained	0.817439076800899	1.49314923793439e-9	chr17	loop_11396_anchor2	Polycomb	300000	short_range
225115	Svil	lost	0.641830384944112	1.67772178555324e-8	chr18	loop_12403_anchor2	Polycomb	725000	long_range
