GROUP	chr	mid	bin_start	ctrl_label	mut_label	anchor_side	timepoint	transition
clust4	chr1	3362500	3300001	B.2	A.1	anchor1	250402	B_to_A
clust4	chr1	3515000	3500001	A.2	A.1	anchor1	250402	Within_A
clust2	chr1	3662500	3600001	A.2	A.1	anchor1	250402	Within_A
clust4	chr1	4515000	4500001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	4785000	4700001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	4805000	4800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	4785000	4700001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	4887500	4800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	4862500	4800001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	5022500	5000001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	4787500	4700001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	4862500	4800001	A.1	A.1	anchor1	250402	Stable
clust6	chr1	5087500	5000001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6275000	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6272500	6200001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	6512500	6500001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	6212500	6200001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	6512500	6500001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	6237500	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6262500	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6262500	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6487500	6400001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	6492500	6400001	A.2	A.2	anchor1	250402	Stable
clust2	chr1	6405000	6400001	A.2	A.2	anchor1	250402	Stable
clust6	chr1	6732500	6700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6772500	6700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6737500	6700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6412500	6400001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	4787500	4700001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	6212500	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6735000	6700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6737500	6700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6862500	6800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6862500	6800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	7085000	7000001	A.2	B.1	anchor1	250402	A_to_B
clust3	chr1	6387500	6300001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	6412500	6400001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	6887500	6800001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	6865000	6800001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	7012500	7000001	A.2	B.1	anchor1	250402	A_to_B
clust3	chr1	6212500	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	7087500	7000001	A.2	B.1	anchor1	250402	A_to_B
clust3	chr1	6215000	6200001	A.2	A.2	anchor1	250402	Stable
clust3	chr1	7087500	7000001	A.2	B.1	anchor1	250402	A_to_B
clust1	chr1	7375000	7300001	B.1	B.2	anchor1	250402	Within_B
clust2	chr1	6212500	6200001	A.2	A.2	anchor1	250402	Stable
clust1	chr1	7412500	7400001	B.1	B.2	anchor1	250402	Within_B
clust3	chr1	9575000	9500001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	9562500	9500001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	9625000	9600001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	9702500	9700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	9745000	9700001	A.1	A.1	anchor1	250402	Stable
clust3	chr1	9562500	9500001	B.2	B.2	anchor1	250402	Stable
clust3	chr1	9537500	9500001	B.2	B.2	anchor1	250402	Stable
clust1	chr1	9762500	9700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	9787500	9700001	A.1	A.1	anchor1	250402	Stable
clust1	chr1	9762500	9700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	9777500	9700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	9775000	9700001	A.1	A.1	anchor1	250402	Stable
clust2	chr1	9945000	9900001	A.2	A.2	anchor1	250402	Stable
