stripe_id	direction	body_bins	frac_A1	frac_A2	frac_B1	frac_B2	timepoint
stripe_0001	unchanged	12	0	0.25	0	0.75	250402
stripe_0002	gained	14	0	0.2143	0	0.7857	250402
stripe_0003	gained	6	0	0.5	0	0.5	250402
stripe_0005	gained	5	0	0.6	0	0.4	250402
stripe_0004	gained	4	0	0.75	0	0.25	250402
stripe_0009	unchanged	12	0.25	0.5833	0.0833	0.0833	250402
stripe_0008	unchanged	6	0.1667	0.8333	0	0	250402
stripe_0006	unchanged	10	0.3	0.6	0.1	0	250402
stripe_0007	gained	5	0.4	0.6	0	0	250402
stripe_0010	unchanged	8	0.625	0.25	0	0.125	250402
stripe_0013	lost	8	0.375	0.25	0	0.375	250402
stripe_0011	lost	7	0.4286	0.4286	0	0.1429	250402
stripe_0012	unchanged	3	1	0	0	0	250402
stripe_0014	unchanged	5	0.6	0.4	0	0	250402
stripe_0015	unchanged	13	0	0	0	1	250402
stripe_0016	unchanged	13	0	0.4615	0.2308	0.3077	250402
stripe_0018	unchanged	18	0.4444	0.2222	0.1667	0.1667	250402
stripe_0017	unchanged	9	0	0.5556	0.3333	0.1111	250402
stripe_0019	unchanged	12	0.3333	0.6667	0	0	250402
stripe_0004	unchanged	12	0.3333	0.6667	0	0	250402
stripe_0022	lost	8	0.5	0.5	0	0	250402
stripe_0020	unchanged	6	0.5	0.5	0	0	250402
stripe_0021	unchanged	5	0.4	0.6	0	0	250402
stripe_0023	unchanged	7	0	0.1429	0.7143	0.1429	250402
stripe_0025	unchanged	7	0.2857	0.2857	0	0.4286	250402
stripe_0026	gained	18	0.2778	0.3333	0.2222	0.1667	250402
stripe_0024	lost	6	0.3333	0.3333	0	0.3333	250402
stripe_0028	unchanged	16	0.125	0.1875	0.125	0.5625	250402
stripe_0027	unchanged	33	0.4242	0.1212	0.1515	0.303	250402
stripe_0031	unchanged	8	0.875	0	0	0.125	250402
stripe_0032	lost	8	0.875	0	0	0.125	250402
stripe_0014	lost	17	0.7647	0.1765	0	0.0588	250402
stripe_0033	gained	7	1	0	0	0	250402
stripe_0035	gained	9	1	0	0	0	250402
stripe_0036	unchanged	10	1	0	0	0	250402
stripe_0029	lost	4	1	0	0	0	250402
stripe_0034	gained	24	0.5833	0.25	0.1667	0	250402
stripe_0043	unchanged	18	0.8333	0.1667	0	0	250402
stripe_0030	unchanged	6	1	0	0	0	250402
stripe_0037	lost	5	0.8	0.2	0	0	250402
stripe_0040	gained	6	0.5	0.5	0	0	250402
stripe_0042	unchanged	9	0.6667	0.3333	0	0	250402
stripe_0038	gained	8	0.625	0.375	0	0	250402
stripe_0039	lost	5	0.8	0.2	0	0	250402
stripe_0041	unchanged	4	1	0	0	0	250402
stripe_0013	unchanged	21	0.7619	0.2381	0	0	250402
stripe_0044	unchanged	10	0.5	0.5	0	0	250402
stripe_0022	unchanged	25	0.44	0.2	0.08	0.28	250402
stripe_0050	lost	8	0.5	0.5	0	0	250402
stripe_0048	lost	6	0.5	0.5	0	0	250402
stripe_0051	unchanged	14	0.7857	0.2143	0	0	250402
stripe_0052	gained	16	0.6875	0.1875	0.125	0	250402
stripe_0045	unchanged	10	0.7	0.3	0	0	250402
stripe_0046	unchanged	11	0.7273	0.2727	0	0	250402
stripe_0047	unchanged	6	0.8333	0.1667	0	0	250402
stripe_0049	lost	28	0.7857	0.1429	0.0714	0	250402
stripe_0054	lost	12	0.3333	0	0.1667	0.5	250402
stripe_0020	gained	31	0.0323	0.0968	0.2258	0.6452	250402
stripe_0053	unchanged	19	0	0.1579	0.2632	0.5789	250402
stripe_0056	gained	9	0	0.3333	0.4444	0.2222	250402
stripe_0055	gained	10	0	0.3	0.3	0.4	250402
stripe_0057	gained	3	0.6667	0	0	0.3333	250402
stripe_0058	gained	7	1	0	0	0	250402
stripe_0059	unchanged	4	1	0	0	0	250402
