#Position (bp)	insert size
3406923.0	212.26904278517182
1.0220768E7	211.67027563122443
1.7034613E7	212.64727402871117
2.3848458E7	211.66864583759877
3.0662303E7	214.67254812098992
3.7476148E7	212.92717263075107
4.4289993E7	210.7782918440878
5.1103838E7	215.07080652753805
5.7917683E7	211.44329452350152
6.4731528E7	209.7388293983572
7.1545373E7	210.52207971426253
7.8359218E7	205.32215156075537
8.5173063E7	210.05187089909558
9.1986908E7	209.74815361890694
9.8800753E7	212.6981613891726
1.05614598E8	214.4106282101936
1.12428443E8	212.36206896551724
1.19242288E8	207.5546021514378
1.26056133E8	210.36586788914357
1.300790245E8	215.1678420310296
1.33485947E8	205.19196343553608
1.39683823E8	212.20618265466726
1.46497668E8	213.98563336959376
1.53311513E8	211.6008366181321
1.60125358E8	213.26878950122781
1.66939203E8	211.0817915070503
1.73753048E8	211.3391572045418
1.80566893E8	209.71989595770083
1.87380738E8	208.58877434135167
1.94194583E8	208.3333476893923
2.01008428E8	206.76463148713475
2.07822273E8	206.7880776340111
2.14636118E8	209.68742411101474
2.21449963E8	210.14075293149557
2.28263808E8	205.41208556657023
2.35077653E8	207.0613032035575
2.41891498E8	208.65450581993173
2.48705343E8	203.49372559229369
2.52444901E8	209.3555792845702
2.558518235E8	176.39337774883535
2.62333033E8	211.62314036541574
2.69146878E8	214.2775531962152
2.75960723E8	216.00948033707866
2.82774568E8	210.71095580678315
2.89588413E8	214.19233265874985
2.96402258E8	214.29592464436755
3.03216103E8	213.28579135997535
3.10029948E8	213.70155830629332
3.16843793E8	215.7447285778376
3.23657638E8	209.96285914505955
3.30471483E8	209.63154362416108
3.37285328E8	208.5510642270351
3.44099173E8	212.84140378548895
3.50913018E8	212.2148275311402
3.57726863E8	207.57187610307096
3.64540708E8	209.9180550089641
3.704270945E8	213.64441789006486
3.73834017E8	0.0
3.78168398E8	214.1354025670945
3.84982243E8	213.1705168755255
3.91796088E8	213.54415302701636
3.98609933E8	212.87876127384467
4.05423778E8	210.83239258635214
4.12237623E8	209.63705119342902
4.19051468E8	208.5116976865542
4.25865313E8	208.23862232996387
4.32679158E8	211.85073610756533
4.39493003E8	213.88838858018778
4.46306848E8	212.2786784573815
4.53120693E8	213.61714414279285
4.59934538E8	214.214377213473
4.66748383E8	209.46281299066192
4.73562228E8	209.55092785220938
4.80376073E8	211.54439168429033
4.87189918E8	210.82657567242072
4.91962519E8	214.16713942832206
4.953694415E8	234.39882697947215
5.00817608E8	217.62115652283944
5.07631453E8	212.36276878967848
5.14445298E8	190.68561863500815
5.21259143E8	208.0759985034141
5.28072988E8	211.42732092220442
5.34886833E8	219.9179763508457
5.41700678E8	210.60317592979524
5.48514523E8	210.39511566941084
5.55328368E8	208.35102166637307
5.62142213E8	208.2250435093043
5.68956058E8	209.86970737289522
