chr	bin_start	bin_end	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed
chr6	64700001	64800000	B.1	B.1	0.36095919225915	0.306699958385352	FALSE
chr8	30000001	30100000	B.2	B.2	0.0361800588977703	0.101123595505618	FALSE
chr8	30100001	30200000	B.2	B.2	0.0734118636937317	0.140033291718685	FALSE
chr8	30200001	30300000	B.2	B.2	0.110643668489693	0.178942987931752	FALSE
chr8	30300001	30400000	B.2	B.2	0.110643668489693	0.178942987931752	FALSE
chr8	30400001	30500000	B.2	B.2	0.110643668489693	0.178942987931752	FALSE
chr8	30500001	30600000	B.2	B.1	0.18342448464451	0.426550145651269	TRUE
chr8	30600001	30700000	B.2	B.1	0.256205300799327	0.426550145651269	TRUE
chr8	30700001	30800000	B.2	B.1	0.256205300799327	0.420724094881398	TRUE
chr8	30800001	30900000	B.2	B.1	0.256205300799327	0.414898044111527	TRUE
chr8	30900001	31000000	B.2	B.1	0.256205300799327	0.414898044111527	TRUE
chr8	31000001	31100000	B.2	B.1	0.256205300799327	0.414898044111527	TRUE
chr8	31100001	31200000	A.1	A.1	0.797644089188052	0.806491885143571	FALSE
chr8	31200001	31300000	A.1	B.2	0.797644089188052	0.083645443196005	TRUE
chr8	31300001	31400000	B.2	B.2	0.118636937315944	0.083645443196005	FALSE
chr8	31400001	31500000	B.2	B.2	0.118636937315944	0.083645443196005	FALSE
chr8	31500001	31600000	B.2	B.2	0.118636937315944	0.083645443196005	FALSE
chr8	31600001	31700000	B.2	B.2	0.118636937315944	0.083645443196005	FALSE
chr8	31700001	31800000	B.2	B.2	0.118636937315944	0.083645443196005	FALSE
chr8	31800001	31900000	B.2	B.2	0.153134202776609	0.083645443196005	FALSE
chr8	31900001	32000000	B.2	B.2	0.187631468237274	0.182688306283812	FALSE
chr8	32000001	32100000	B.2	B.2	0.165965502734539	0.142946317103621	FALSE
chr8	32100001	32200000	B.2	B.2	0.144299537231805	0.103204327923429	FALSE
chr8	32200001	32300000	B.2	B.2	0.211400925536391	0.1729088639201	FALSE
chr8	32300001	32400000	B.2	B.2	0.278502313840976	0.242613399916771	FALSE
chr8	32400001	32500000	B.2	B.2	0.106857383256205	0.0536828963795256	FALSE
chr8	32500001	32600000	B.2	B.2	0.106857383256205	0.0536828963795256	FALSE
chr8	32600001	32700000	B.2	B.2	0.106857383256205	0.0536828963795256	FALSE
chr8	32700001	32800000	B.2	B.2	0.106857383256205	0.102580108198086	FALSE
chr8	32800001	32900000	B.2	B.2	0.192679848548591	0.151477320016646	FALSE
chr8	32900001	33000000	B.2	B.2	0.192679848548591	0.149396587598835	FALSE
chr8	33000001	33100000	B.2	B.2	0.192679848548591	0.147315855181024	FALSE
chr8	33100001	33200000	B.2	B.2	0.192679848548591	0.147315855181024	FALSE
chr8	33200001	33300000	B.2	B.2	0.192679848548591	0.147315855181024	FALSE
chr8	33300001	33400000	A.2	B.1	0.5187210769878	0.46982937994174	TRUE
chr8	33400001	33500000	A.2	B.1	0.5187210769878	0.46982937994174	TRUE
chr8	33500001	33600000	A.2	B.1	0.5187210769878	0.46982937994174	TRUE
chr8	33600001	33700000	A.1	A.1	0.798485485906605	0.762796504369538	FALSE
chr8	33700001	33800000	A.1	A.1	0.798485485906605	0.762796504369538	FALSE
chr8	33800001	33900000	B.1	B.1	0.425326041228439	0.404910528506034	FALSE
chr8	33900001	34000000	B.1	B.1	0.425326041228439	0.404910528506034	FALSE
chr8	34000001	34100000	A.1	A.2	0.736642827092974	0.623387432376196	TRUE
chr8	34100001	34200000	A.1	A.2	0.736642827092974	0.623387432376196	TRUE
chr8	34200001	34300000	A.2	A.2	0.484644509886411	0.623387432376196	FALSE
chr8	34300001	34400000	A.2	A.2	0.484644509886411	0.623387432376196	FALSE
chr8	34400001	34500000	A.2	A.2	0.484644509886411	0.623387432376196	FALSE
chr8	34500001	34600000	A.2	A.2	0.484644509886411	0.623387432376196	FALSE
chr8	34600001	34700000	A.2	A.2	0.484644509886411	0.623387432376196	FALSE
chr8	34700001	34800000	A.1	A.1	0.791754312158183	0.879317519766958	FALSE
chr8	34800001	34900000	A.1	A.1	0.791754312158183	0.879317519766958	FALSE
chr8	34900001	35000000	A.1	A.1	0.791754312158183	0.879317519766958	FALSE
chr8	35000001	35100000	A.2	A.2	0.524190155658393	0.526841448189763	FALSE
chr8	35100001	35200000	A.2	A.2	0.524190155658393	0.526841448189763	FALSE
chr8	35200001	35300000	A.2	A.2	0.524190155658393	0.526841448189763	FALSE
chr8	35300001	35400000	A.2	A.2	0.56310475389146	0.526841448189763	FALSE
chr8	35400001	35500000	A.2	A.1	0.614429953723181	0.699958385351644	TRUE
chr8	35500001	35600000	A.2	A.1	0.626840555321834	0.757594673325011	TRUE
chr8	35600001	35700000	A.1	A.1	0.758519141775347	0.815230961298377	FALSE
chr8	35700001	35800000	A.1	A.1	0.758519141775347	0.815230961298377	FALSE
chr8	35800001	35900000	A.1	A.1	0.84350021034918	0.888472742405327	FALSE
chr8	35900001	36000000	A.1	A.1	0.928481278923012	0.961714523512276	FALSE
chr8	36000001	36100000	A.1	A.1	0.928481278923012	0.961714523512276	FALSE
chr8	36100001	36200000	A.1	A.1	0.928481278923012	0.961714523512276	FALSE
