loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	is_merged	anchor1_K27me3	anchor2_K27me3
loop_8758	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.907636620590362	3.8015301363332	69.6727173406502	1.20871410753359e-6	0.00534783469737162	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	5kb,10kb	TRUE	0.0522928953042225	0.00534783469737162	NA	-0.797810945840439	-0.907636620590362	NA	10	2	TRUE	TRUE	TRUE
loop_48	chr14	63230000	63235000	chr14	63270000	63275000	chr14:63230000-63235000_chr14:63270000-63275000	FALSE	-0.0395092161338784	6.28176347745576	0.24870874657512199	0.625909364045127	0.916012691714199	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.916012691714199	NA	NA	-0.0395092161338784	NA	NA	5	1	FALSE	TRUE	TRUE
loop_9695	chr9	98950000	98960000	chr9	99870000	99880000	chr9:98950000-98960000_chr9:99870000-99880000	FALSE	-0.442738731865522	3.55564868010655	20.5513547193889	5.3338852865379e-4	0.0797271691275629	FALSE	TRUE	trending	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.200316993035763	0.0797271691275629	NA	-0.642779856116904	-0.442738731865522	NA	10	2	TRUE	TRUE	TRUE
loop_10051	chr11	33740000	33750000	chr11	33840000	33850000	chr11:33740000-33750000_chr11:33840000-33850000	TRUE	0.069171002081551	6.37129768070923	1.31793721086504	0.271226286585923	0.705664490155998	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.855936263381903	0.705664490155998	NA	0.0632369910155507	0.069171002081551	NA	10	2	TRUE	TRUE	TRUE
loop_152	chr11	24045000	24050000	chr11	25860000	25865000	chr11:24045000-24050000_chr11:25860000-25865000	TRUE	-0.252736386262179	5.44425533923622	3.99585565838144	0.0658859335251954	0.504323508022914	FALSE	FALSE	non_significant	unchanged	NA	5000	5	3	5kb,10kb,25kb	TRUE	0.504323508022914	0.772243510645864	0.743096041051042	-0.252736386262179	-0.109398560334183	-0.0826194231960393	5	3	TRUE	TRUE	TRUE
loop_10733	chr13	94590000	94600000	chr13	94880000	94890000	chr13:94590000-94600000_chr13:94880000-94890000	FALSE	0.0664857780638822	5.14852894389855	1.20109676321739	0.292583242962475	0.722138402411679	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.788024481146095	0.722138402411679	NA	-0.0889714664774665	0.0664857780638822	NA	10	2	TRUE	TRUE	TRUE
loop_203	chr12	33035000	33040000	chr12	33090000	33095000	chr12:33035000-33040000_chr12:33090000-33095000	TRUE	-0.0609743184931811	5.64695733309068	0.542769654872269	0.473734732827486	0.852753812807376	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.865145563353282	0.941768110286191	NA	0.0552423569955134	0.0154110804145692	NA	5	4	TRUE	TRUE	TRUE
loop_214	chr12	56520000	56525000	chr12	56700000	56705000	chr12:56520000-56525000_chr12:56700000-56705000	TRUE	-0.161852603964641	4.99199420153526	3.09002859250243	0.101118033806262	0.57174055940916	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.57174055940916	0.845007975267534	NA	-0.161852603964641	-0.0543680215750137	NA	5	2	TRUE	TRUE	TRUE
loop_224	chr15	78635000	78640000	chr15	78710000	78715000	chr15:78635000-78640000_chr15:78710000-78715000	TRUE	0.0122235446121634	6.49623358804439	0.0255790350791985	0.875270411747345	0.974349491706107	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.974349491706107	NA	NA	0.0122235446121634	NA	NA	5	1	FALSE	TRUE	TRUE
loop_20451	chr15	88310000	88320000	chr15	88530000	88540000	chr15:88310000-88320000_chr15:88530000-88540000	FALSE	-0.064399926982881	5.06387048633136	1.12483514625656	0.307791588074609	0.734314086779166	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.99931261968034	0.734314086779166	NA	3.4659663037362e-4	-0.064399926982881	NA	10	2	TRUE	TRUE	TRUE
loop_3802	chr19	17470000	17480000	chr19	17760000	17770000	chr19:17470000-17480000_chr19:17760000-17770000	TRUE	0.163134712782115	4.90700998708311	5.00455643882514	0.0430294505571354	0.38425628428353	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.873386430149645	0.38425628428353	NA	0.0684613080234495	0.163134712782115	NA	10	2	TRUE	TRUE	TRUE
loop_13147	chr19	44750000	44775000	chr19	45150000	45175000	chr19:44750000-44775000_chr19:45150000-45175000	FALSE	-0.168548181521937	4.82470811047936	9.08332998906732	0.0105699370454265	0.160661512324799	FALSE	FALSE	non_significant	unchanged	NA	25000	25	3	5kb,10kb,25kb	TRUE	0.304934227131669	0.286306072034501	0.160661512324799	-0.387653586517062	-0.25567326765705	-0.168548181521937	25	4	TRUE	TRUE	TRUE
loop_13109	chr19	43600000	43625000	chr19	45225000	45250000	chr19:43600000-43625000_chr19:45225000-45250000	FALSE	-0.433887422733374	4.05549020846173	51.1674302481554	1.03686487621156e-5	0.00725494353885231	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	3	5kb,10kb,25kb	TRUE	0.164875771180651	0.0164014095997052	0.00725494353885231	-0.427801679530619	-0.528883833570215	-0.433887422733374	25	4	TRUE	TRUE	TRUE
