loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap	anchor_status	anchor1_is_polycomb	anchor2_is_polycomb	polycomb_anchor_count	polycomb_status	is_polycomb_anchored
loop_1164	chr11	85835000	85840000	chr11	85885000	85890000	chr11:85835000-85840000_chr11:85885000-85890000	FALSE	-0.443512061434171	5.55677348461848	28.3366187008512	6.07889169380186e-5	0.0031231608696555002	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr11	85835000	85840000	85837500	5000	chr11	85885000	85890000	85887500	5000	50000	<100kb	TRUE	8545	2448	8547	0	21385	21387	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_17280	chr6	51170000	51180000	chr6	52310000	52320000	chr6:51170000-51180000_chr6:52310000-52320000	FALSE	-0.866346995338293	4.01507337320884	73.2262445356311	4.06974247260018e-8	9.11944669701854e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr6	51170000	51180000	51175000	10000	chr6	52310000	52320000	52315000	10000	1140000	>1Mb	TRUE	15212	89909	20625	0	387166	70593	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_7382	chr9	42325000	42330000	chr9	42940000	42945000	chr9:42325000-42330000_chr9:42940000-42945000	TRUE	-0.345618548664937	5.25032979395401	13.4133785644232	0.0019966410066311	0.0286312588367154	TRUE	TRUE	weak_differential	down_in_mutant	NA	5000	5	1	FALSE	chr9	42325000	42330000	42327500	5000	chr9	42940000	42945000	42942500	5000	615000	500kb-1Mb	TRUE	10857	60743	3004	0	235293	110637	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_8612	chr12	74330000	74335000	chr12	75390000	75395000	chr12:74330000-74335000_chr12:75390000-75395000	TRUE	-0.594643010855201	5.70058698948588	26.3397472224334	8.96804697477756e-5	0.0039647053810923	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	1	FALSE	chr12	74330000	74335000	74332500	5000	chr12	75390000	75395000	75392500	5000	1060000	>1Mb	TRUE	15179	33331	8997	21780	386753	217674	FALSE	TRUE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_14438	chr2	71540000	71550000	chr2	73270000	73280000	chr2:71540000-71550000_chr2:73270000-73280000	TRUE	-0.619192147317801	3.79423553843088	35.085809048742	8.58913129892264e-6	3.597607108867e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr2	71540000	71550000	71545000	10000	chr2	73270000	73280000	73275000	10000	1730000	>1Mb	TRUE	4326	0	14910	0	13392	381373	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_17068	chr6	51200000	51210000	chr6	52220000	52230000	chr6:51200000-51210000_chr6:52220000-52230000	FALSE	-0.501580663693141	5.15936225879337	53.2172139771812	4.71415345739185e-7	4.89406977282993e-5	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr6	51200000	51210000	51205000	10000	chr6	52220000	52230000	52225000	10000	1020000	>1Mb	TRUE	15212	59909	5305	0	387166	15404	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_13540	chr6	125620000	125625000	chr6	126165000	126170000	chr6:125620000-125625000_chr6:126165000-126170000	FALSE	-0.530984267119101	4.00791488079701	17.7494035169318	6.140850157264e-4	0.0132915675900754	TRUE	TRUE	moderate_differential	down_in_mutant	NA	5000	5	1	FALSE	chr6	125620000	125625000	125622500	5000	chr6	126165000	126170000	126167500	5000	545000	500kb-1Mb	TRUE	11665	65418	6603	0	243634	18205	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_17230	chr6	49210000	49220000	chr6	51170000	51180000	chr6:49210000-49220000_chr6:51170000-51180000	FALSE	-0.786555893339439	3.86989791911585	79.779282138155	2.04741244048841e-8	5.94064594270944e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr6	49210000	49220000	49215000	10000	chr6	51170000	51180000	51175000	10000	1960000	>1Mb	TRUE	4591	0	15212	89909	140488	387166	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.428342941993396	3.17557930401806	15.2401701061624	8.813633909767e-4	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	48220000	48230000	48225000	10000	chr8	49820000	49830000	49825000	10000	1600000	>1Mb	TRUE	14198	120907	177	538111	320685	100039954	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
loop_1371	chr9	32410000	32420000	chr9	32550000	32560000	chr9:32410000-32420000_chr9:32550000-32560000	TRUE	0.396828173413121	5.07274593686092	36.094289905384	7.1325320505309e-6	3.18071522105e-4	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr9	32410000	32420000	32415000	10000	chr9	32550000	32560000	32555000	10000	140000	100-500kb	TRUE	16732	37506	4757	7138	56379	14247	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	shared	TRUE	TRUE	2	Both_Polycomb	TRUE
