Chr	Start	End	Conc	Conc_mut	Conc_ctrl	Fold	p-value	FDR
chr9	32152760	32153160	4.92395088584808	5.72524229559112	2.96569655943376	2.5303326398335	5.03520341105353e-20	1.71473852163428e-15
chr13	23555490	23555890	4.73875353833363	5.54211732333328	2.76638655332582	2.46983546642935	2.09856472988471e-16	3.57333109381118e-12
chr13	23585113	23585513	5.12641838765803	5.85800386629932	3.56805956376066	1.83278972583461	3.07967508948297e-14	3.49594450574475e-10
chr13	23551413	23551813	4.71160944040556	5.43336380499936	3.20038651521699	1.76878490327974	5.88219407146418e-14	5.00795297759282e-10
chr13	23544038	23544438	4.16085767970176	4.92840517501404	2.41243316104053	1.96720251024872	3.31400564137937e-13	2.25716924234349e-09
chr4	45528441	45528841	4.44246963761515	3.10823898376306	5.12360085990851	-1.49603846565822	3.60687786467533e-11	2.04720376135864e-07
chr8	34855998	34856398	5.04901336319622	5.69878151984639	3.83505412358466	1.39561087800826	1.17180385613457e-10	5.7008257600947e-07
chr11	22006193	22006593	5.82027000240013	6.41108473134147	4.80256951933522	1.26498327108165	1.44723839225603e-10	6.16071293103491e-07
chr5	108537666	108538066	4.41613005780303	5.0668752405622	3.19860936675719	1.38216827068611	1.88605849909399e-10	7.13663579851621e-07
chr16	96618273	96618673	4.45869266741382	5.11668166532758	3.21441212357906	1.3685290550927	1.10360689735459e-09	3.45988264103303e-06
chr13	23571450	23571850	4.44518410773044	5.11165858567178	3.16873532904642	1.38204813745514	1.11756596832663e-09	3.45988264103303e-06
chr18	73929899	73930299	4.90215848164796	5.49116384525817	3.88996146937022	1.22280849138174	1.30430309836958e-09	3.70150350124799e-06
chr13	23542818	23543218	3.4989195293911	4.30037629922353	1.5395449135471	1.79082774302763	1.66476005200706e-09	4.36103104393081e-06
chr18	32954195	32954595	4.48857353553068	5.15260375638207	3.22148415078024	1.34714296004863	1.90151932687636e-09	4.54014026825511e-06
chr4	47298304	47298704	4.42744283016117	2.97533992551051	5.13630254167772	-1.45265080939156	1.99976814047355e-09	4.54014026825511e-06
chr5	131532746	131533146	4.01816975876801	4.72942444007704	2.55530731667887	1.46528423484993	2.46069807340664e-09	5.23744205561644e-06
chr1	153741984	153742384	4.00851478335588	4.71809285855894	2.55319487779794	1.45207565467646	2.63141010176976e-09	5.27133358916289e-06
chr7	96211153	96211553	4.44707218726444	3.23617349734557	5.09599827223086	-1.31244871018242	3.05469459261976e-09	5.77931246398143e-06
chr13	104288108	104288508	4.11242957958618	4.82547542171757	2.64145567810381	1.42944041739976	3.85113865995733e-09	6.90265931920247e-06
chr1	184903584	184903984	5.18955149658425	5.76039387656982	4.23110113564391	1.1607393244597	8.77481743175452e-09	1.494132038192e-05
chr13	23573910	23574310	4.14261145419039	4.76824962865397	3.01321473023488	1.24959609063628	1.14951969902246e-08	1.86413777858142e-05
chr7	51625068	51625468	5.15273023269806	5.71300160872644	4.2243650754296	1.14226012921428	1.32279462000716e-08	2.04762594474291e-05
chr11	114065554	114065954	5.13336316520555	4.09102574332965	5.73216647270272	-1.18645061369918	2.29639264834125e-08	3.36962846875851e-05
chr13	23575817	23576217	3.88818716942861	4.57515434725807	2.53011916494081	1.31851812452814	2.37471981354293e-08	3.36962846875851e-05
chr7	143393348	143393748	4.39719178768907	3.24422648702907	5.02973923351053	-1.21493713533187	3.4158433187879e-08	4.65306176885288e-05
chr10	109693014	109693414	3.75167101221242	4.4447520966015	2.36809420418718	1.30869228735617	3.79234569661613e-08	4.96724356531778e-05
chr17	90991076	90991476	4.18908899502426	4.84854902814233	2.93929638944674	1.26344586470963	3.97018314131477e-08	5.00757729175831e-05
chr10	109736280	109736680	4.12811907521402	4.79412965944666	2.85345250525036	1.26716786831211	4.3669122399521e-08	5.31125701184174e-05
chr13	23745032	23745432	3.57255228269618	4.29338125794416	2.06567170534463	1.33524776180056	5.65820344372388e-08	6.64448683710402e-05
chr18	32945418	32945818	4.91725285381315	5.46666694492034	4.01892653833859	1.09009739955802	6.00313400675024e-08	6.81455761999598e-05
chr18	32963879	32964279	4.72055471157028	5.27914615728043	3.79689341544495	1.1065188561918	6.45323003411889e-08	7.08918544554577e-05
chr9	4537069	4537469	4.32980593885673	4.94853437835058	3.22349056523844	1.18437108281409	7.4412079388513e-08	7.91907301117441e-05
chr18	64387136	64387536	3.51698047716168	4.23500009211774	2.02318632006456	1.32156945883563	7.91927993483339e-08	7.97936398717346e-05
chr6	18403666	18404066	4.73777060509817	5.2882062582514	3.83665398433543	1.07884798083136	7.9664770390221e-08	7.97936398717346e-05
chr8	55040485	55040885	4.65139437033593	5.1887243075836	3.78552573165805	1.04631940392859	8.53518367105704e-08	8.01945152567704e-05
chr18	33202774	33203174	5.2117541491995	5.73829225150825	4.37404543268821	1.03756374109955	8.70792487163419e-08	8.01945152567704e-05
chr5	88966446	88966846	3.93688653833395	4.58916354423471	2.71375941145045	1.22113250349368	8.71295570254149e-08	8.01945152567704e-05
chr2	168763416	168763816	4.70633656158929	5.26432027914457	3.78437180913745	1.08882896076172	9.93898460774547e-08	8.90716107412558e-05
chr13	23581524	23581924	4.1865576217698	4.81932955487661	3.03281815358338	1.18626919909119	1.39607051347324e-07	0.00012190559317008
chr5	14751276	14751676	4.33076480113124	4.94216086631982	3.24842766791494	1.15670307768529	1.52988859395392e-07	0.000130250890167752
chr11	113792803	113793203	3.83665076375371	4.51436832434045	2.5161391772948	1.2278445337955	1.60931677990034e-07	0.000133671421803674
chrX	58033567	58033967	3.66256022598616	4.34690983249637	2.31524454050751	1.22769043032624	1.66909676199606e-07	0.000135335929118514
chr2	66344478	66344878	3.56427133086531	4.25773160590122	2.1790938893294	1.23281364216148	1.90585064499261e-07	0.00015036997185736
