loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended	ctcf_anchor_count
loop_3362	chr8	71175000	71180000	chr8	71815000	71820000	1.07804968332282	5.64584831156871	4.28464397930854e-5	2.6205773573752503e-9	TRUE	5	3	640000	Other-Other	up_in_mutant	strong_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	89241	62018	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_3909	chr11	27750000	27755000	chr11	28580000	28585000	0.738853083718689	4.87722032505283	0.0246137874788143	8.2242522407726e-6	TRUE	5	1	830000	Repressed_Promoter-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	829323	0	CTCF_Site	Repressed_Promoter	Repressed_Promoter-CTCF_Site	1
loop_7340	chr8	41050000	41055000	chr8	41235000	41240000	0.515500086064682	6.47544389152402	0.0246137874788143	9.03258256103277e-6	TRUE	5	1	185000	Active_Promoter-Active_Enhancer	up_in_mutant	moderate_differential	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	32531	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	1
loop_15623	chr4	81570000	81580000	chr4	82700000	82710000	-0.623738072808033	3.50470593065554	0.022620335524039	3.88560143709195e-5	TRUE	10	2	1130000	Active_Promoter-Active_Enhancer	down_in_mutant	moderate_differential	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	127184	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer	0
loop_16094	chr11	57015000	57020000	chr11	57310000	57315000	0.553261047906869	5.61116679186698	0.0246137874788143	7.55393527112769e-6	TRUE	5	2	295000	Polycomb-Poised_Enhancer	up_in_mutant	moderate_differential	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	3612	203616	Polycomb	Poised_Enhancer	Polycomb-Poised_Enhancer	2
loop_1298	chr8	49525000	49550000	chr8	49825000	49850000	-0.531581037913629	5.52012122539831	0.0048740438696912	5.57272416143058e-6	TRUE	25	2	300000	Polycomb-Other	down_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	681048	518111	CTCF_Site	Polycomb	Polycomb-CTCF_Site	2
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	0.589016452185087	7.68831282794265	0.0125381759837717	9.85543323192625e-6	TRUE	10	1	80000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	24460	104460	Other	Other	Other-Other	0
loop_16964	chr8	57325000	57350000	chr8	108700000	108725000	-1.2421109892696	1.2184767545077	0.0015617840610222	5.95220451058947e-7	TRUE	25	2	51375000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	115404	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	2
loop_51	chr8	89040000	89050000	chr8	92360000	92370000	-1.12582663455864	1.6404914677075	0.0180706558798058	2.69564977865288e-5	TRUE	10	1	3320000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	0	2374	Repressed_Promoter	Polycomb	Repressed_Promoter-Polycomb	1
loop_11648	chr16	91225000	91250000	chr16	94075000	94100000	-0.746737347898773	3.29401388355571	0.0063626537700636	8.18406230249719e-6	TRUE	25	2	2850000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	1
loop_849	chr5	92720000	92730000	chr5	93320000	93330000	-0.493827442657958	4.0352239217494	0.0224640146024451	3.65565738038163e-5	TRUE	10	1	600000	Other-Other	down_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	36564	52742	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site	2
loop_9583	chr9	40875000	40900000	chr9	41575000	41600000	-0.452292326043221	4.5557855651343	0.0105621375536239	2.26428559817576e-5	TRUE	25	3	700000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	872	0	Repressed_Promoter	Repressed_Promoter	Repressed_Promoter-Repressed_Promoter	0
