loop_id	anchor_num	direction	motif_start	motif_end	window_chr	window_start	window_end	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	CTCF_chip_overlap	distance_to_tss	type_motif_window
loop_3362	1	up_in_mutant	71179154	71179173	chr8	71178663	71179663	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	92904	CTCF_Site
loop_3909	1	up_in_mutant	27752837	27752856	chr11	27752346	27753346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	830977	CTCF_Site
loop_3909	1	up_in_mutant	27753775	27753794	chr11	27753284	27754284	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	830039	CTCF_Site
loop_16094	1	up_in_mutant	57018733	57018752	chr11	57018242	57019242	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	6854	CTCF_Site
loop_1298	1	down_in_mutant	49546047	49546066	chr8	49545556	49546556	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	701604	CTCF_Site
loop_16964	1	down_in_mutant	57333515	57333534	chr8	57333024	57334024	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	905	Repressed_Promoter
loop_849	1	down_in_mutant	92726089	92726108	chr5	92725598	92726598	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	42162	CTCF_Site
loop_849	1	down_in_mutant	92727442	92727461	chr5	92726951	92727951	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	43515	CTCF_Site
loop_849	1	down_in_mutant	92728450	92728469	chr5	92727959	92728959	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	44523	CTCF_Site
loop_2344	1	up_in_mutant	34874961	34874980	chr8	34874470	34875470	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	67172	CTCF_Site
loop_2361	1	down_in_mutant	57540360	57540379	chr8	57539869	57540869	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	27961	Active_Enhancer
loop_4080	1	up_in_mutant	15549789	15549808	chr5	15549298	15550298	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	20075	CTCF_Site
loop_4309	1	up_in_mutant	34851489	34851508	chr8	34850998	34851998	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	43700	CTCF_Site
loop_4309	1	up_in_mutant	34855599	34855618	chr8	34855108	34856108	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	47810	CTCF_Site
loop_4389	1	up_in_mutant	71213252	71213271	chr8	71212761	71213761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	58952	CTCF_Site
loop_7428	1	up_in_mutant	34825235	34825254	chr8	34824744	34825744	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	17446	CTCF_Site
